id,sampiran_asli_1,sampiran_asli_2,isi_1,isi_2
25,jikalau ada bangunan roboh,maka benahi supaya benar,jikalau ada teman yang bodoh,maka bimbinglah supaya pintar
26,Pohon mahoni lurus batangnya,Daunnya rimbun tempat berteduh,Jika hidup jaga akhlaknya,Langkah pasti terasa teguh
27,pisau menggores menjadi luka,rasanya sakit amatlah pedih,cukup sekian dari saya,saya haturkan terima kasih
28,pagi hari langsung sarapan,minum teh dan makan roti kelapa,dari semua mata pelajaran,hanya olahraga yang aku suka
29,bunga melur dalam jambangan,di tepi kolam menjadi hiasan,kucipta pantun buat renungan,semarak nilam empunya wawasan
30,Air telaga ditimba petang,Disimpan dalam kendi tua,Jika ingin hidup dikenang,Budi baik jadi pusaka
31,Pelangi indah sesudah hujan,Warna lembut menghias angkasa,Jika kasih tiada sempadan,Mengapa luka masih terasa
32,pergi haji ke kota mekah,jangan lupa bawa kedondong,orang yang rajin sedekah,insya aallah masuk surga dong
33,istirahat di dekat perhentian,lebih nyaman duduk di taman,cewek cantik dan pengertian,cocoknya dijadikan sebagai teman
34,amalan membaca amalan mulia,dituntut agama dan juga bangsa,insan membaca banyak ilmunya,bekalan hidup sepanjang masa
35,Pagi hari menimba sumur,Air jernih disimpan kendi,Jika ingin hati bersyukur,Terima takdir dengan rela hati
36,Pohon ara berdaun lebat,Menjadi teduh kala siang,Jika usaha dibuat hebat,Cita tinggi bukan sekadar bayang
37,apalah tanda batang tebu,batang tebu halus uratnya,apalah tanda orang berilmu,orang berilmu halus sifatnya
38,Ke Purwodadi membeli barang,Barang langka modelnya lama,Jangan peduli gunjingan orang,Asal benar sesuai agama
39,Jangan suka mencabut padi,Kalau dicabut hilang buahnya,Jangan suka menyebut budi,Kalau disebut hilang tuahnya
40,jika kamu pergi ke dusun,jangan lupa membawa beras,belajarlah kamu dengan tekun,agar nanti jadi naik kelas
41,Kalau tahu peria itu pahit,Tidak ku gulai dengan petola,Kalau tahu bercinta itu sakit,Tidak ku mulai dari semula
42,di bandar banyak yang terpaku,hilir mudik kanan dan kiri,tak kan pudar kasih sayangku,tambah erat hari ke hari
43,bambu rotan menjadi kursi,rumput ilalang menjadi atap,sejak ayam itu jadi polisi,banyak elang yang cepat tertangkap
44,berjalan kaki ke sekolah,jangan sampai datang terlambat,selamat datang rabu yang cerah,selamat pagi untuk para sahabat
45,jelekjelekin user tik tok,emangnya kamu yg paling benar,tak mengapa banyak yg mengolokolok,mending kita banyakin istighfar
46,Bunga melati harum baunya,Disiram embun waktu pagi,Jika budi elok lakunya,Semua orang senang hati
47,kalau hendak memangsa tikus,carilah di kolong kolong parit,kalau tidak cermat dan serius,ingin pintar sangatlah sulit
48,dari mana hendak ke mana,dari desa hendak ke kota,jika boleh saya bertanya,bunga yang cantik siapa yang punya
49,Langit luas membiru tenang,Burung camar terbang beriring,Jika kasih bukan sekadar bayang,Mengapa luka masih beriring
50,tukang becak memakai topi,berwarna hijau di pinggir jalan,hadirmu tak seindah mimpi,saat kau masih dalam khayalan
51,Dina merenung suaranya sumbang,Duduk bersantai dan telah pasrah,Dia berdengung tapi bukan kumbang,Punya belalai namun bukan gajah
52,pulang sekolah hari hujan,basah kuyup si supir kenek,semangat dipupuk hendak ujian,agar nilaimu tidak jelek
53,harga mangga sembilan ribu,ditambah pula beli apel merah,jika ingin disayang ibu,jangan sering buatnya marah
54,memasak air ambillah kayu,jangan ambil si akar rotan,jauh dari rumah mengingatkanku,akan kerinduan kampung halaman
55,orang sakit naik kursi roda,mengayuh sendiri dengan tangan,kecantikan tak menjamin bahagia,akhlakmu lah yang membuatku bertahan
56,berguna hidup karena beradat,adat lembaga jadi pakaian,sempurna hidup karena syahadat,syahadat dijaga mengokohkan iman
57,ke kebun panen daun keladi,untuk dimasak sore hari,esok hari telah menanti,tidurlah nyenyak malam ini
58,Pergi ke pasar membeli ikan,Ikan segar jadi hidangan,Belajar sabar dalam tekanan,Agar kuat menghadapi cobaan
59,Burung walet terbang berputar,Mencari makan di udara,Jika ingin hidupmu benar,Jaga amanah dengan setia
60,Bunga tanjung di tepi pagar,Harumnya lembut menusuk rasa,Jika hidup mahu segar,Hidupkan cinta pada budaya
61,Ranting sena berbalut embun,Bunga cempaka gugur sekuntum,Jika santun jadi pantun,Indah tutur lembut berhukum
62,hari ini menjual jagung,hari esok menjual jelai,hari ini kita berkampung,hari esok kita bercerai
63,Duka tersentak renggut ceria,Selaksa tanya bantah problema,Ketika jejak di sudut usia,Tersisa hanya sebuah nama
64,Sirih berlipat sirih pinang,Sirih dari Pulau Mutiara,Adat dijunjung pusaka dikenang,Budi bahasa penyeri negara
65,Kayu meranti dibuat papan,Disusun rapi jadi dinding,Jika ingin capai harapan,Jangan malas belajar dan berunding
66,tamasya ke kota bogor,jangan lupa ke kebun raya,meski kau sudah tersohor,jangan lupakan ayah bunda
67,amalan membaca budaya mulia,ilmu bertambah amat berharga,hidup bahagia dengan membaca,jadikan membaca khazanah bangsa
68,pohon jati kuat kayunya,pohon nyiur tinggi batangnya,murid pandai banyak ilmunya,bekal bagi nusa bangsanya
69,ambil bambu jadikan jembatan,jembatan tempat jalannya si tuan,merantau jauh dari kalimantan,belajar bersama dengan kalian
70,buah kelat waktu dirasa,meludah lagi kalau tak nyaman,wahai pejabat serta pengusaha,bantulah kami para seniman
71,Pergi berlayar saat fajar,Ombak kecil memecah perahu,Jika usaha terus dikejar,Sukses akan datang padamu
72,buah durian banyak durinya,isinya lunak bijinya keras,sudah dimakan tidak meminta,kini hendak diberi seulas
73,ke pontianak beli kopiah,kopiah indah kau dapati,begitu banyak gadis yang singgah,hanya adinda yang memikat hati
74,Pergi ke taman memetik delima,Delima merah manis rasanya,Ilmu dan adab harus bersama,Agar hidup penuh maknanya
75,jika ada jarum yang patah,jangan disimpan didalam peti,jika ada kata yang salah,jangan di simpan dalam hati
76,samudera hindia airnya biru,dilewati oleh kapal feri,cinta terjalin di malam itu,saat tahun mulai berganti
77,Cempaka putih di serambi istana,Harumnya lembut menyentuh rasa,Jika akal dijaga sempurna,Terselamat insan dari angkara
78,manis rasanya buah jambu,minumnya dengan jus tomat,gimana mau main hari minggu,cucian numpuk banyak amat
79,ada lagu gundul gundul pacul,dari jawa ia berasal,banyak gaya dalam bergaul,tanpa bercermin dari mana asal
80,Pergi ke kebun membawa keranjang,Memetik buah yang telah matang,Kalau ingin hidup cemerlang,Rajin belajar siang dan petang
81,kurang makan badan kurus,ada peci disebut songkok,bayangbayang tak akan lurus,dari pohon yang tumbuh bengkok
82,hujan malam turun perlahan,cahaya lampu memantul jalan,alam menjaga dalam keheningan,menyimpan damai dalam kegelapan
83,Pergi jauh membawa bekal,Demi bekerja dengan giat,Orang beriman orang berakal,Tak korbankan hidup sesaat
84,asah parang untuk membabat,petin pepaya untuk dimakan,seimbangkan dunia dan akhirat,dengan ilmu dan juga iman
85,deket muara ada madu dan jamu,nonton tv sambil minum jamu,gara gara rindu sama kamu,lihat sapi pun seolaholah kamu
86,jangan pergi mandi di lombong,emak dan kakak sedang mencuci,jangan suka bercakap bohong,semua kawan akan membenci
87,bulan purnama si terang bulan,anak bujang bernyanyi syahdu,puji syukur kami ucapkan,atas kedatanganmu hai guru baru
88,pulang sekolah pakai sepeda,ditengah jalan hujan tiba,ayo kawan masuk pramuka,melatih diri mencipta karya
89,Pohon kelapa tumbuh tinggi,Buahnya jatuh di tepi kali,Jika ingin hidup berarti,Hormati orang tua setiap hari
90,pergi ke kota membeli paku,paku dibungkus plastik biru,bukannya aku nggak lakulaku,tapi ku sedang nunggu jandamu
91,Burung kecil terbang tinggi,Hinggap manis di pohon jati,Ingat mati setiap hari,Supaya lembut hati ini
92,Rumah di parit terlihat permai,Pedagang kecil jualan siomai,Kalau ke masjid tidak ramai,Pastinya sulit tercipta damai
93,Bintang timur bersinar terang,Menemani malam yang sunyi,Jika hidup mahu dikenang,Tinggalkan jasa dan budi
94,air kelapa enak rasanya,walau basah amat senangnya,barang siapa dunia citacitanya,pasti susah jalan hidupnya
95,naik kuda tanpa pelana,kuda lari tak beraturan,jadi murid harus bijaksana,agar disayang guru dan teman
96,buah jeruk ada dimeja,ada pisau di dalam laci,diri ini bukan pujangga,tapi ini letupan rindu hati
97,Burung pipit terbang rendah,Hinggap sebentar di pohon cemara,Jika hati selalu ramah,Banyak sahabat datang menyapa
98,Pergi ke taman menatap senja,Langit jingga menutup hari,Jika hidup ingin bahagia,Ikhlas menerima yang terjadi
99,ke rumah teman naik sepeda,membawa tas dan juga buku,met ultah suami tercinta,tetaplah jadi pria hebatku
100,minum jamu sehatkan raga,makan buah sehatkan mata,kumpulkan ilmu dalam dada,amalkan ia di kehidupan nyata
