id,text_pantun,baris_sampiran,baris_isi,skema_rima,suku_kata_baris_1,suku_kata_baris_2,suku_kata_baris_3,suku_kata_baris_4,jumlah_kata_baris_1,jumlah_kata_baris_2,jumlah_kata_baris_3,jumlah_kata_baris_4
35,ada lelaki beradu panco\ncewek lewat disapanya hay\nbener sih tuh cowok maco\ntapi tangannya kok melambay,ada lelaki beradu panco\ncewek lewat disapanya hay,bener sih tuh cowok maco\ntapi tangannya kok melambay,a-b-a-b,10,9,8,9,4,4,5,4
36,ada lemang dimakan itik\nitiknya jatuh masuk ke lobang\nadek memang sungguhlah cantik\ntapi sayang bukan pacar abang,ada lemang dimakan itik\nitiknya jatuh masuk ke lobang,adek memang sungguhlah cantik\ntapi sayang bukan pacar abang,a-b-a-b,9,10,9,10,4,5,4,5
37,ada masakan dari kentang\nberkumpul orang di tengah taman\nmembaca al quran setiap petang\nbersama keluarga dan temanteman,ada masakan dari kentang\nberkumpul orang di tengah taman,membaca al quran setiap petang\nbersama keluarga dan temanteman,a-b-a-b,9,10,11,12,4,5,5,4
38,ada mata disamping telinga\nuntuk melihat yang dituju\nilmu itu untuk ditimba\nbukan semata dibiarkan berlalu,ada mata disamping telinga\nuntuk melihat yang dituju,ilmu itu untuk ditimba\nbukan semata dibiarkan berlalu,a-b-a-b,10,9,9,12,4,4,4,4
39,ada mawar di sudut taman\nkurus kering tak ada dedaunan\niman dan ilmu di seimbangkan\nsupaya hidup di rahmati tuhan,ada mawar di sudut taman\nkurus kering tak ada dedaunan,iman dan ilmu di seimbangkan\nsupaya hidup di rahmati tuhan,a-a-a-a,9,10,10,11,5,5,5,5
40,ada minyak di dapur bunda\ngoreng tahu goreng kelapa\nsemakin banyak ilmu di dada\nsemakin tahu bodohnya kita,ada minyak di dapur bunda\ngoreng tahu goreng kelapa,semakin banyak ilmu di dada\nsemakin tahu bodohnya kita,a-a-a-a,9,9,10,10,5,4,5,4
41,ada monyet sisiran sambil berkaca\nada kuda mirip keledai\nrajin menulis rajin membaca\nitu pertanda anak yang pandai,ada monyet sisiran sambil berkaca\nada kuda mirip keledai,rajin menulis rajin membaca\nitu pertanda anak yang pandai,a-b-a-b,12,9,10,10,5,4,4,5
42,ada muslimah memakai cadar\nalangkah cantik memakai cindai\nsewaktu kecil rajin belajar\nsudah besar menjadi pandai,ada muslimah memakai cadar\nalangkah cantik memakai cindai,sewaktu kecil rajin belajar\nsudah besar menjadi pandai,a-b-a-b,10,10,10,9,4,4,4,4
43,ada nilam minum kopi luwak\ndicampur arang rasanya agak tengik\nmari kita menanam budi yang banyak\nagar orang yang jahat jadi baik,ada nilam minum kopi luwak\ndicampur arang rasanya agak tengik,mari kita menanam budi yang banyak\nagar orang yang jahat jadi baik,a-b-a-b,10,12,12,11,5,5,6,6
44,ada orang bandung kepala dijitak\ndijitak orang sampai muntahmuntah\nselama jantung ini terus berdetak\ncintaku tak akan mudah luluh lantah,ada orang bandung kepala dijitak\ndijitak orang sampai muntahmuntah,selama jantung ini terus berdetak\ncintaku tak akan mudah luluh lantah,a-b-a-b,12,11,12,12,5,4,5,6
45,ada orang maluku dijitak\ndijitak sama orang batak\nselama jantungku masih berdetak\ncintaku tak akan luluh lantak,ada orang maluku dijitak\ndijitak sama orang batak,selama jantungku masih berdetak\ncintaku tak akan luluh lantak,a-a-a-a,10,9,11,10,4,4,4,5
46,ada pak guru melihat waktu\nkeluar kelas bersama mamat\njangan lupakan sholat lima waktu\npahala berat di hari kiamat,ada pak guru melihat waktu\nkeluar kelas bersama mamat,jangan lupakan sholat lima waktu\npahala berat di hari kiamat,a-b-a-b,10,10,11,11,5,4,5,5
47,ada penyanyi ada penari\nbukan pemusik bukan pelari\npergi sekolah pagi hari\npergi madrasah sore hari,ada penyanyi ada penari\nbukan pemusik bukan pelari,pergi sekolah pagi hari\npergi madrasah sore hari,a-a-a-a,10,10,9,9,4,4,4,4
48,Ada pisang ada pepaya\nJika dimakan mantap rasanya\nIndonesia ragam akan budaya\nTugas kita untuk menjaganya,Ada pisang ada pepaya\nJika dimakan mantap rasanya,Indonesia ragam akan budaya\nTugas kita untuk menjaganya,a-a-a-a,9,10,12,10,4,4,4,4
49,ada pohon di tepi rawa\ndaunnya kering dimakan kutu\nadik menangis sambil tertawa\nmelihat kambing pakai sepatu,ada pohon di tepi rawa\ndaunnya kering dimakan kutu,adik menangis sambil tertawa\nmelihat kambing pakai sepatu,a-b-a-b,9,9,10,10,5,4,4,4
50,ada politikus di tahan\ndi duga karena korupsi\njangan karena beda pilihan\ndi hatimu tumbuh rasa benci,ada politikus di tahan\ndi duga karena korupsi,jangan karena beda pilihan\ndi hatimu tumbuh rasa benci,a-b-a-b,9,9,10,10,4,4,4,5
51,ada radio ada televisi\nselalu menghibur setiap hari\ntidak perlu tuk diratapi\nsudah waktunya mencari lagi,ada radio ada televisi\nselalu menghibur setiap hari,tidak perlu tuk diratapi\nsudah waktunya mencari lagi,a-a-a-a,11,11,9,10,4,4,4,4
52,Ada rusa ada kuda\nSedang bermain dan berlari-lari\nMari bersama kita jaga budaya\nSupaya selalu tetap lestari,Ada rusa ada kuda\nSedang bermain dan berlari-lari,Mari bersama kita jaga budaya\nSupaya selalu tetap lestari,a-b-a-b,8,11,12,11,4,4,5,4
53,ada sarapan di atas meja\nperbekalan untuk pergi ke sawah\nkusangka mimpi menyiram bunga\nketika bangun celana basah,ada sarapan di atas meja\nperbekalan untuk pergi ke sawah,kusangka mimpi menyiram bunga\nketika bangun celana basah,a-b-a-b,10,11,10,10,5,5,4,4
54,"Ada selendang milik Jeng Ratu\nPohon jati tingginya sebahu\nAda udang di balik batu\nMaksud hati, siapa yang tahu",Ada selendang milik Jeng Ratu\nPohon jati tingginya sebahu,"Ada udang di balik batu\nMaksud hati, siapa yang tahu",a-a-a-a,10,10,9,10,5,4,5,5
55,ada sepatu ada kaos kaki\nkaos kaki bergambar kastil\ntak perlu bersusah hati\nkerja keras membuahkan hasil,ada sepatu ada kaos kaki\nkaos kaki bergambar kastil,tak perlu bersusah hati\nkerja keras membuahkan hasil,a-b-a-b,11,9,8,10,5,4,4,4
56,ada sepuluh sebelum sebelas\nanak kecil belajar matematika\nsenyummu tenangkan suasana kelas\nwahai sang guru yang tercinta,ada sepuluh sebelum sebelas\nanak kecil belajar matematika,senyummu tenangkan suasana kelas\nwahai sang guru yang tercinta,a-b-a-b,11,12,12,9,4,4,4,5
57,ada sisir monyet berkaca\nada kuda mirip keledai\nrajin menulis rajin membaca\nitu pertanda anak yang pandai,ada sisir monyet berkaca\nada kuda mirip keledai,rajin menulis rajin membaca\nitu pertanda anak yang pandai,a-b-a-b,9,9,10,10,4,4,4,5
58,ada subuh sebelum pagi\npetani berangkat menuai padi\njagalah mata jaga hati\ningat aku disini menanti,ada subuh sebelum pagi\npetani berangkat menuai padi,jagalah mata jaga hati\ningat aku disini menanti,a-a-a-a,9,11,9,10,4,4,4,4
59,ada susahnya makan talam\nhabis lima tak bilangbilang\nada susahnya berbadan hitam\nkalau gelap disangka hilang,ada susahnya makan talam\nhabis lima tak bilangbilang,ada susahnya berbadan hitam\nkalau gelap disangka hilang,a-b-a-b,9,9,10,9,4,4,4,4
60,ada tali tambang ditarik\ntali digunakan untuk menolong\nakhlak baik dan adab baik\ndi mana saja akan menolong,ada tali tambang ditarik\ntali digunakan untuk menolong,akhlak baik dan adab baik\ndi mana saja akan menolong,a-b-a-b,9,11,9,10,4,4,5,5
61,ada taman hati sedang berbunga\nselalu disirami oleh cintamu\nbiarkan saja semua menghina\nsayangku tetap hanya untukmu,ada taman hati sedang berbunga\nselalu disirami oleh cintamu,biarkan saja semua menghina\nsayangku tetap hanya untukmu,a-b-a-b,11,12,11,10,5,4,4,4
62,ada tamu mengetuk pintu\nbermain ke rumah teman\nada wanita cantik di depanku\nsenyumnya manis wajah menawan,ada tamu mengetuk pintu\nbermain ke rumah teman,ada wanita cantik di depanku\nsenyumnya manis wajah menawan,a-b-a-b,9,8,11,10,4,4,5,4
63,Ada tubuh ada tangan\nTiada kepala tiada kaki\nSangat berguna waktu hujan\nApakah dia yang dimaksudkan ini,Ada tubuh ada tangan\nTiada kepala tiada kaki,Sangat berguna waktu hujan\nApakah dia yang dimaksudkan ini,a-b-a-b,8,11,9,12,4,4,4,5
64,ada tupai mengambil kerang\ngubuk kecil suara ratapan\norang pandai sangatlah tenang\nsenyuman teduh mantap tatapan,ada tupai mengambil kerang\ngubuk kecil suara ratapan,orang pandai sangatlah tenang\nsenyuman teduh mantap tatapan,a-b-a-b,9,10,9,10,4,4,4,4
65,ada untungnya membeli terong\nterong dimasak tidaklah pahit\nada untungnya bersuami ompong\nmeski marah tak bisa menggigit,ada untungnya membeli terong\nterong dimasak tidaklah pahit,ada untungnya bersuami ompong\nmeski marah tak bisa menggigit,a-b-a-b,10,10,11,10,4,4,4,5
66,ada wabah virus corona\ntanpa demo di hari buruh\nwalaupun kau jauh di sana\ncintaku untukmu masih utuh,ada wabah virus corona\ntanpa demo di hari buruh,walaupun kau jauh di sana\ncintaku untukmu masih utuh,a-b-a-b,9,9,9,10,4,5,5,4
67,ada yang rambat di satu pagar\nternyata itu si alamanda\njadilah murid berotak pintar\njuga selalu baik hatinya,ada yang rambat di satu pagar\nternyata itu si alamanda,jadilah murid berotak pintar\njuga selalu baik hatinya,a-b-a-b,10,10,10,10,6,4,4,4
68,adakah perisai bertali rambut\nrambut dipintal akan cemara\nadakah misai tahu takut\nkamipun muda lagi perkasa,adakah perisai bertali rambut\nrambut dipintal akan cemara,adakah misai tahu takut\nkamipun muda lagi perkasa,a-b-a-b,11,10,9,10,4,4,4,4
69,Adat hidup Melayu terpuji\nSesama makhluk bersuci hati\nKepada orang bertanam budi\nMemberi tidak mengharap ganti,Adat hidup Melayu terpuji\nSesama makhluk bersuci hati,Kepada orang bertanam budi\nMemberi tidak mengharap ganti,a-a-a-a,10,10,10,10,4,4,4,4
70,adek memanjat pohon mangga\nmangga jatuh busuk sebelah\nkasih sayang ibu sungguh kurasa\nkehangatannya tak bisa berubah,adek memanjat pohon mangga\nmangga jatuh busuk sebelah,kasih sayang ibu sungguh kurasa\nkehangatannya tak bisa berubah,a-b-a-b,9,9,11,11,4,4,5,4
71,adi dan rio ikut lomba panahan\nberjuang bersama dan jadi juara\ntaatilah selalu perintah tuhan\nagar hidupmu selamat sentosa,adi dan rio ikut lomba panahan\nberjuang bersama dan jadi juara,taatilah selalu perintah tuhan\nagar hidupmu selamat sentosa,a-b-a-b,12,12,12,11,6,5,4,4
72,adik bayi hidungnya mungil\nkalo haus julurkan lidah\nperbanyak kisah di masa kecil\nuntuk masa depan yang indah,adik bayi hidungnya mungil\nkalo haus julurkan lidah,perbanyak kisah di masa kecil\nuntuk masa depan yang indah,a-b-a-b,9,9,10,9,4,4,5,5
73,adik belajar di dalam kamar\nilmu perkalian dan membagi\nsalam pertama terasa hambar\nmari kita ulangi sekali lagi,adik belajar di dalam kamar\nilmu perkalian dan membagi,salam pertama terasa hambar\nmari kita ulangi sekali lagi,a-b-a-b,10,10,10,12,5,4,4,5
74,adik ke kedai membeli halia\nemak memesan membeli laksa\njadilah insan berhati mulia\nbaik hati berbudi bahasa,adik ke kedai membeli halia\nemak memesan membeli laksa,jadilah insan berhati mulia\nbaik hati berbudi bahasa,a-a-a-a,11,10,11,10,5,4,4,4
75,adik kecil belajar membaca\nlilin letakkan di atas meja\nhari sudah hampir senja\nsebentar lagi berbuka puasa,adik kecil belajar membaca\nlilin letakkan di atas meja,hari sudah hampir senja\nsebentar lagi berbuka puasa,a-a-a-a,10,10,8,11,4,5,4,4
76,Adik kecil memetik biji\nBiji diolah menjadi kanji\nSejak kecil rajin mengaji\nSaat dewasa imannya teruji,Adik kecil memetik biji\nBiji diolah menjadi kanji,Sejak kecil rajin mengaji\nSaat dewasa imannya teruji,a-a-a-a,9,10,9,11,4,4,4,4
77,adik kecil mukanya bersih\nselepas dimandi oleh bunda\nkulitnya hitam isinya putih\nrasanya manis seperti gula,adik kecil mukanya bersih\nselepas dimandi oleh bunda,kulitnya hitam isinya putih\nrasanya manis seperti gula,a-b-a-b,9,10,10,10,4,4,4,4
78,adik kecil pergi belanja\nsisa uangnya langsung ditabung\njika kamu pandai menerka\nbinatang apa tanduknya di hidung,adik kecil pergi belanja\nsisa uangnya langsung ditabung,jika kamu pandai menerka\nbinatang apa tanduknya di hidung,a-b-a-b,9,10,9,11,4,4,4,5
79,adik kecil sukanya tengkurap\nsebelum bermain minumlah susu\nsebelum makanan habis dilahap\nmari kita sholat maghrib dahulu,adik kecil sukanya tengkurap\nsebelum bermain minumlah susu,sebelum makanan habis dilahap\nmari kita sholat maghrib dahulu,a-b-a-b,10,11,11,11,4,4,4,5
80,adik kecil tidur di kamar\nsampai mentari telah bersinar\nbelajar tak sekedar jadi pintar\nnamun juga menjadi pribadi benar,adik kecil tidur di kamar\nsampai mentari telah bersinar,belajar tak sekedar jadi pintar\nnamun juga menjadi pribadi benar,a-a-a-a,9,10,11,12,5,4,5,5
81,adik mainan riasan mama\ntapi tak boleh memakai gincu\nkenalkan kami anak kelas lima\npintarpintar dan juga lucu,adik mainan riasan mama\ntapi tak boleh memakai gincu,kenalkan kami anak kelas lima\npintarpintar dan juga lucu,a-b-a-b,9,10,11,9,4,5,5,4
82,Adik nia memetik tomat\nTomat merah dibelah dua\nKakek cerita terlalu semangat\nGigi palsunya copot semua,Adik nia memetik tomat\nTomat merah dibelah dua,Kakek cerita terlalu semangat\nGigi palsunya copot semua,a-b-a-b,9,9,11,10,4,4,4,4
83,adik pergi ke pulau jawa\npulangnya bawa buah delima\nlebih baik jangan ketawa\nkarena gigimu ompong semua,adik pergi ke pulau jawa\npulangnya bawa buah delima,lebih baik jangan ketawa\nkarena gigimu ompong semua,a-a-a-a,9,10,9,11,5,4,4,4
84,adik senang belajar tari\nbelajar setelah pulang berenang\nkalau kamu jadi anak mandiri\nibu dan ayah pastilah senang,adik senang belajar tari\nbelajar setelah pulang berenang,kalau kamu jadi anak mandiri\nibu dan ayah pastilah senang,a-b-a-b,9,11,11,10,4,4,5,5
85,Adik terjatuh kerana tersekat\nKepada ibu si kakak mengadu\nSama sekampung teguhkan pakat\nMasyarakat sepakat bersatu padu,Adik terjatuh kerana tersekat\nKepada ibu si kakak mengadu,Sama sekampung teguhkan pakat\nMasyarakat sepakat bersatu padu,a-b-a-b,11,11,10,12,4,5,4,4
86,adik tertawa saat bercanda\nsaat tertawa giginya ompong\nanak manis kesayangan bunda\njangan nakal tak boleh bohong,adik tertawa saat bercanda\nsaat tertawa giginya ompong,anak manis kesayangan bunda\njangan nakal tak boleh bohong,a-b-a-b,10,10,10,9,4,4,4,5
87,aduh gatal terkena bidur\npergi ke dokter ditemani bila\npunya teman kok hobi tidur\nudah ngorok ngileran pula,aduh gatal terkena bidur\npergi ke dokter ditemani bila,punya teman kok hobi tidur\nudah ngorok ngileran pula,a-b-a-b,9,11,9,9,4,5,5,4
88,adzan berkumandang di mushollah\nsholat baik jika berjamaah\nbekerjalah tuk cari nafkah\ntuk keluarga tercinta di rumah,adzan berkumandang di mushollah\nsholat baik jika berjamaah,bekerjalah tuk cari nafkah\ntuk keluarga tercinta di rumah,a-a-a-a,10,10,9,11,4,4,4,5
89,adzan magrib di mushollah\ntak lupa sholat berjamaah\nsemangat diri mencari nafkah\nmencari nafkah bagian ibadah,adzan magrib di mushollah\ntak lupa sholat berjamaah,semangat diri mencari nafkah\nmencari nafkah bagian ibadah,a-a-a-a,8,9,10,11,4,4,4,4
90,afgan punya lagu sadis\ndinyanyikan oleh si maitun\nselamat kamis nona manis\nmemang manis tapi berjakun,afgan punya lagu sadis\ndinyanyikan oleh si maitun,selamat kamis nona manis\nmemang manis tapi berjakun,a-b-a-b,8,9,9,9,4,4,4,4
91,agaragar dimakan di latar\nburung puyuh jadi ikut lapar\njadi pelajar tugasnya belajar\nbukan turun ke jalan bikin onar,agaragar dimakan di latar\nburung puyuh jadi ikut lapar,jadi pelajar tugasnya belajar\nbukan turun ke jalan bikin onar,a-a-a-a,10,10,11,11,4,5,4,6
92,agus orangnya suka merenung\ntiap hari tidak pernah lupa\njikalau nanti engkau pun bingung\ntanyakan saja pada ahlinya,agus orangnya suka merenung\ntiap hari tidak pernah lupa,jikalau nanti engkau pun bingung\ntanyakan saja pada ahlinya,a-b-a-b,10,10,10,10,4,5,5,4
93,air beriak tanda tak dalam\nikan meloncat bercanda ria\nakhir babak berlagak seram\nangan terjerat tiada tawa,air beriak tanda tak dalam\nikan meloncat bercanda ria,akhir babak berlagak seram\nangan terjerat tiada tawa,a-b-a-b,10,10,9,10,5,4,4,4
94,air cuka bercampur pasta\nterkena mata jadi terluka\njangan suka berkata dusta\nkalau tak ingin masuk neraka,air cuka bercampur pasta\nterkena mata jadi terluka,jangan suka berkata dusta\nkalau tak ingin masuk neraka,a-a-a-a,9,10,9,10,4,4,4,5
95,air cuka tempatnya bulat\nbulat hati lantaran tekad\njangan suka memdiberi coklat\nmari kita lakukan akad,air cuka tempatnya bulat\nbulat hati lantaran tekad,jangan suka memdiberi coklat\nmari kita lakukan akad,a-b-a-b,9,9,10,9,4,4,4,4
96,air dalam bertambah dalam\nhujan di hulu belum lagi tenduh\nhati dendam bertambah dendam\ndendam dahulu belum lagi sembuh,air dalam bertambah dalam\nhujan di hulu belum lagi tenduh,hati dendam bertambah dendam\ndendam dahulu belum lagi sembuh,a-b-a-b,9,11,9,11,4,6,4,5
97,Air danau tenang permukaannya\nTerpantul bayang gunung tinggi\nJika hati bersih jiwanya\nDamai terasa setiap hari,Air danau tenang permukaannya\nTerpantul bayang gunung tinggi,Jika hati bersih jiwanya\nDamai terasa setiap hari,a-b-a-b,11,9,9,10,4,4,4,4
