id;text_pantun;kategori AI;Kategori Pakar
402;Anak lebah mencari madu\nTerbang rendah di taman bunga\nJika hidup ingin padu\nSatukan usaha dan doa;Pantun Agama;Pantun Agama
423;anak nelayan menangkap ikan\nikan ditangkap di laut bersih\npulang kampung ketika lebaran\ntak sabar bertemu dengan kekasih;Pantun Agama;Pantun Kasih Sayang
435;Anak pelikan terbang rendah\nMenyusuri laut waktu senja\nJika hidup ingin berkah\nBanyakkan doa dan juga kerja;Pantun Agama;Pantun Agama
438;Anak perahu menarik sauh\nTali diikat sebelum belayar\nJika hidup ingin teguh\nPerbanyak doa dan sabar;Pantun Agama;Pantun Agama
467;anak rusa pergi ke hutan\nhari petang cahaya kelam\niman itu tidak kelihatan\napa tanda iman sudah mendalam;Pantun Agama;Pantun Agama
487;Anak udang di balik batu\nJangan ditangkap dengan jala\nDirikanlah sembahyang lima waktu\nItu dia rukun kedua;Pantun Agama;Pantun Agama
491;aneka rupa warna balon\npohon kelapa batangnya lurus\nsiapa yang menanam pohon\ndapat pahala terus menerus;Pantun Agama;Pantun Agama
496;angin bertiup daun melayang\nkepak sayap burung kutilang\nsholat bagai sebuah tiang\nagar rumah tetap menjulang;Pantun Agama;Pantun Agama
509;Angin malam membuat asma\nBintang-bintang sinarnya sama\nRukun Islam adanya lima\nSembahyang itu tiang agama;Pantun Agama;Pantun Agama
518;Angin selatan bertiup perlahan\nMenyentuh dedaun di tepi titi\nJika iman jadi pertahanan\nGodaan dunia tiada bererti;Pantun Agama;Pantun Agama
532;angsa menyelam amat lama\nburung purba sudah punah\nsholat adalah tiang agama\nditinggalkan jangan pernah;Pantun Agama;Pantun Agama
533;angsa putih pandai berenang\nwalau berenang tiada basah\ningatlah allah di waktu senang\nallah ingat kamu di waktu susah;Pantun Agama;Pantun Agama
536;antara kaya dan miskin\nsemua sama dihadapan ilahi\nmohon maaf lahir dan batin\nuntukmu kasih di ramadhan ini;Pantun Agama;Pantun Agama
553;apa tanda kembang merekah\nsangat harum di penciuman\napa tanda ilmunya berkah\nsemakin dekat dengan tuhan;Pantun Agama;Pantun Agama
555;Apa tanda orang mulia\nBerbaik sangka sesama manusia\nSiapa hidup berbaik sangka\nDunia akhirat hidup sentosa;Pantun Agama;Pantun Agama
569;asah parang untuk membabat\npetin pepaya untuk dimakan\nseimbangkan dunia dan akhirat\ndengan ilmu dan juga iman;Pantun Agama;Pantun Agama
571;Asam kandis asam gelugur\nKetiga asam si riang-riang\nMenangis mayat di pintu kubur\nTeringat badan tidak sembahyang;Pantun Agama;Pantun Agama
573;Asam kendis, asam gelugur\nCampur keduanya supaya lezat\nMenangis mayat di alam kubur\nTerkenang badan tak pernah sholat;Pantun Agama;Pantun Agama
576;Asap api embun berderai\nPatah galah haluan perahu\nNiat hati tak mahu bercerai\nKehendak Allah siapa yang tahu;Pantun Agama;Pantun Agama
582;awal pertama bulan puasa\nbertemu dengan kawan lama\nrela berkorban jiwa dan raga\nmoga ibu masuk ke surga;Pantun Agama;Pantun Agama
584;awan cerah berwarna biru\nsetelah hujan muncul pelangi\ndoa dan tangis mengiringi pergimu\nwahai ibu yang aku sayangi;Pantun Agama;Pantun Agama
594;awan mendung di hari senja\nwarnanya putih ketika kerah\nallah persembahan untuk kita\nhari fitri yang sangat indah;Pantun Agama;Pantun Agama
601;awan tebal berwarna putih\ndibaliknya ada langit biru\nselamat ulang tahun untukmu kasih\nsemoga allah memudahkan langkahmu;Pantun Agama;Pantun Agama
605;ayah dan adik kudakudaan\nkakak asyik main layangan\ndunia luas banyak godaan\njadikan al quran sebagai bimbingan;Pantun Agama;Pantun Agama
607;ayah pergi membeli tembaga\ndipakai untuk merekatkan parang\napabila ingin masuk surga\nsering mengaji dan sembahyang;Pantun Agama;Pantun Agama
624;ayam jantan turun berlaga\ntanduk indah milik si rusa\npandangan mata mesti terjaga\njangan terkena maksiat dosa;Pantun Agama;Pantun Agama
640;badai topan sedang melanda\nbanyak rumah karenanya\ndunia ini sungguh menggoda\nnamun akhirat kekal selamanya;Pantun Agama;Pantun Agama
649;bagai kapas terbang ke angkasa\nbegitulah balon tanpa ikatan\nbagai taman tak berbunga\nbegitulah jiwa tanpa iman;Pantun Agama;Pantun Agama
656;bagaimana menaiki tangga\npijak satu persatu pada anaknya\nbagaimana hendak ke surga\nsusah jalan tuk menempuhnya;Pantun Agama;Pantun Agama
672;baju baru dititipkan\njatuh sepeda ke selokan\nada berapa sholat diwajibkan\nsehari semalam mesti dikerjakan;Pantun Agama;Pantun Agama
702;bangau turun ke dalam rawa\nterbang menuju kebun salak\nibu bapak selalu berdoa\nmoga dirimu sukses kelak;Pantun Agama;Pantun Agama
704;Bangun kemah di depan pancoran\nMusik mengalun sambil kudapan\nBanyak hikmah dalam Alquran\nJadi penuntun buat kehidupan;Pantun Agama;Pantun Agama
705;bangun ketika di pagi buta\ncuci muka minum susu coklat\nmengejar sukses di dunia\nseimbangkan dengan sukses akhirat;Pantun Agama;Pantun Agama
706;bangun pagi di hari jumat\nambil mesin pergi membabat\nkalau kita jarang shalat\nmaka pahala takkan di dapat;Pantun Agama;Pantun Agama
714;bangun pagi di hari selasa\nsarapan dengan sepiring ketan\nsebelum tidur baca doa\nsemoga dalam lindungan tuhan;Pantun Agama;Pantun Agama
725;bangun rumah berbahan bata\nrumahnya satu jadi dua\ntabahlah hati gapai citacita\nkepada allah kita berdoa;Pantun Agama;Pantun Agama
726;bangun rumah dari bata\nrumah satu jadi dua\ntabah hati gapai citacita\nkepada allah kita berdoa;Pantun Agama;Pantun Agama
730;bangun subuh di pagi buta\nuntuk bersiap pergi sekolah\nramadhan kembali mengunjungi kita\nuntuk sahabat semoga berkah;Pantun Agama;Pantun Agama
737;banyak berterbangan kunangkunang\ncahayanya menerangi sisi hutan\nidul fitri sudah menjelang\nkhilaf dan salah mohon dimaafkan;Pantun Agama;Pantun Agama
738;banyak bulan perkara bulan\ntidak semulia bulan puasa\nbanyak tuhan perkara tuhan\ntidak semulia tuhan yang esa;Pantun Agama;Pantun Agama
739;banyak cabang banyak dahan\nhanya ambil di pucuk saja\nbanyak insan menyembah tuhan\nsembah hanya tuhan yang esa;Pantun Agama;Pantun Agama
742;banyak hutan kayunya terbakar\nmusim kemarau tak bersahabat\njangan niat mencari pacar\ncarilah jodoh dunia akhirat;Pantun Agama;Pantun Agama
747;banyak kain banyak benang\nmenjahit kain dengan alat\njika hati tak pernah tenang\ntanda orang tak pernah shalat;Pantun Agama;Pantun Agama
753;banyak orang mandi berenang\ntidak peduli kapalnya karam\nbanyak orang mencari senang\ntidak peduli halal dan haram;Pantun Agama;Pantun Agama
754;banyak orang mengejar harta\nnasib buruk pula yang diterima\ncinta sejati membawa kita\nmenuju surga bersamasama;Pantun Agama;Pantun Agama
755;banyak orang menggali perigi\nambil buluh kemudian diikat\nilmu dicari tak akan rugi\nuntuk bekal dunia akhirat;Pantun Agama;Pantun Agama
756;banyak orang menjerat rusa\nsudah terlupa meniup api\nbanyak orang berbuat dosa\nsudah lupa hidup dan mati;Pantun Agama;Pantun Agama
757;banyak orang menumpuk harta\nnasib buruk pula yang diterima\ncinta sejati mengarahkan kita\nmenuju surga bersamasama;Pantun Agama;Pantun Agama
766;banyaklah masa diantara masa\ntidak seelok masa bersua\nmeninggalkan sholat jadi biasa\ntanpa takut api neraka;Pantun Agama;Pantun Agama
778;batang kelapa jadikan papan\nuntuk lewat ke desa sukasari\nsebentar lagi bulan ramadhan\nmari sambut dengan hati yang suci;Pantun Agama;Pantun Agama
783;baterai habis silakan di cas\nresupkan ia punya kontras\nallah suka pekerja keras\npekerjaan halal dengan ikhlas;Pantun Agama;Pantun Agama
784;batik solo banyak coraknya\namat sulit memilihnya\ncantik di dunia sementara\ncantik di surga selamanya;Pantun Agama;Pantun Agama
801;Batu halus kini terbelah\nTertancap oleh sebutir panah\nNabi diutus membawa risalah\nJalan hidupnya disebut sunnah;Pantun Agama;Pantun Agama
807;Batu karang berdiri teguh\nDihantam ombak siang dan malam\nJika iman tidak rapuh\nCobaan berat terasa dalam;Pantun Agama;Pantun Agama
810;Batu karang di tengah laut\nDiterpa ombak siang malam\nJika iman jangan hanyut\nIngat Tuhan dalam-dalam;Pantun Agama;Pantun Agama
811;Batu karang keras berdiri\nDiterpa ombak takkan goyah\nJika iman teguh di hati\nTak mudah runtuh oleh amarah;Pantun Agama;Pantun Agama
827;bawa koran dari mekaki\ndari malam berlarilari\nbaca quran setiap hari\ngundah hilang tentramnya hati;Pantun Agama;Pantun Agama
837;Bayang hitam berkelebat\nHilang jauh melompat-lompat\nAyo semua segera bertaubat\nSebelum maut datang merapat;Pantun Agama;Pantun Agama
847;belah kelapa minum airnya\nkhasiatnya amatlah jitu\njika ingin masuk surga\ningat ibadah nomor satu;Pantun Agama;Pantun Agama
858;beli alat di minahasa\nalat Panjang seperti tongkat\nrakit salat, rajin puasa\njangan lupa membayar zakat;Pantun Agama;Pantun Agama
860;beli ayam dapatnya paha\ndaging ayam banyak gizinya\nmari ke surga kita berusaha\ndengan taqwa dan akhlak mulia;Pantun Agama;Pantun Agama
866;beli baju warnanya ungu\ndi pasar dekat bandara\nku akan selalu mencintaimu\nsampai maut memisahkan kita;Pantun Agama;Pantun Agama
876;beli bola berjumlah lima\nberaneka rupa warna warnanya\nilmu agama sangat utama\nbekal akhirat juga dunia;Pantun Agama;Pantun Agama
877;beli bola jumlahnya lima\naneka rupa warnawarnanya\nilmu agama adalah utamanya\nbekal akhirat dan juga dunia;Pantun Agama;Pantun Agama
886;beli jeruk sepuluh biji\nbuah jeruk milik pak burhan\nsaat kesabaran sedang diuji\nberdoalah selalu kepada tuhan;Pantun Agama;Pantun Agama
907;beli sayur di pasar suka\nbeli daging di pasar duka\njanganlah jadi anak durhaka\nkalau tidak mau masuk neraka;Pantun Agama;Pantun Agama
912;beli tiket ke kota lahat\nlewat sungai lewat darat\nistri yang terbaik selalu taat\nmengharap pahala di akhirat;Pantun Agama;Pantun Agama
921;benih padi disemaikan\npadi di sawah sebagai tanaman\nlima waktu ditunaikan\ntanda hatinya penuh iman;Pantun Agama;Pantun Agama
924;benteng batu tak kan goyah\nwalau diserang berbagai arah\nsediakan waktu untuk ibadah\ndunia kan datang tanpa berpayah;Pantun Agama;Pantun Agama
929;Berangkat ke kota jalannya rata\nMaling ditangkap jadi terdakwa\nKemuliaan bukan karena harta\nTapi karena iman dan takwa;Pantun Agama;Pantun Agama
933;berangkat sekolah hujan reda\ntapi cuaca menjadi dingin\nmari tingkatkan iman dan taqwa\nmanfaatkan ramadhan sebaik mungkin;Pantun Agama;Pantun Agama
957;berdoa dengan ikhlas agar terkabul\nhati tentram dan bermanfaat\ncintailah nabi dan rasul\nagar di akhirat mendapat syafaat;Pantun Agama;Pantun Agama
960;berenang ke sungai naik bambu\nbergerak sampai tak jemu\njangan pernah bohongi bapak ibu\nagar allah sayang kepadamu;Pantun Agama;Pantun Agama
962;berguna hidup karena beradat\nadat lembaga jadi pakaian\nsempurna hidup karena syahadat\nsyahadat dijaga mengokohkan iman;Pantun Agama;Pantun Agama
965;Berhenti sejenak di Karawang\nAda anak duduk bersebelahan\nBulatkan tekad untuk berjuang\nLalu tawakal kepada Tuhan;Pantun Agama;Pantun Agama
972;beringin tumbuh daunnya lebat\nadik lahir di bulan rajab\nhindar maksiat segera taubat\nsupaya terhindar dari azab;Pantun Agama;Pantun Agama
978;berjalan sendiri di malam hari\nbersama angin tetap ceria\namalkan sunnah dari para nabi\nhidup berkah penuh bahagia;Pantun Agama;Pantun Agama
987;berkilau cahaya dari permata\nsebagai hiasan untuk kepala\nsiapa yang bakti pada pencipta\ntentunya akan dapat pahala;Pantun Agama;Pantun Agama
988;berkilau cahaya dari permata\nsebagai penghias di kepala\nsiapa berbakti kepada pencipta\ntentu mendapat banyak pahala;Pantun Agama;Pantun Agama
995;berlarilari menggapai angan\npanas terik menjadi gerah\nridho allah diutamakan\nhidup bahagia penuh berkah;Pantun Agama;Pantun Agama
999;berlayar ke pulau jawa\npergi bersama komandan\nberlalulah kau korona\ndatanglah bulan ramadan;Pantun Agama;Pantun Agama
1018;bersama teman pergi sekolah\nuntuk menuntut ilmu pelajaran\nsemangat bekerja mencari nafkah\nsemoga selalu dilindungi tuhan;Pantun Agama;Pantun Agama
1072;bila tersengat oleh serangga\nbadan gatal warnanya merah\nbila ingin masuk surga\npandaipandai menahan amarah;Pantun Agama;Pantun Agama
1073;bila todak melanda singapura\nhabis dikerat dicincang lumat\nbila khianat pada manusia\ndunia akhirat takkan selamat;Pantun Agama;Pantun Agama
1074;Bintang berkelip di langit malam\nMenyinari bumi yang kelam\nJika hidup dilanda suram\nIngat Tuhan siang dan malam;Pantun Agama;Pantun Agama
1102;biru laut menghampar luas\nbergulung ombak dan gelombang\ncinta bertaut beralas ikhlas\nkarena allah kasih bertandang;Pantun Agama;Pantun Agama
1105;boleh di perah ambil patihnya\ndalam kancah tarulah bantal\nboleh berserah kehendak hatinya\nkepada tuhan tempat tawagal;Pantun Agama;Pantun Agama
1106;boleh dibawa bila berjalan\nkitab shafie berjudul risalah\nserta kasih yang berkekalan\nkuat hubungan dengan allah;Pantun Agama;Pantun Agama
1121;Buah apel merah warnanya\nRasanya manis menyegarkan\nJika hidup penuh doa\nSegala urusan dimudahkan;Pantun Agama;Pantun Agama
1167;buah kemumu sudah terbelah\nmakan satu banyak serat\ningin ilmu yang barokah\nbermanfaat dunia akhirat;Pantun Agama;Pantun Agama
1208;buah nangka buah sukun\nbanyak baca penangkal pikun\nsholat jamaah haruslah tekun\ndengan tetangga mestilah rukun;Pantun Agama;Pantun Agama
1209;Buah nangka buah tomat\nBanyak tumbuh di tempat keramat\nSemoga kita mendapat rahmat\nAgar hidup terasa nikmat;Pantun Agama;Pantun Agama
1212;buah pala sungguh keras\nletakkan ia di atas meja\nkeringat yang menetes deras\nakan allah ganti dengan pahala;Pantun Agama;Pantun Agama
1217;buah pepaya buah naga\nkacang buncis satu jengkal\nberusaha sekuat tenaga\nkepada allah hati tawakal;Pantun Agama;Pantun Agama
1218;buah pepaya dibelah dua\ndimakan satu tinggal satu\njangan pernah berbuat dosa\nmasuk neraka siapa yang membantu;Pantun Agama;Pantun Agama
1237;buah yang mabuk jangan dimakan\nbatang berduri jangan dipanjat\nbertuah hidup dikandung iman\ntertuah mati dalam ibadat;Pantun Agama;Pantun Agama
1240;buat apa berbaju batik\nkalau tidak pake selendang\nbuat apa berwajah cantik\nkalau tidak mau sembahyang;Pantun Agama;Pantun Agama
1242;buat apa makan mentimun\nlebih baik makan kenari\nbuat apa duduk melamun\nlebih baik kita mengaji;Pantun Agama;Pantun Agama
1249;bubur beras bubur nangka\nmakan semangkuk di bawah cemara\njujur itu menuju surga\nsurga itu nikmat tiada tara;Pantun Agama;Pantun Agama
1256;buka kandang lepaskan domba\nbiarkan ia mencari makan\nmari berlomba mencari pahala\nbersama istri di bulan ramadhan;Pantun Agama;Pantun Agama
1262;bukan lebah sebarang lebah\nlebah bersarang di tanah merah\ntangan diangkat merafak sembah\npada yang esa kami berserah;Pantun Agama;Pantun Agama
1276;bulan bulat saat purnama\nsungguh indah dipandang mata\nperintah allah yang utama\nagar kita beroleh surga;Pantun Agama;Pantun Agama
1281;bulan puasa telah tiba\nmari kita membuat ketupat\ningin bahagia hidup di dunia\ntuntut ilmu dunia akhirat;Pantun Agama;Pantun Agama
1283;bulan purnama air pasang\nlangit cerah tampak bintang\ntanpa hujan tanah gersang\ntanpa iman jiwa kering kerontang;Pantun Agama;Pantun Agama
1289;bulu kucing sangatlah halus\nkucing berlari mengejar bawal\njika murid sudah lulus\ncarilah kerja yang pasti halal;Pantun Agama;Pantun Agama
1302;Bunga bakung harum baunya\nMekar sunyi di tepi kolam\nJika iman kuat dasarnya\nHidup tenteram siang dan malam;Pantun Agama;Pantun Agama
1303;Bunga bakung mekar malam\nHarumnya lembut menyentuh rasa\nJika iman tertanam dalam\nHidup tenteram sepanjang masa;Pantun Agama;Pantun Agama
1310;bunga bersemi banyak merekah\ntempat bermain si hewan lebah\nsiapa orang suka sedekah\npasti hidupnya semakin berkah;Pantun Agama;Pantun Agama
1311;bunga besar bunga raflesia\nbunga kecil bunga melati\ncepatlah taubat wahai manusia\njangan menunggu sampai kau mati;Pantun Agama;Pantun Agama
1312;bunga bukan hanya bunga seroja\nmawar melati pun juga bunga\nilmu tak hanya ilmu dunia\nilmu akhirat pun juga ada;Pantun Agama;Pantun Agama
1329;Bunga flamboyan merah menyala\nTumbuh rindang di tepi jalan\nJika hidup penuh pahala\nRingan tangan suka amalkan;Pantun Agama;Pantun Agama
1345;Bunga kenanga jatuh ke tanah\nHarumnya masih tercium lama\nJika hidup jauh dari salah\nJaga iman setiap masa;Pantun Agama;Pantun Agama
1361;Bunga mawar banyak yang mekar\nDaunnya direndam di bawah lontar\nDosa berat bagi yang ingkar\nTiada tenteram, badan gemetar;Pantun Agama;Pantun Agama
1363;bunga mawar baunya harum\ndipetik di pagi hari\nbunga berseri merah ranum\nbak bidadari surga andini;Pantun Agama;Pantun Agama
1368;bunga mawar bunga melati\nkala dicium harum baunya\nbanyak cara sembuhkan hati\nbaca quran paham maknanya;Pantun Agama;Pantun Agama
1369;Bunga mawar bunga melati\nTumbuh banyak dipetik bibi\nIlmu ditimba sepenuh hati\nDari al Quran dan Sunnah Nabi;Pantun Agama;Pantun Agama
1375;Bunga mawar indah merekah\nBanyak mekar di tepi telaga\nKepada Allah mohonkan berkah\nSemoga kelak menempati surga;Pantun Agama;Pantun Agama
1381;Bunga mawar penuh berduri\nPanjang daunnya sejengkal jari\nJalankan salat Ashar di sore hari\nHati damai, hidup berseri;Pantun Agama;Pantun Agama
1389;Bunga mekar di pucuk dahan\nTumbuh subur di tanah lembah\nSelain Allah, tiada Tuhan\nKepada-Nya saja kita menyembah;Pantun Agama;Pantun Agama
1415;Bunga melati, bunga asoka\nBentuknya indah penuh estetika\nBila menjadi anak durhaka\nKelak matinya masuk neraka;Pantun Agama;Pantun Agama
1420;Bunga melur putih berseri\nHarumnya lembut di waktu pagi\nJika hidup ingin diberkati\nBanyakkan doa setiap hari;Pantun Agama;Pantun Agama
1428;Bunga raya merah menyala\nMekar segar di waktu pagi\nJika hidup banyak pahala\nRingan tangan suka berbagi;Pantun Agama;Pantun Agama
1451;Bunga teratai kembang di kolam\nDaunnya lebar terapung damai\nJika iman tertanam dalam\nHidup tenteram takkan cerai;Pantun Agama;Pantun Agama
1471;burung bangau burung gelatik\nhinggap di atas pohon merambat\nbarang siapa berbuat baik\nmaka hidupnya akan penuh rahmat;Pantun Agama;Pantun Agama
1497;Burung camar terbang ke laut\nOmbak putih datang menyambut\nJika hati terasa kalut\nIngat Tuhan tempat berpaut;Pantun Agama;Pantun Agama
1499;Burung camar terbang ke laut\nOmbak putih pecah menyebar\nJika hidup terasa semrawut\nIngat Tuhan tempat bersandar;Pantun Agama;Pantun Agama
1521;burung dara terbang ke rawa\nmata memandang kawanan rusa\nzakat fitrah penyuci jiwa\nsetelah selesai berpuasa;Pantun Agama;Pantun Agama
1538;Burung elang terbang melayang\nMenembus langit yang cerah\nJika ingin hidup tenang\nDekatkan diri kepada Allah;Pantun Agama;Pantun Agama
1540;Burung elang terbang melayang\nSayap kuat menembus awan\nJangan mudah berbuat curang\nKarena dosa membawa penyesalan;Pantun Agama;Pantun Agama
1545;burung elang terbang tinggi\nmemandang bumi dari angkasa\nilmu mengangkat derajat diri\njika disertai iman dan rasa;Pantun Agama;Pantun Agama
1556;Burung gereja terbang rendah\nMencari makan di halaman\nJika hidup ingin penuh berkah\nJaga iman dan perbuatan;Pantun Agama;Pantun Agama
1583;Burung kecil terbang berdua\nHinggap manis di atas dahan\nJika ingin hidup mulia\nBersyukur atas pemberian Tuhan;Pantun Agama;Pantun Agama
1629;Burung merpati terbang berdua\nHinggap di dahan penuh bunga\nCinta kita kan abadi selamanya\nSeperti doa yang tak pernah sirna;Pantun Agama;Pantun Agama
1654;burung nuri burung kenari\nhingga di pohon sejenak saja\nterus ibadah setiap hari\nrajin shalat jangan lupa;Pantun Agama;Pantun Agama
1655;burung nuri burung kenari\nhinggap di pohon sebentar saja\nteruslah ibadah setiap hari\nrajin shalat lima waktu jangan lupa;Pantun Agama;Pantun Agama
1678;Burung nuri terbang rendah\nHinggap sebentar di tanah\nJauhi dosa dan fitnah\nAgar hidup jadi indah;Pantun Agama;Pantun Agama
1683;Burung nuri, burung merpati\nTerbang tinggi jauh melayang\nJika ingin terhibur hati\nIngatlah Tuhan Maha Penyayang;Pantun Agama;Pantun Agama
1684;burung pelatuk di atas dahan\nterbang pergi ke lain pohon\nhidup mati di tangan tuhan\nkepada allah kita bermohon;Pantun Agama;Pantun Agama
1696;Burung pipit hinggap di dahan\nAngin sepoi berhembus pelan\nJika ingin masa depan\nDekatkan diri pada Tuhan;Pantun Agama;Pantun Agama
1706;Burung pipit terbang ke rawa\nMencari makan di antara padi\nJika hidup penuh doa\nHati tenang setiap hari;Pantun Agama;Pantun Agama
1721;burung punai lepas di tangan\npetani pergi menabur benih\njika sholat selalu ditunaikan\nbagai mandi di sungai jernih;Pantun Agama;Pantun Agama
1723;burung puyuh main di rawa\nmasuk tanah yang berongga\nridha allah pada orang tua\norang tua ridha pahalanya surga;Pantun Agama;Pantun Agama
1727;Burung ruak-ruak terbang berdua\nMenyusur sungai mencari ikan\nJika bersua hulurkan doa\nSilaturahim erat berpanjangan;Pantun Agama;Pantun Agama
1749;Burung terbang di angkasa\nLaksanana pesawat lepas landas\nJanganlah engkau berbuat dosa\nKarena kelak akan kandas;Pantun Agama;Pantun Agama
1752;burung terbang jauh melayang\npergi pagi datang siang\nagama islam memiliki tiang\ntiang kuat namanya sembahyang;Pantun Agama;Pantun Agama
1768;cahaya lilin mulai meredup\nnamun listrik masih mati\nallah tahu kamu sanggup\njangan siasiakan bakat diri;Pantun Agama;Pantun Agama
1772;cahaya surya amat terik\nterkena badan amat panasnya\nawas jangan berbuat syirik\nbisabisa kekal di neraka;Pantun Agama;Pantun Agama
1778;cantik dan manis anak bu indah\nternyata namanya dian rosa\nkenapa kau selalu tak beribadah\napa sudah lupa dengan dosa;Pantun Agama;Pantun Agama
1787;cari lebah bersarang besar\njangan tersengat racun berbisa\njanji allah adalah benar\njangan tertipu kehidupan dunia;Pantun Agama;Pantun Agama
1817;Coba berlayar ke selat Malaka\nTidaklah kecil deru ombaknya\nSyariat Islam jalannya kita\nHadits Nabi sebagai petunjuknya;Pantun Agama;Pantun Agama
1834;daging sapi dan daging domba\ndibagibagikan ke fakir miskin\njika aku punya salah dan dosa\naku mohon maaf lahir dan batin;Pantun Agama;Pantun Agama
1837;dalam hutan ada beruang\ndari tengah menuju pinggiran\nnabi tidak mewariskan uang\nyang diwariskan adalah quran;Pantun Agama;Pantun Agama
1844;Danau Asahan dekat gua\nAda kolam tempatnya ikan\nKepada Tuhan kita berdoa\nSegala beban kita serahkan;Pantun Agama;Pantun Agama
