no,id_data_asli,jenis_pantun,pantun_asli_lengkap,sampiran_asli,isi_input_model,model,setting,setting_label,sampiran_generated,gen_line_count,isi_line_count,r_score,a_score,clr,suku_baris_1,suku_baris_2,suku_baris_3,suku_baris_4,dev_total,semantic_bridge_score_llm_1_5
87,1718,Pantun jenaka,"burung pipit turun ke rawa
kakinya gerah kena belerang
nenek murung jadi tertawa
melihat kakek main kelerang","burung pipit turun ke rawa
kakinya gerah kena belerang","nenek murung jadi tertawa
melihat kakek main kelereng",Chat-GPT,few_shot,Hasil Few-shot,"Pagi cerah membawa ceria
Burung gereja terbang dilereng",2,2,1,1.000000,0.000000,10,10,9,10,0,
47,4689,Pantun cinta dan kasih,"pasar sawang beli lawang
salak pondoh sepat rasanya
sabar sayang abang kan pulang
ada jodoh tidak akan ke mana","pasar sawang beli lawang
salak pondoh sepat rasanya","sabar sayang abang kan pulang
ada jodoh tidak akan ke mana",Chat-GPT,few_shot,Hasil Few-shot,"Sabar menanti musim kemarau
Burung merpati pulang ke mana",2,2,0,1.000000,0.285714,10,10,9,11,0,
61,2906,Pantun bakti keluarga,"kalau angin bertiup di darat
ambillah jala turunkan sampan
kalau hidup hendak selamat
ayah dan bunda kita muliakan","kalau angin bertiup di darat
ambillah jala turunkan sampan","kalau hidup hendak selamat
ayah dan bunda kita muliakan",Chat-GPT,few_shot,Hasil Few-shot,"Kalau berlayar bawalah pelamat
Bunga kenanga harum semalaman",2,2,1,1.000000,0.142857,11,11,9,11,0,
67,3196,Pantun kehidupan dan renungan,"Ke kebun pagi membawa keranjang
Keranjang rotan diisi mangga
Jika hidup terasa panjang
Gunakan waktu untuk berkarya","Ke kebun pagi membawa keranjang
Keranjang rotan diisi mangga","Jika hidup terasa panjang
Gunakan waktu untuk berkarya",Chat-GPT,few_shot,Hasil Few-shot,"Jika petang langit terbentang
Petik kenanga untuk berkarya",2,2,1,1.000000,0.285714,9,10,9,10,0,
90,55,Pantun jenaka,"ada pohon di tepi rawa
daunnya kering dimakan kutu
adik menangis sambil tertawa
melihat kambing pakai sepatu","ada pohon di tepi rawa
daunnya kering dimakan kutu","adik menangis sambil tertawa
melihat kambing pakai sepatu",Chat-GPT,few_shot,Hasil Few-shot,"Burung pipit hinggap tertawa
Anak bebek memakai sepatu",2,2,1,1.000000,0.250000,9,10,10,10,0,
29,6149,Pantun adat dan budaya,"Sirih kuning disusun rapi
Pinang dibelah dua bahagian
Jika hidup ingin diberkati
Pelihara adat dan pegangan","Sirih kuning disusun rapi
Pinang dibelah dua bahagian","Jika hidup ingin diberkati
Pelihara adat dan pegangan",Chat-GPT,few_shot,Hasil Few-shot,"Bunga melati semerbak wangi
Perahu nelayan menuju tepian",2,2,1,1.000000,0.000000,10,12,10,10,0,
69,3326,Pantun kehidupan dan renungan,"Ke sawah pagi membawa ani-ani
Padi menguning tampak merata
Jika ingin hidup berarti
Hidupkan empati dalam jiwa","Ke sawah pagi membawa ani-ani
Padi menguning tampak merata","Jika ingin hidup berarti
Hidupkan empati dalam jiwa",Chat-GPT,few_shot,Hasil Few-shot,"Jika melaut mencari rezeki
Bunga melati tumbuh di halaman jiwa",2,2,1,0.852344,0.285714,11,13,9,10,1,
97,6235,Pantun anak-anak,"sungguh indah bunga mawar
harum semerbak di tepi taman
setelah bermain bersihkan kamar
jangan sampai berantakan","sungguh indah bunga mawar
harum semerbak di tepi taman","setelah bermain bersihkan kamar
jangan sampai berantakan",Chat-GPT,few_shot,Hasil Few-shot,"Sebelum pulang petik mawar
Halaman rumah jangan berantakan",2,2,1,1.000000,0.285714,9,11,11,8,0,
8,120,Pantun nasihat dan budi pekerti,"Air hujan turun ke ladang
Menyuburkan padi di sawah
Jika hidup ingin tenang
Jangan suka mencari salah","Air hujan turun ke ladang
Menyuburkan padi di sawah","Jika hidup ingin tenang
Jangan suka mencari salah",Chat-GPT,few_shot,Hasil Few-shot,"Burung bangau terbang tenang
Jangan mudah memetik getah",2,2,1,1.000000,0.250000,8,9,8,9,0,
18,4555,Pantun agama,"Pagi hari menuju sawah
Embun jatuh di daun padi
Jika hidup ingin berkah
Rajin ibadah setiap hari","Pagi hari menuju sawah
Embun jatuh di daun padi","Jika hidup ingin berkah
Rajin ibadah setiap hari",Chat-GPT,few_shot,Hasil Few-shot,"Bunga cempaka semerbak berkah
Mentari pagi bersinar cerah",2,2,0,1.000000,0.125000,10,10,8,10,0,
12,315,Pantun nasihat dan budi pekerti,"Anak dara menampi padi
Angin bertiup perlahan-lahan
Jika ingin hidup terpuji
Utamakan budi dalam pergaulan","Anak dara menampi padi
Angin bertiup perlahan-lahan","Jika ingin hidup terpuji
Utamakan budi dalam pergaulan",Chat-GPT,few_shot,Hasil Few-shot,"Padi menguning tampak terpuji
Berjalan santun dalam pergaulan",2,2,1,1.000000,0.285714,10,10,9,11,0,
88,5682,Pantun jenaka,"pulang memancing badan kusam
mendapat ikan anak tenggiri
ketika ditanya semuanya diam
karena kentut tak berbunyi","pulang memancing badan kusam
mendapat ikan anak tenggiri","ketika ditanya semuanya diam
karena kentut tak berbunyi",Chat-GPT,few_shot,Hasil Few-shot,"Burung pipit terbang diam
Daun kering jatuh menguning",2,2,0,1.000000,0.142857,8,9,12,9,0,
40,6548,Pantun kiasan dan peribahasa,"tumbuh merata pohon tebu
pergi ke pasar membeli daging
banyak harta miskin ilmu
bagai rumah tidak berdinding","tumbuh merata pohon tebu
pergi ke pasar membeli daging","banyak harta miskin ilmu
bagai rumah tidak berdinding",Chat-GPT,few_shot,Hasil Few-shot,"Banyak padi tersimpan di lumbung
Pagar bambu tegak mengeliling",2,2,0,1.000000,0.166667,10,10,8,9,0,
93,1014,Pantun teka-teki,"berpindah tempat ke kota medan
jangan lupa membawa baju
kakiku empat tak punya badan
coba tebak siapakah aku","berpindah tempat ke kota medan
jangan lupa membawa baju","kakiku empat tak punya badan
coba tebak siapakah aku",Chat-GPT,few_shot,Hasil Few-shot,"Meja kayu berkaki empat
Cobalah jawab jangan ragu",2,2,0,1.000000,0.125000,9,9,10,10,0,
88,5682,Pantun jenaka,"pulang memancing badan kusam
mendapat ikan anak tenggiri
ketika ditanya semuanya diam
karena kentut tak berbunyi","pulang memancing badan kusam
mendapat ikan anak tenggiri","ketika ditanya semuanya diam
karena kentut tak berbunyi",Chat-GPT,zero_shot,Hasil Zero-shot,"Mentari pagi mulai redup
Daun keladi jatuh ke kolam",2,2,0,1.000000,0.000000,9,10,12,9,0,
7,5357,Pantun nasihat dan budi pekerti,"Pergi ke taman memetik kenari
Kenari jatuh ke atas tanah
Jika hidup ingin penuh budi
Rendah hati jauhi angkuh dan marah","Pergi ke taman memetik kenari
Kenari jatuh ke atas tanah","Jika hidup ingin penuh budi
Rendah hati jauhi angkuh dan marah",Chat-GPT,zero_shot,Hasil Zero-shot,"Bunga melati harum berbudi
Jauhi semak yang penuh amarah",2,2,1,1.000000,0.200000,10,11,10,12,0,
26,514,Pantun pendidikan,"Angin pagi menyentuh daun
Embun jatuh di atas batu
Ilmu tinggi bukan sekadar daun
Namun amal jadi penentu","Angin pagi menyentuh daun
Embun jatuh di atas batu","Ilmu tinggi bukan sekadar daun
Namun amal jadi penentu",Chat-GPT,zero_shot,Hasil Zero-shot,"Burung tekukur hinggap di dahan
Embun pagi menitis di batu",2,2,0,1.000000,0.000000,10,10,11,9,0,
89,4028,Pantun jenaka,"memetik bunga di tepi rawa
sambil mendengar kicauan burung
terbahakbahak itik tertawa
melihat monyet memakai sarung","memetik bunga di tepi rawa
sambil mendengar kicauan burung","terbahakbahak itik tertawa
melihat monyet memakai sarung",Chat-GPT,zero_shot,Hasil Zero-shot,"Burung kenari pandai tertawa
Kucing belang memakai sarung",2,2,1,1.000000,0.428571,10,9,10,10,0,
53,1337,Pantun persahabatan,"Bunga kenanga disemat dara
Harumnya lembut dibawa angin
Jika hati penuh setia
Persahabatan kekal terjalin","Bunga kenanga disemat dara
Harumnya lembut dibawa angin","Jika hati penuh setia
Persahabatan kekal terjalin",Chat-GPT,zero_shot,Hasil Zero-shot,"Bunga melati harum ceria
Angin sepoi bertiup perlahan",2,2,0,1.000000,0.000000,10,10,9,10,0,
35,2330,Pantun kiasan dan peribahasa,"hendak berlayar hari dah petang
tepikan biduk kucutkan sampan
tak kenal maka tak sayang
marilah kita berkenalan","hendak berlayar hari dah petang
tepikan biduk kucutkan sampan","tak kenal maka tak sayang
marilah kita berkenalan",Chat-GPT,zero_shot,Hasil Zero-shot,"Naik perahu menuju padang
Singgah sebentar membeli makanan",2,2,1,1.000000,0.000000,10,11,8,9,0,
4,4515,Pantun nasihat dan budi pekerti,"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pagi hari memetik mangga
Burung kecil hinggap di pagar","Jika ingin hidup bahagia
Bersikap jujur dan sabar",Chat-GPT,zero_shot,Hasil Zero-shot,"Mentari pagi menyapa desa
Burung kecil hinggap di pagar",2,2,1,1.000000,0.000000,10,9,10,8,0,
23,1637,Pantun pendidikan,"Burung merpati terbang ke taman
Hinggap sebentar di pohon jati
Kalau ingin masa depan aman
Belajarlah rajin sepenuh hati","Burung merpati terbang ke taman
Hinggap sebentar di pohon jati","Kalau ingin masa depan aman
Belajarlah rajin sepenuh hati",Chat-GPT,zero_shot,Hasil Zero-shot,"Rumah kayu tetap aman
Belajarlah tekun sepenuh hati",2,2,1,1.000000,0.444444,8,11,10,11,0,
74,1729,Pantun kebangsaan,"Burung serindit menyisir awan
Hinggap sebentar di dahan sena
Jika amanah dijunjung tuan
Teguhlah bangsa tidak ternoda","Burung serindit menyisir awan
Hinggap sebentar di dahan sena","Jika amanah dijunjung tuan
Teguhlah bangsa tidak ternoda",Chat-GPT,zero_shot,Hasil Zero-shot,"Jika pusaka dijunjung tuan
Harumlah bangsa tiada ternoda",2,2,1,1.000000,0.714286,10,11,10,10,0,
83,1397,Pantun perpisahan dan perantauan,"bunga melati di tepi sawah
cantik elok di dekat batu
jika nanti kita berpisah
jangan pernah lupakan aku","bunga melati di tepi sawah
cantik elok di dekat batu","jika nanti kita berpisah
jangan pernah lupakan aku",Chat-GPT,zero_shot,Hasil Zero-shot,"Pohon randu tumbuh berpisah
Bunga kenanga harum semerbak",2,2,0,1.000000,0.166667,9,10,9,9,0,
33,4327,Pantun adat dan budaya,"Ombak beralun di Kuala Tanjung
Perahu nelayan pulang ke hulu
Jika adat sentiasa dijunjung
Hilang sengketa hidup bersatu","Ombak beralun di Kuala Tanjung
Perahu nelayan pulang ke hulu","Jika adat sentiasa dijunjung
Hilang sengketa hidup bersatu",Chat-GPT,zero_shot,Hasil Zero-shot,"Pohon waru tumbuh menjunjung
Air mengalir menuju batu",2,2,1,1.000000,0.000000,9,10,11,10,0,
75,1347,Pantun kebangsaan,"Bunga kenanga mekar berseri
Harumnya halus menawan rasa
Jika budi menjadi pertiwi
Bangsa bermaruah sepanjang masa","Bunga kenanga mekar berseri
Harumnya halus menawan rasa","Jika budi menjadi pertiwi
Bangsa bermaruah sepanjang masa",Chat-GPT,zero_shot,Hasil Zero-shot,"Jika melati menjadi pertiwi
Harumlah bangsa sepanjang masa",2,2,1,1.000000,0.750000,11,10,10,11,0,
61,2906,Pantun bakti keluarga,"kalau angin bertiup di darat
ambillah jala turunkan sampan
kalau hidup hendak selamat
ayah dan bunda kita muliakan","kalau angin bertiup di darat
ambillah jala turunkan sampan","kalau hidup hendak selamat
ayah dan bunda kita muliakan",Chat-GPT,zero_shot,Hasil Zero-shot,"Kalau berlayar hendak selamat
Sopan bicara kepada satria",2,2,0,1.000000,0.428571,10,11,9,11,0,
95,6446,Pantun teka-teki,"Terburu-buru ke kamar mandi
Ternyata lupa membawa sabun
Coba tebak apakah ini
Selalu naik tak pernah turun","Terburu-buru ke kamar mandi
Ternyata lupa membawa sabun","Coba tebak apakah ini
Selalu naik tak pernah turun",Chat-GPT,zero_shot,Hasil Zero-shot,"Mari menebak apakah ini
Mentari pagi selalu naik",2,2,0,1.000000,0.375000,10,10,9,10,0,
12,315,Pantun nasihat dan budi pekerti,"Anak dara menampi padi
Angin bertiup perlahan-lahan
Jika ingin hidup terpuji
Utamakan budi dalam pergaulan","Anak dara menampi padi
Angin bertiup perlahan-lahan","Jika ingin hidup terpuji
Utamakan budi dalam pergaulan",Chat-GPT,zero_shot,Hasil Zero-shot,"Air jernih mengalir segar
Purnama terang sepanjang usia",2,2,0,1.000000,0.000000,9,11,9,11,0,
16,6428,Pantun agama,"terang bulan terang bercahaya
cahaya memancar ke tanjung jati
jikalau hendak hidup bahagia
beramal ibadah sebelum mati","terang bulan terang bercahaya
cahaya memancar ke tanjung jati","jikalau hendak hidup bahagia
beramal ibadah sebelum mati",Chat-GPT,zero_shot,Hasil Zero-shot,"Daun sirih tampak bersih
Mentari bersinar sepanjang masa",2,2,0,1.000000,0.000000,8,11,11,11,0,
50,1442,Pantun persahabatan,"Bunga tanjung di halaman
Harumnya semerbak kala senja
Jika ingin dihormati teman
Bersikap rendah hati sentiasa","Bunga tanjung di halaman
Harumnya semerbak kala senja","Jika ingin dihormati teman
Bersikap rendah hati sentiasa",Chat-GPT,zero_shot,Hasil Zero-shot,"Jika ingin disayang teman
Bersikap ramah sepanjang masa",2,2,1,1.000000,0.500000,9,10,10,11,0,
72,1095,Pantun kebangsaan,"Bintang timur menyinsing pagi
Menyingkap kabut di hujung desa
Jika amanah dijunjung tinggi
Tegaklah bangsa penuh wibawa","Bintang timur menyinsing pagi
Menyingkap kabut di hujung desa","Jika amanah dijunjung tinggi
Tegaklah bangsa penuh wibawa",Chat-GPT,zero_shot,Hasil Zero-shot,"Jika pusaka dijunjung tinggi
Harumlah taman penuh wibawa",2,2,1,1.000000,0.625000,10,10,10,10,0,
57,6154,Pantun bakti keluarga,"Sirih sekapur di dalam dulang
Pinang belah disusun rata
Jika ingin hidup gemilang
Jangan lupa restu orang tua","Sirih sekapur di dalam dulang
Pinang belah disusun rata","Jika ingin hidup gemilang
Jangan lupa restu orang tua",Chat-GPT,zero_shot,Hasil Zero-shot,"Jika mendaki bukit gemilang
Petik kenanga di taman tua",2,2,1,1.000000,0.333333,10,10,9,10,0,
2,185,Pantun nasihat dan budi pekerti,"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka","Air telaga ditimba petang
Disimpan dalam kendi tua","Jika ingin hidup dikenang
Budi baik jadi pusaka",Chat-GPT,zero_shot,Hasil Zero-shot,"Anak dagang membawa parang
Nyiur melambai di tepi muara",2,2,1,1.000000,0.000000,9,11,9,9,0,
48,1170,Pantun cinta dan kasih,"Buah kuini jatuh tercampak
Jatuh menimpa bunga selasih
Biar bertahun dilambung ombak
Tidak ku lupa pada yang kasih","Buah kuini jatuh tercampak
Jatuh menimpa bunga selasih","Biar bertahun dilambung ombak
Tidak ku lupa pada yang kasih",Chat-GPT,zero_shot,Hasil Zero-shot,"Biar perahu dilambung ombak
Tidak kulupa harum kekasih",2,2,1,1.000000,0.500000,10,10,10,10,0,
99,4583,Pantun anak-anak,"pagi ini membaca koran
baca berita orang hilang
bermain kejarkejaran
badan sehat hati pun senang","pagi ini membaca koran
baca berita orang hilang","bermain kejarkejaran
badan sehat hati pun senang",Chat-GPT,zero_shot,Hasil Zero-shot,"Bermain petak umpet di halaman
Tubuh segar hati pun senang",2,2,1,1.000000,0.500000,11,9,8,9,0,
56,6440,Pantun bakti keluarga,"Terbang tinggi burung merpati
Hinggap sebentar di pohon kelapa
Hidup di dunia buatlah bakti
Kepada ibu dan juga bapa","Terbang tinggi burung merpati
Hinggap sebentar di pohon kelapa","Hidup di dunia buatlah bakti
Kepada ibu dan juga bapa",Chat-GPT,zero_shot,Hasil Zero-shot,"Burung merpati terbang tinggi
Singgah sebentar di rumah bapa",2,2,1,1.000000,0.142857,9,10,11,10,0,
69,3326,Pantun kehidupan dan renungan,"Ke sawah pagi membawa ani-ani
Padi menguning tampak merata
Jika ingin hidup berarti
Hidupkan empati dalam jiwa","Ke sawah pagi membawa ani-ani
Padi menguning tampak merata","Jika ingin hidup berarti
Hidupkan empati dalam jiwa",Chat-GPT,zero_shot,Hasil Zero-shot,"Jika mendaki hidup berarti
Harum melati memenuhi jiwa",2,2,1,1.000000,0.571429,10,11,9,10,0,
65,1473,Pantun kehidupan dan renungan,"Burung bangau di tepi rawa
Mencari ikan sejak pagi
Kalau ingin hidup bahagia
Jaga hati dari dengki","Burung bangau di tepi rawa
Mencari ikan sejak pagi","Kalau ingin hidup bahagia
Jaga hati dari dengki",Chat-GPT,zero_shot,Hasil Zero-shot,"Kalau hendak hidup bahagia
Jangan bermain hati yang dengki",2,2,1,1.000000,0.714286,10,10,10,8,0,
67,3196,Pantun kehidupan dan renungan,"Ke kebun pagi membawa keranjang
Keranjang rotan diisi mangga
Jika hidup terasa panjang
Gunakan waktu untuk berkarya","Ke kebun pagi membawa keranjang
Keranjang rotan diisi mangga","Jika hidup terasa panjang
Gunakan waktu untuk berkarya",Claude,few_shot,Hasil Few-shot,"Kacang panjang tumbuh di ladang
Ramai orang di hari raya",2,2,1,1.000000,0.142857,9,9,9,10,0,
23,1637,Pantun pendidikan,"Burung merpati terbang ke taman
Hinggap sebentar di pohon jati
Kalau ingin masa depan aman
Belajarlah rajin sepenuh hati","Burung merpati terbang ke taman
Hinggap sebentar di pohon jati","Kalau ingin masa depan aman
Belajarlah rajin sepenuh hati",Claude,few_shot,Hasil Few-shot,"Burung camar terbang ke awan
Burung pipit hinggap berseri",2,2,1,1.000000,0.000000,9,9,10,11,0,
81,950,Pantun perpisahan dan perantauan,"berburu belut ke tepi sawah
segera pulang hari pun senja
baru seminggu kita berpisah
rindu di hati telah membara","berburu belut ke tepi sawah
segera pulang hari pun senja","baru seminggu kita berpisah
rindu di hati telah membara",Claude,few_shot,Hasil Few-shot,"Daun kering gugur ke tanah
Burung camar terbang tinggi ke angkasa",2,2,1,1.000000,0.000000,9,12,10,10,0,
17,6031,Pantun agama,"senja terbenam di langit barat
bulan tak bersinar di malam sendu
hidup di dunia ingatlah akhirat
sebagai bekal gapailah ilmu","senja terbenam di langit barat
bulan tak bersinar di malam sendu","hidup di dunia ingatlah akhirat
sebagai bekal gapailah ilmu",Claude,few_shot,Hasil Few-shot,"Pergi ke pasar membeli obat
Burung merpati terbang selalu",2,2,1,1.000000,0.000000,10,10,12,10,0,
56,6440,Pantun bakti keluarga,"Terbang tinggi burung merpati
Hinggap sebentar di pohon kelapa
Hidup di dunia buatlah bakti
Kepada ibu dan juga bapa","Terbang tinggi burung merpati
Hinggap sebentar di pohon kelapa","Hidup di dunia buatlah bakti
Kepada ibu dan juga bapa",Claude,few_shot,Hasil Few-shot,"Pergi berlayar mencari sakti
Ke ladang pagi memetik kelapa",2,2,1,1.000000,0.000000,10,11,11,10,0,
52,1714,Pantun persahabatan,"Burung pipit terbang rendah
Hinggap sebentar di pohon cemara
Jika hati selalu ramah
Banyak sahabat datang menyapa","Burung pipit terbang rendah
Hinggap sebentar di pohon cemara","Jika hati selalu ramah
Banyak sahabat datang menyapa",Claude,few_shot,Hasil Few-shot,"Burung pipit hinggap di rumah
Pohon kelapa tumbuh di pantai",2,2,0,1.000000,0.000000,9,10,9,10,0,
33,4327,Pantun adat dan budaya,"Ombak beralun di Kuala Tanjung
Perahu nelayan pulang ke hulu
Jika adat sentiasa dijunjung
Hilang sengketa hidup bersatu","Ombak beralun di Kuala Tanjung
Perahu nelayan pulang ke hulu","Jika adat sentiasa dijunjung
Hilang sengketa hidup bersatu",Claude,few_shot,Hasil Few-shot,"Elang terbang tinggi di gunung
Anak ikan berenang di batu",2,2,1,1.000000,0.000000,9,10,11,10,0,
4,4515,Pantun nasihat dan budi pekerti,"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pagi hari memetik mangga
Burung kecil hinggap di pagar","Jika ingin hidup bahagia
Bersikap jujur dan sabar",Claude,few_shot,Hasil Few-shot,"Burung merpati terbang ke desa
Kerbau digembala di padang besar",2,2,1,1.000000,0.000000,10,11,10,8,0,
36,5563,Pantun kiasan dan peribahasa,"pohon kelapa ditanam disana
berdekatan dengan pohon kenari
peran ibu bapak dalam dunia
bagaikan bulan dan matahari","pohon kelapa ditanam disana
berdekatan dengan pohon kenari","peran ibu bapak dalam dunia
bagaikan bulan dan matahari",Claude,few_shot,Hasil Few-shot,"Anak kera bermain di rimba
Bunga kenanga harum berseri",2,2,1,1.000000,0.000000,10,10,11,10,0,
97,6235,Pantun anak-anak,"sungguh indah bunga mawar
harum semerbak di tepi taman
setelah bermain bersihkan kamar
jangan sampai berantakan","sungguh indah bunga mawar
harum semerbak di tepi taman","setelah bermain bersihkan kamar
jangan sampai berantakan",Claude,few_shot,Hasil Few-shot,"Pergi ke pasar membeli akar
Ibu memasak nasi dan ikan",2,2,1,1.000000,0.000000,10,10,11,8,0,
13,2101,Pantun agama,"durian runtuh jatuh ke dahan
bertiup angin dari tanjung pinang
tunduk patuh pada tuhan
hati teduh jiwa pun tenang","durian runtuh jatuh ke dahan
bertiup angin dari tanjung pinang","tunduk patuh pada tuhan
hati teduh jiwa pun tenang",Claude,few_shot,Hasil Few-shot,"Burung camar terbang ke lautan
Anak-anak bermain riang",2,2,1,1.000000,0.000000,9,9,8,9,0,
59,5859,Pantun bakti keluarga,"sampan kecil kita berlabuh
memuat kelapa bawa ke pasar
sejak kecil kita diasuh
jasa ibu bapak sangatlah besar","sampan kecil kita berlabuh
memuat kelapa bawa ke pasar","sejak kecil kita diasuh
jasa ibu bapak sangatlah besar",Claude,few_shot,Hasil Few-shot,"Mencuci baju lalu dibasuh
Ramai orang berjualan di pasar",2,2,1,1.000000,0.000000,10,11,9,11,0,
92,1001,Pantun teka-teki,"berlayar perahu dari berandan
menuju arah selat malaka
lebar kepala dari badan
apakah itu coba kau terka","berlayar perahu dari berandan
menuju arah selat malaka","lebar kepala dari badan
apakah itu coba kau terka",Claude,few_shot,Hasil Few-shot,"Burung dara terbang menuju hutan
Singgah sejenak melepas dahaga",2,2,1,1.000000,0.000000,11,11,9,10,0,
70,1466,Pantun kehidupan dan renungan,"Burung bangau berdiri diam
Menunggu ikan di tepian
Orang sabar dalam diam
Menunggu waktu kemenangan","Burung bangau berdiri diam
Menunggu ikan di tepian","Orang sabar dalam diam
Menunggu waktu kemenangan",Claude,few_shot,Hasil Few-shot,"Bulan bersinar di waktu malam
Anak-anak bermain di lapangan",2,2,1,1.000000,0.166667,10,11,8,9,0,
