isi_input_model;sampiran_generated;semantic_bridge_score_llm_1_5;score_source;no;id_data_asli;jenis_pantun;pantun_asli_lengkap;sampiran_asli;model;setting;setting_label;gen_line_count;isi_line_count;r_score;a_score;clr;suku_baris_1;suku_baris_2;suku_baris_3;suku_baris_4;dev_total
"Jika ingin hidup dikenang
Budi baik jadi pusaka";"Burung merpati terbang melayang
Hinggap sejenak di dahan mangga";3;manual_pending;2;185;Pantun nasihat dan budi pekerti;"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka";"Air telaga ditimba petang
Disimpan dalam kendi tua";Claude;zero_shot;Hasil Zero-shot;2;2;1;1000000;0;10;10;9;9;0
"Jika ingin hidup dikenang
Budi baik jadi pusaka";"Burung camar terbang melayang
Perahu nelayan singgah di muara";3;manual_pending;2;185;Pantun nasihat dan budi pekerti;"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka";"Air telaga ditimba petang
Disimpan dalam kendi tua";Claude;few_shot;Hasil Few-shot;2;2;1;1000000;0;9;12;9;9;0
"Jika ingin hidup dikenang
Budi baik jadi pusaka";"Padang hijau tempat bermain
Berwarna hijau lembut dan mulus";3;manual_pending;2;185;Pantun nasihat dan budi pekerti;"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka";"Air telaga ditimba petang
Disimpan dalam kendi tua";Llama 3.1: 8B;few_shot;Hasil Few-shot;2;2;0;1000000;0;9;10;9;9;0
"Jika ingin hidup dikenang
Budi baik jadi pusaka";"Pohon akasia di tepian sungai,
Kenangan indah dalam jiwa abadi.";1;manual_pending;2;185;Pantun nasihat dan budi pekerti;"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka";"Air telaga ditimba petang
Disimpan dalam kendi tua";Sailor2;few_shot;Hasil Few-shot;2;2;0;1000000;0;12;12;9;9;0
"Jika ingin hidup dikenang
Budi baik jadi pusaka";"Langit tinggi dikejar awan
Bukit tinggi diayun semang";2;manual_pending;2;185;Pantun nasihat dan budi pekerti;"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka";"Air telaga ditimba petang
Disimpan dalam kendi tua";DeepSeek-R1;few_shot;Hasil Few-shot;2;2;0;1000000;0;9;9;9;9;0
"Jika hidup ingin bermutu
Jujur dan amanah harus dipagar";"Burung tekukur turun membantu
Petani bekerja di tepi pagar";1;manual_pending;3;3264;Pantun nasihat dan budi pekerti;"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar";"Ke pasar membeli buah duku
Duku manis rasanya segar";Chat-GPT;zero_shot;Hasil Zero-shot;2;2;1;1000000;0;10;11;9;11;0
"Jika hidup ingin bermutu
Jujur dan amanah harus dipagar";"Kain tenun berhias batu
Terikat erat rantai tembaga";4;manual_pending;3;3264;Pantun nasihat dan budi pekerti;"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar";"Ke pasar membeli buah duku
Duku manis rasanya segar";Gemini;few_shot;Hasil Few-shot;2;2;0;1000000;0;9;10;9;11;0
"Jika hidup ingin bermutu
Jujur dan amanah harus dipagar";"Pergi ke ladang memetik tebu
Buah kelapa dijual di pasar";3;manual_pending;3;3264;Pantun nasihat dan budi pekerti;"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar";"Ke pasar membeli buah duku
Duku manis rasanya segar";Claude;zero_shot;Hasil Zero-shot;2;2;1;1000000;0;10;11;9;11;0
"Jika hidup ingin bermutu
Jujur dan amanah harus dipagar";"Pergi ke kebun memetik tebu
Ikan berenang di kolam besar";3;manual_pending;3;3264;Pantun nasihat dan budi pekerti;"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar";"Ke pasar membeli buah duku
Duku manis rasanya segar";Claude;few_shot;Hasil Few-shot;2;2;1;1000000;0;10;10;9;11;0
"Jika hidup ingin bermutu
Jujur dan amanah harus dipagar";"Kebun sayuran berbatas jelas,
Kejujuran tumbuh subur di ladang hati.";1;manual_pending;3;3264;Pantun nasihat dan budi pekerti;"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar";"Ke pasar membeli buah duku
Duku manis rasanya segar";Sailor2;few_shot;Hasil Few-shot;2;2;0;852344;0;10;13;9;11;1
"Jika ingin hidup bahagia
Bersikap jujur dan sabar";"Mentari pagi sinarnya ceria
Layar perahu dibawa pelayar";3;manual_pending;4;4515;Pantun nasihat dan budi pekerti;"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar";"Pagi hari memetik mangga
Burung kecil hinggap di pagar";Chat-GPT;few_shot;Hasil Few-shot;2;2;1;1000000;0;11;11;10;8;0
"Jika ingin hidup bahagia
Bersikap jujur dan sabar";"Tinggi menjulang pohon kelapa
Pagi hari udara segar";3;manual_pending;4;4515;Pantun nasihat dan budi pekerti;"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar";"Pagi hari memetik mangga
Burung kecil hinggap di pagar";Gemini;zero_shot;Hasil Zero-shot;2;2;1;1000000;0;10;9;10;8;0
"Jika ingin hidup bahagia
Bersikap jujur dan sabar";"Di tengah hutan tinggi di taman
Bunga mawar tumbuh bersemi-sembunyi";2;manual_pending;4;4515;Pantun nasihat dan budi pekerti;"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar";"Pagi hari memetik mangga
Burung kecil hinggap di pagar";Llama 3.1: 8B;few_shot;Hasil Few-shot;2;2;0;1000000;0;10;12;10;8;0
"Jika ingin hidup bahagia
Bersikap jujur dan sabar";"Rendah hati jalan budi mulia
Jangan tinggi diri tak tahan uji";1;manual_pending;4;4515;Pantun nasihat dan budi pekerti;"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar";"Pagi hari memetik mangga
Burung kecil hinggap di pagar";Sailor2;zero_shot;Hasil Zero-shot;2;2;0;1000000;0;11;11;10;8;0
"Jika ingin hidup bahagia
Bersikap jujur dan sabar";"Langit cerah hias keindahan
Hutan rimbun jadi kenangan";2;manual_pending;4;4515;Pantun nasihat dan budi pekerti;"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar";"Pagi hari memetik mangga
Burung kecil hinggap di pagar";DeepSeek-R1;few_shot;Hasil Few-shot;2;2;0;1000000;0;10;9;10;8;0
"Jika hidup ingin berisi budi
Hormati janji dan ucapan";"Pohon jati tumbuh berbudi
Singgah sebentar membeli papan";1;manual_pending;5;4853;Pantun nasihat dan budi pekerti;"Pergi ke desa membawa padi
Padi ditukar dengan ikan
Jika hidup ingin berisi budi
Hormati janji dan ucapan";"Pergi ke desa membawa padi
Padi ditukar dengan ikan";Chat-GPT;zero_shot;Hasil Zero-shot;2;2;1;1000000;0;9;10;11;9;0
"Jika hidup ingin berisi budi
Hormati janji dan ucapan";"Burung pipit terbang sendiri
Daun sirih dalam anyaman";3;manual_pending;5;4853;Pantun nasihat dan budi pekerti;"Pergi ke desa membawa padi
Padi ditukar dengan ikan
Jika hidup ingin berisi budi
Hormati janji dan ucapan";"Pergi ke desa membawa padi
Padi ditukar dengan ikan";Chat-GPT;few_shot;Hasil Few-shot;2;2;1;1000000;0;9;9;11;9;0
"Jika hidup ingin berisi budi
Hormati janji dan ucapan";"Membeli kain dari keladi
Dimasak masak dalam belanga";2;manual_pending;5;4853;Pantun nasihat dan budi pekerti;"Pergi ke desa membawa padi
Padi ditukar dengan ikan
Jika hidup ingin berisi budi
Hormati janji dan ucapan";"Pergi ke desa membawa padi
Padi ditukar dengan ikan";Gemini;few_shot;Hasil Few-shot;2;2;0;1000000;0;10;10;11;9;0
"Jika hidup ingin berisi budi
Hormati janji dan ucapan";"Pergi memancing ke tepi kali
Sambil menunggu turunnya hujan";3;manual_pending;5;4853;Pantun nasihat dan budi pekerti;"Pergi ke desa membawa padi
Padi ditukar dengan ikan
Jika hidup ingin berisi budi
Hormati janji dan ucapan";"Pergi ke desa membawa padi
Padi ditukar dengan ikan";Claude;zero_shot;Hasil Zero-shot;2;2;1;1000000;0;10;10;11;9;0
"Jika hidup ingin berisi budi
Hormati janji dan ucapan";"Bunga kenanga harum mewangi
Angin sepoi bertiup di taman";3;manual_pending;5;4853;Pantun nasihat dan budi pekerti;"Pergi ke desa membawa padi
Padi ditukar dengan ikan
Jika hidup ingin berisi budi
Hormati janji dan ucapan";"Pergi ke desa membawa padi
Padi ditukar dengan ikan";Claude;few_shot;Hasil Few-shot;2;2;1;1000000;0;10;10;11;9;0
"Jika hidup ingin berisi budi
Hormati janji dan ucapan";"Hormatlah dengan perbuatan
Membuat rasa hormat meninggi";1;manual_pending;5;4853;Pantun nasihat dan budi pekerti;"Pergi ke desa membawa padi
Padi ditukar dengan ikan
Jika hidup ingin berisi budi
Hormati janji dan ucapan";"Pergi ke desa membawa padi
Padi ditukar dengan ikan";Llama 3.1: 8B;zero_shot;Hasil Zero-shot;2;2;0;1000000;0;9;10;11;9;0
"Jika hidup ingin berisi budi
Hormati janji dan ucapan";"Gelombang laut membawa kebahagiaan
Ombak yang berderak menghampiri pantai";3;manual_pending;5;4853;Pantun nasihat dan budi pekerti;"Pergi ke desa membawa padi
Padi ditukar dengan ikan
Jika hidup ingin berisi budi
Hormati janji dan ucapan";"Pergi ke desa membawa padi
Padi ditukar dengan ikan";Llama 3.1: 8B;few_shot;Hasil Few-shot;2;2;0;748293;0;14;12;11;9;2
"Jika hidup ingin penuh budi
Rendah hati jangan dilalai";"Pergi melaut mencari padi
Jala ditebar hingga ke pantai";2;manual_pending;6;5040;Pantun nasihat dan budi pekerti;"Pergi ke ladang memanen padi
Padi menguning siap dituai
Jika hidup ingin penuh budi
Rendah hati jangan dilalai";"Pergi ke ladang memanen padi
Padi menguning siap dituai";Gemini;zero_shot;Hasil Zero-shot;2;2;1;1000000;0;10;10;10;9;0
"Jika hidup ingin penuh budi
Rendah hati jangan dilalai";"Anak ayam berjalan sendiri
Induk mencari di tepi sungai";3;manual_pending;6;5040;Pantun nasihat dan budi pekerti;"Pergi ke ladang memanen padi
Padi menguning siap dituai
Jika hidup ingin penuh budi
Rendah hati jangan dilalai";"Pergi ke ladang memanen padi
Padi menguning siap dituai";Claude;zero_shot;Hasil Zero-shot;2;2;1;1000000;0;10;10;10;9;0
"Jika hidup ingin penuh budi
Rendah hati jangan dilalai";"Kupu-kupu terbang tinggi
Sampan kecil menepi di pantai";3;manual_pending;6;5040;Pantun nasihat dan budi pekerti;"Pergi ke ladang memanen padi
Padi menguning siap dituai
Jika hidup ingin penuh budi
Rendah hati jangan dilalai";"Pergi ke ladang memanen padi
Padi menguning siap dituai";Claude;few_shot;Hasil Few-shot;2;2;1;1000000;0;8;10;10;9;0
"Jika hidup ingin penuh budi
Rendah hati jangan dilalai";"Pohon rindang tempat burung berkicau
Menyanyikan lagu-lagu khas petangnya";3;manual_pending;6;5040;Pantun nasihat dan budi pekerti;"Pergi ke ladang memanen padi
Padi menguning siap dituai
Jika hidup ingin penuh budi
Rendah hati jangan dilalai";"Pergi ke ladang memanen padi
Padi menguning siap dituai";Llama 3.1: 8B;few_shot;Hasil Few-shot;2;2;0;1000000;0;11;12;10;9;0
"Jika hidup ingin penuh budi
Rendah hati jangan dilalai";"Bukit curam ditembus panah
Matahari tinggi langit biru";2;manual_pending;6;5040;Pantun nasihat dan budi pekerti;"Pergi ke ladang memanen padi
Padi menguning siap dituai
Jika hidup ingin penuh budi
Rendah hati jangan dilalai";"Pergi ke ladang memanen padi
Padi menguning siap dituai";DeepSeek-R1;few_shot;Hasil Few-shot;2;2;0;1000000;0;9;10;10;9;0
"Jika hidup ingin penuh budi
Rendah hati jauhi angkuh dan marah";"Pohon jati tumbuh berbudi
Api marak membakar amarah";1;manual_pending;7;5357;Pantun nasihat dan budi pekerti;"Pergi ke taman memetik kenari
Kenari jatuh ke atas tanah
Jika hidup ingin penuh budi
Rendah hati jauhi angkuh dan marah";"Pergi ke taman memetik kenari
Kenari jatuh ke atas tanah";Chat-GPT;few_shot;Hasil Few-shot;2;2;1;1000000;0;9;10;10;12;0
"Jika hidup ingin penuh budi
Rendah hati jauhi angkuh dan marah";"Beli kain bertatah padi
Sungguh indah corak merah";4;manual_pending;7;5357;Pantun nasihat dan budi pekerti;"Pergi ke taman memetik kenari
Kenari jatuh ke atas tanah
Jika hidup ingin penuh budi
Rendah hati jauhi angkuh dan marah";"Pergi ke taman memetik kenari
Kenari jatuh ke atas tanah";Gemini;few_shot;Hasil Few-shot;2;2;1;1000000;0;9;8;10;12;0
"Jika hidup ingin penuh budi
Rendah hati jauhi angkuh dan marah";"Kancil berlari menepi
Mencari tempat teduh yang indah";3;manual_pending;7;5357;Pantun nasihat dan budi pekerti;"Pergi ke taman memetik kenari
Kenari jatuh ke atas tanah
Jika hidup ingin penuh budi
Rendah hati jauhi angkuh dan marah";"Pergi ke taman memetik kenari
Kenari jatuh ke atas tanah";Claude;zero_shot;Hasil Zero-shot;2;2;1;1000000;0;8;10;10;12;0
"Jika hidup ingin penuh budi
Rendah hati jauhi angkuh dan marah";"Padi menguning di sawah kami
Rumah kayu berdiri megah";3;manual_pending;7;5357;Pantun nasihat dan budi pekerti;"Pergi ke taman memetik kenari
Kenari jatuh ke atas tanah
Jika hidup ingin penuh budi
Rendah hati jauhi angkuh dan marah";"Pergi ke taman memetik kenari
Kenari jatuh ke atas tanah";Claude;few_shot;Hasil Few-shot;2;2;1;1000000;0;10;9;10;12;0
"Jika hidup ingin tenang
Jangan suka mencari salah";"Terbang tinggi burung elang
Singgah sebentar di kayu belah";3;manual_pending;8;120;Pantun nasihat dan budi pekerti;"Air hujan turun ke ladang
Menyuburkan padi di sawah
Jika hidup ingin tenang
Jangan suka mencari salah";"Air hujan turun ke ladang
Menyuburkan padi di sawah";Gemini;few_shot;Hasil Few-shot;2;2;1;1000000;0;8;10;8;9;0
"Jika hidup ingin tenang
Jangan suka mencari salah";"Berjalan menuju ladang
Singgah sebentar melepas lelah";3;manual_pending;8;120;Pantun nasihat dan budi pekerti;"Air hujan turun ke ladang
Menyuburkan padi di sawah
Jika hidup ingin tenang
Jangan suka mencari salah";"Air hujan turun ke ladang
Menyuburkan padi di sawah";Claude;zero_shot;Hasil Zero-shot;2;2;1;1000000;0;8;10;8;9;0
"Jika hidup ingin tenang
Jangan suka mencari salah";"Taman bambu di senja nan syahdu,
Tenanglah jiwa, tiada dendam rindu.";1;manual_pending;8;120;Pantun nasihat dan budi pekerti;"Air hujan turun ke ladang
Menyuburkan padi di sawah
Jika hidup ingin tenang
Jangan suka mencari salah";"Air hujan turun ke ladang
Menyuburkan padi di sawah";Sailor2;few_shot;Hasil Few-shot;2;2;0;1000000;0;10;12;8;9;0
"Jika hidup ingin tenang
Jangan suka mencari salah";"Taman kecil di balik bukit
Bunga kecil kian diingat";3;manual_pending;8;120;Pantun nasihat dan budi pekerti;"Air hujan turun ke ladang
Menyuburkan padi di sawah
Jika hidup ingin tenang
Jangan suka mencari salah";"Air hujan turun ke ladang
Menyuburkan padi di sawah";DeepSeek-R1;few_shot;Hasil Few-shot;2;2;0;1000000;0;9;9;8;9;0
"Jika ingin hidup berarti
Bersikap jujur dan lapang";"Bunga melur semerbak mewangi
Layar terkembang menuju seberang";3;manual_pending;9;1575;Pantun nasihat dan budi pekerti;"Burung kecil bernyanyi pagi
Di dahan pohon yang rindang
Jika ingin hidup berarti
Bersikap jujur dan lapang";"Burung kecil bernyanyi pagi
Di dahan pohon yang rindang";Chat-GPT;zero_shot;Hasil Zero-shot;2;2;1;1000000;0;10;11;9;8;0
"Jika ingin hidup berarti
Bersikap jujur dan lapang";"Beli kain berhias pati
Kapur sirih di atas piring";4;manual_pending;9;1575;Pantun nasihat dan budi pekerti;"Burung kecil bernyanyi pagi
Di dahan pohon yang rindang
Jika ingin hidup berarti
Bersikap jujur dan lapang";"Burung kecil bernyanyi pagi
Di dahan pohon yang rindang";Gemini;zero_shot;Hasil Zero-shot;2;2;0;1000000;0;9;9;9;8;0
"Jika ingin hidup berarti
Bersikap jujur dan lapang";"Pergi ke kebun memetik padi
Padi dijemur di tempat terang";2;manual_pending;9;1575;Pantun nasihat dan budi pekerti;"Burung kecil bernyanyi pagi
Di dahan pohon yang rindang
Jika ingin hidup berarti
Bersikap jujur dan lapang";"Burung kecil bernyanyi pagi
Di dahan pohon yang rindang";Claude;zero_shot;Hasil Zero-shot;2;2;1;1000000;0;10;10;9;8;0
"Jika ingin hidup berarti
Bersikap jujur dan lapang";"Embun pagi jatuh di bumi
Padi menguning memenuhi ladang";3;manual_pending;9;1575;Pantun nasihat dan budi pekerti;"Burung kecil bernyanyi pagi
Di dahan pohon yang rindang
Jika ingin hidup berarti
Bersikap jujur dan lapang";"Burung kecil bernyanyi pagi
Di dahan pohon yang rindang";Claude;few_shot;Hasil Few-shot;2;2;1;1000000;0;9;11;9;8;0
"Jika ingin hidup berarti
Bersikap jujur dan lapang";"Padang pasir tempat burung berkicau
Menyanyikan lagu-lagu khas petangnya";2;manual_pending;9;1575;Pantun nasihat dan budi pekerti;"Burung kecil bernyanyi pagi
Di dahan pohon yang rindang
Jika ingin hidup berarti
Bersikap jujur dan lapang";"Burung kecil bernyanyi pagi
Di dahan pohon yang rindang";Llama 3.1: 8B;few_shot;Hasil Few-shot;2;2;0;1000000;0;11;12;9;8;0
"Jika ingin hidup berarti
Bersikap jujur dan lapang";"Kicauan merdu burung di pagi hari,
Hati mulia, jiwa pun terberkahi.";1;manual_pending;9;1575;Pantun nasihat dan budi pekerti;"Burung kecil bernyanyi pagi
Di dahan pohon yang rindang
Jika ingin hidup berarti
Bersikap jujur dan lapang";"Burung kecil bernyanyi pagi
Di dahan pohon yang rindang";Sailor2;few_shot;Hasil Few-shot;2;2;0;1000000;0;12;12;9;8;0
"Jika ingin hidup berarti
Bersikap jujur dan lapang";"Rintik hujan di pagi buta
Langit kecil awan yang merang";3;manual_pending;9;1575;Pantun nasihat dan budi pekerti;"Burung kecil bernyanyi pagi
Di dahan pohon yang rindang
Jika ingin hidup berarti
Bersikap jujur dan lapang";"Burung kecil bernyanyi pagi
Di dahan pohon yang rindang";DeepSeek-R1;few_shot;Hasil Few-shot;2;2;0;1000000;0;9;9;9;8;0
"Jika ingin hidup terasa segar
Syukuri nikmat sepanjang usia";"Anak berjalan berbaris mekar
Matahari terbit indah membiasa";2;manual_pending;10;3176;Pantun nasihat dan budi pekerti;"Ke kebun bunga memetik mawar
Mawar merah harum baunya
Jika ingin hidup terasa segar
Syukuri nikmat sepanjang usia";"Ke kebun bunga memetik mawar
Mawar merah harum baunya";Gemini;zero_shot;Hasil Zero-shot;2;2;1;1000000;0;10;12;11;11;0
"Jika ingin hidup terasa segar
Syukuri nikmat sepanjang usia";"Nelayan pulang membawa ikan besar
Bunga melati mekar di desa";3;manual_pending;10;3176;Pantun nasihat dan budi pekerti;"Ke kebun bunga memetik mawar
Mawar merah harum baunya
Jika ingin hidup terasa segar
Syukuri nikmat sepanjang usia";"Ke kebun bunga memetik mawar
Mawar merah harum baunya";Claude;few_shot;Hasil Few-shot;2;2;1;1000000;0;12;10;11;11;0
"Jika ingin hidup terasa segar
Syukuri nikmat sepanjang usia";"Kayu lapuk di ujung pantai
Bidadari tinggal di awan tinggi";2;manual_pending;10;3176;Pantun nasihat dan budi pekerti;"Ke kebun bunga memetik mawar
Mawar merah harum baunya
Jika ingin hidup terasa segar
Syukuri nikmat sepanjang usia";"Ke kebun bunga memetik mawar
Mawar merah harum baunya";DeepSeek-R1;few_shot;Hasil Few-shot;2;2;0;1000000;0;9;11;11;11;0
"Jika ingin hidup mulia
Jujur selalu dalam hati";"Bunga melur semerbak mewangi
Layar terkembang menuju seberang";3;manual_pending;11;1343;Pantun nasihat dan budi pekerti;"Bunga kenanga harum baunya
Disimpan rapi di dalam peti
Jika ingin hidup mulia
Jujur selalu dalam hati";"Bunga kenanga harum baunya
Disimpan rapi di dalam peti";Chat-GPT;zero_shot;Hasil Zero-shot;2;2;0;1000000;0;10;11;9;9;0
"Jika ingin hidup mulia
Jujur selalu dalam hati";"Anak perahu membawa piala
Singgah sebentar di tepi kali";2;manual_pending;11;1343;Pantun nasihat dan budi pekerti;"Bunga kenanga harum baunya
Disimpan rapi di dalam peti
Jika ingin hidup mulia
Jujur selalu dalam hati";"Bunga kenanga harum baunya
Disimpan rapi di dalam peti";Gemini;few_shot;Hasil Few-shot;2;2;1;1000000;0;11;10;9;9;0
"Jika ingin hidup mulia
Jujur selalu dalam hati";"Bunga mawar mekar di taman kota
Harum semerbak sepanjang hari";3;manual_pending;11;1343;Pantun nasihat dan budi pekerti;"Bunga kenanga harum baunya
Disimpan rapi di dalam peti
Jika ingin hidup mulia
Jujur selalu dalam hati";"Bunga kenanga harum baunya
Disimpan rapi di dalam peti";Claude;zero_shot;Hasil Zero-shot;2;2;1;1000000;0;11;10;9;9;0
"Jika ingin hidup mulia
Jujur selalu dalam hati";"Air sungai mengalir ke muara
Burung pipit hinggap di pagi";3;manual_pending;11;1343;Pantun nasihat dan budi pekerti;"Bunga kenanga harum baunya
Disimpan rapi di dalam peti
Jika ingin hidup mulia
Jujur selalu dalam hati";"Bunga kenanga harum baunya
Disimpan rapi di dalam peti";Claude;few_shot;Hasil Few-shot;2;2;1;1000000;0;11;9;9;9;0
"Jika ingin hidup mulia
Jujur selalu dalam hati";"Langit biru di atas gunung merah jambu,
Kejujuran bertahta, kehormatan bersinar.";1;manual_pending;11;1343;Pantun nasihat dan budi pekerti;"Bunga kenanga harum baunya
Disimpan rapi di dalam peti
Jika ingin hidup mulia
Jujur selalu dalam hati";"Bunga kenanga harum baunya
Disimpan rapi di dalam peti";Sailor2;few_shot;Hasil Few-shot;2;2;0;674969;0;13;14;9;9;3
"Jika ingin hidup terpuji
Utamakan budi dalam pergaulan";"Manis rasa buah kemuji
Membawa raga ke dalam taman";4;manual_pending;12;315;Pantun nasihat dan budi pekerti;"Anak dara menampi padi
Angin bertiup perlahan-lahan
Jika ingin hidup terpuji
Utamakan budi dalam pergaulan";"Anak dara menampi padi
Angin bertiup perlahan-lahan";Gemini;zero_shot;Hasil Zero-shot;2;2;1;1000000;0;9;10;9;11;0
"Jika ingin hidup terpuji
Utamakan budi dalam pergaulan";"Pergi ke pasar membeli puji
Singgah membeli buah rambutan";1;manual_pending;12;315;Pantun nasihat dan budi pekerti;"Anak dara menampi padi
Angin bertiup perlahan-lahan
Jika ingin hidup terpuji
Utamakan budi dalam pergaulan";"Anak dara menampi padi
Angin bertiup perlahan-lahan";Gemini;few_shot;Hasil Few-shot;2;2;1;1000000;0;10;10;9;11;0
