isi_input_model,sampiran_generated,no,id_data_asli,jenis_pantun,pantun_asli_lengkap,sampiran_asli,model,setting,setting_label,gen_line_count,isi_line_count,r_score,a_score,clr,suku_baris_1,suku_baris_2,suku_baris_3,suku_baris_4,dev_total,semantic_bridge_score_llm_1_5,s_judge_norm,xrasa_final
"Jika hidup ingin penuh budi
Rendah hati jauhi angkuh dan marah","Bunga melati harum berbudi
Jauhi semak yang penuh amarah",7,5357,Pantun nasihat dan budi pekerti,"Pergi ke taman memetik kenari
Kenari jatuh ke atas tanah
Jika hidup ingin penuh budi
Rendah hati jauhi angkuh dan marah","Pergi ke taman memetik kenari
Kenari jatuh ke atas tanah",Chat-GPT,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.2,10,11,10,12,0,1,0.000000,0.500000
"Ilmu tinggi bukan sekadar daun
Namun amal jadi penentu","Burung tekukur hinggap di dahan
Embun pagi menitis di batu",26,514,Pantun pendidikan,"Angin pagi menyentuh daun
Embun jatuh di atas batu
Ilmu tinggi bukan sekadar daun
Namun amal jadi penentu","Angin pagi menyentuh daun
Embun jatuh di atas batu",Chat-GPT,zero_shot,Hasil Zero-shot,2,2,0,1.0,0.0,10,10,11,9,0,4,0.750000,0.375000
"terbahakbahak itik tertawa
melihat monyet memakai sarung","Burung kenari pandai tertawa
Kucing belang memakai sarung",89,4028,Pantun jenaka,"memetik bunga di tepi rawa
sambil mendengar kicauan burung
terbahakbahak itik tertawa
melihat monyet memakai sarung","memetik bunga di tepi rawa
sambil mendengar kicauan burung",Chat-GPT,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.428571,10,9,10,10,0,1,0.000000,0.500000
"Jika hati penuh setia
Persahabatan kekal terjalin","Bunga melati harum ceria
Angin sepoi bertiup perlahan",53,1337,Pantun persahabatan,"Bunga kenanga disemat dara
Harumnya lembut dibawa angin
Jika hati penuh setia
Persahabatan kekal terjalin","Bunga kenanga disemat dara
Harumnya lembut dibawa angin",Chat-GPT,zero_shot,Hasil Zero-shot,2,2,0,1.0,0.0,10,10,9,10,0,2,0.250000,0.125000
"tak kenal maka tak sayang
marilah kita berkenalan","Naik perahu menuju padang
Singgah sebentar membeli makanan",35,2330,Pantun kiasan dan peribahasa,"hendak berlayar hari dah petang
tepikan biduk kucutkan sampan
tak kenal maka tak sayang
marilah kita berkenalan","hendak berlayar hari dah petang
tepikan biduk kucutkan sampan",Chat-GPT,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,10,11,8,9,0,3,0.500000,0.750000
"Jika ingin hidup bahagia
Bersikap jujur dan sabar","Mentari pagi menyapa desa
Burung kecil hinggap di pagar",4,4515,Pantun nasihat dan budi pekerti,"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pagi hari memetik mangga
Burung kecil hinggap di pagar",Chat-GPT,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,10,9,10,8,0,4,0.750000,0.875000
"Kalau ingin masa depan aman
Belajarlah rajin sepenuh hati","Rumah kayu tetap aman
Belajarlah tekun sepenuh hati",23,1637,Pantun pendidikan,"Burung merpati terbang ke taman
Hinggap sebentar di pohon jati
Kalau ingin masa depan aman
Belajarlah rajin sepenuh hati","Burung merpati terbang ke taman
Hinggap sebentar di pohon jati",Chat-GPT,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.444444,8,11,10,11,0,1,0.000000,0.500000
"Jika amanah dijunjung tuan
Teguhlah bangsa tidak ternoda","Jika pusaka dijunjung tuan
Harumlah bangsa tiada ternoda",74,1729,Pantun kebangsaan,"Burung serindit menyisir awan
Hinggap sebentar di dahan sena
Jika amanah dijunjung tuan
Teguhlah bangsa tidak ternoda","Burung serindit menyisir awan
Hinggap sebentar di dahan sena",Chat-GPT,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.714286,10,11,10,10,0,1,0.000000,0.500000
"jika nanti kita berpisah
jangan pernah lupakan aku","Pohon randu tumbuh berpisah
Bunga kenanga harum semerbak",83,1397,Pantun perpisahan dan perantauan,"bunga melati di tepi sawah
cantik elok di dekat batu
jika nanti kita berpisah
jangan pernah lupakan aku","bunga melati di tepi sawah
cantik elok di dekat batu",Chat-GPT,zero_shot,Hasil Zero-shot,2,2,0,1.0,0.166667,9,10,9,9,0,1,0.000000,0.000000
"Jika adat sentiasa dijunjung
Hilang sengketa hidup bersatu","Pohon waru tumbuh menjunjung
Air mengalir menuju batu",33,4327,Pantun adat dan budaya,"Ombak beralun di Kuala Tanjung
Perahu nelayan pulang ke hulu
Jika adat sentiasa dijunjung
Hilang sengketa hidup bersatu","Ombak beralun di Kuala Tanjung
Perahu nelayan pulang ke hulu",Chat-GPT,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,9,10,11,10,0,1,0.000000,0.500000
"Jika budi menjadi pertiwi
Bangsa bermaruah sepanjang masa","Jika melati menjadi pertiwi
Harumlah bangsa sepanjang masa",75,1347,Pantun kebangsaan,"Bunga kenanga mekar berseri
Harumnya halus menawan rasa
Jika budi menjadi pertiwi
Bangsa bermaruah sepanjang masa","Bunga kenanga mekar berseri
Harumnya halus menawan rasa",Chat-GPT,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.75,11,10,10,11,0,1,0.000000,0.500000
"kalau hidup hendak selamat
ayah dan bunda kita muliakan","Kalau berlayar hendak selamat
Sopan bicara kepada satria",61,2906,Pantun bakti keluarga,"kalau angin bertiup di darat
ambillah jala turunkan sampan
kalau hidup hendak selamat
ayah dan bunda kita muliakan","kalau angin bertiup di darat
ambillah jala turunkan sampan",Chat-GPT,zero_shot,Hasil Zero-shot,2,2,0,1.0,0.428571,10,11,9,11,0,1,0.000000,0.000000
"Coba tebak apakah ini
Selalu naik tak pernah turun","Mari menebak apakah ini
Mentari pagi selalu naik",95,6446,Pantun teka-teki,"Terburu-buru ke kamar mandi
Ternyata lupa membawa sabun
Coba tebak apakah ini
Selalu naik tak pernah turun","Terburu-buru ke kamar mandi
Ternyata lupa membawa sabun",Chat-GPT,zero_shot,Hasil Zero-shot,2,2,0,1.0,0.375,10,10,9,10,0,1,0.000000,0.000000
"Jika ingin hidup terpuji
Utamakan budi dalam pergaulan","Air jernih mengalir segar
Purnama terang sepanjang usia",12,315,Pantun nasihat dan budi pekerti,"Anak dara menampi padi
Angin bertiup perlahan-lahan
Jika ingin hidup terpuji
Utamakan budi dalam pergaulan","Anak dara menampi padi
Angin bertiup perlahan-lahan",Chat-GPT,zero_shot,Hasil Zero-shot,2,2,0,1.0,0.0,9,11,9,11,0,2,0.250000,0.125000
"jikalau hendak hidup bahagia
beramal ibadah sebelum mati","Daun sirih tampak bersih
Mentari bersinar sepanjang masa",16,6428,Pantun agama,"terang bulan terang bercahaya
cahaya memancar ke tanjung jati
jikalau hendak hidup bahagia
beramal ibadah sebelum mati","terang bulan terang bercahaya
cahaya memancar ke tanjung jati",Chat-GPT,zero_shot,Hasil Zero-shot,2,2,0,1.0,0.0,8,11,11,11,0,2,0.250000,0.125000
"Jika ingin dihormati teman
Bersikap rendah hati sentiasa","Jika ingin disayang teman
Bersikap ramah sepanjang masa",50,1442,Pantun persahabatan,"Bunga tanjung di halaman
Harumnya semerbak kala senja
Jika ingin dihormati teman
Bersikap rendah hati sentiasa","Bunga tanjung di halaman
Harumnya semerbak kala senja",Chat-GPT,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.5,9,10,10,11,0,1,0.000000,0.500000
"Jika amanah dijunjung tinggi
Tegaklah bangsa penuh wibawa","Jika pusaka dijunjung tinggi
Harumlah taman penuh wibawa",72,1095,Pantun kebangsaan,"Bintang timur menyinsing pagi
Menyingkap kabut di hujung desa
Jika amanah dijunjung tinggi
Tegaklah bangsa penuh wibawa","Bintang timur menyinsing pagi
Menyingkap kabut di hujung desa",Chat-GPT,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.625,10,10,10,10,0,1,0.000000,0.500000
"Jika ingin hidup gemilang
Jangan lupa restu orang tua","Jika mendaki bukit gemilang
Petik kenanga di taman tua",57,6154,Pantun bakti keluarga,"Sirih sekapur di dalam dulang
Pinang belah disusun rata
Jika ingin hidup gemilang
Jangan lupa restu orang tua","Sirih sekapur di dalam dulang
Pinang belah disusun rata",Chat-GPT,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.333333,10,10,9,10,0,1,0.000000,0.500000
"Jika ingin hidup dikenang
Budi baik jadi pusaka","Anak dagang membawa parang
Nyiur melambai di tepi muara",2,185,Pantun nasihat dan budi pekerti,"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka","Air telaga ditimba petang
Disimpan dalam kendi tua",Chat-GPT,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,9,11,9,9,0,5,1.000000,1.000000
"Biar bertahun dilambung ombak
Tidak ku lupa pada yang kasih","Biar perahu dilambung ombak
Tidak kulupa harum kekasih",48,1170,Pantun cinta dan kasih,"Buah kuini jatuh tercampak
Jatuh menimpa bunga selasih
Biar bertahun dilambung ombak
Tidak ku lupa pada yang kasih","Buah kuini jatuh tercampak
Jatuh menimpa bunga selasih",Chat-GPT,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.5,10,10,10,10,0,1,0.000000,0.500000
"bermain kejarkejaran
badan sehat hati pun senang","Bermain petak umpet di halaman
Tubuh segar hati pun senang",99,4583,Pantun anak-anak,"pagi ini membaca koran
baca berita orang hilang
bermain kejarkejaran
badan sehat hati pun senang","pagi ini membaca koran
baca berita orang hilang",Chat-GPT,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.5,11,9,8,9,0,1,0.000000,0.500000
"Hidup di dunia buatlah bakti
Kepada ibu dan juga bapa","Burung merpati terbang tinggi
Singgah sebentar di rumah bapa",56,6440,Pantun bakti keluarga,"Terbang tinggi burung merpati
Hinggap sebentar di pohon kelapa
Hidup di dunia buatlah bakti
Kepada ibu dan juga bapa","Terbang tinggi burung merpati
Hinggap sebentar di pohon kelapa",Chat-GPT,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.142857,9,10,11,10,0,1,0.000000,0.500000
"Jika ingin hidup berarti
Hidupkan empati dalam jiwa","Jika mendaki hidup berarti
Harum melati memenuhi jiwa",69,3326,Pantun kehidupan dan renungan,"Ke sawah pagi membawa ani-ani
Padi menguning tampak merata
Jika ingin hidup berarti
Hidupkan empati dalam jiwa","Ke sawah pagi membawa ani-ani
Padi menguning tampak merata",Chat-GPT,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.571429,10,11,9,10,0,1,0.000000,0.500000
"Kalau ingin hidup bahagia
Jaga hati dari dengki","Kalau hendak hidup bahagia
Jangan bermain hati yang dengki",65,1473,Pantun kehidupan dan renungan,"Burung bangau di tepi rawa
Mencari ikan sejak pagi
Kalau ingin hidup bahagia
Jaga hati dari dengki","Burung bangau di tepi rawa
Mencari ikan sejak pagi",Chat-GPT,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.714286,10,10,10,8,0,1,0.000000,0.500000
"Jika hidup terasa panjang
Gunakan waktu untuk berkarya","Kacang panjang tumbuh di ladang
Ramai orang di hari raya",67,3196,Pantun kehidupan dan renungan,"Ke kebun pagi membawa keranjang
Keranjang rotan diisi mangga
Jika hidup terasa panjang
Gunakan waktu untuk berkarya","Ke kebun pagi membawa keranjang
Keranjang rotan diisi mangga",Claude,few_shot,Hasil Few-shot,2,2,1,1.0,0.142857,9,9,9,10,0,1,0.000000,0.500000
"Kalau ingin masa depan aman
Belajarlah rajin sepenuh hati","Burung camar terbang ke awan
Burung pipit hinggap berseri",23,1637,Pantun pendidikan,"Burung merpati terbang ke taman
Hinggap sebentar di pohon jati
Kalau ingin masa depan aman
Belajarlah rajin sepenuh hati","Burung merpati terbang ke taman
Hinggap sebentar di pohon jati",Claude,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,9,9,10,11,0,3,0.500000,0.750000
"baru seminggu kita berpisah
rindu di hati telah membara","Daun kering gugur ke tanah
Burung camar terbang tinggi ke angkasa",81,950,Pantun perpisahan dan perantauan,"berburu belut ke tepi sawah
segera pulang hari pun senja
baru seminggu kita berpisah
rindu di hati telah membara","berburu belut ke tepi sawah
segera pulang hari pun senja",Claude,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,9,12,10,10,0,4,0.750000,0.875000
"hidup di dunia ingatlah akhirat
sebagai bekal gapailah ilmu","Pergi ke pasar membeli obat
Burung merpati terbang selalu",17,6031,Pantun agama,"senja terbenam di langit barat
bulan tak bersinar di malam sendu
hidup di dunia ingatlah akhirat
sebagai bekal gapailah ilmu","senja terbenam di langit barat
bulan tak bersinar di malam sendu",Claude,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,10,10,12,10,0,3,0.500000,0.750000
"Hidup di dunia buatlah bakti
Kepada ibu dan juga bapa","Pergi berlayar mencari sakti
Ke ladang pagi memetik kelapa",56,6440,Pantun bakti keluarga,"Terbang tinggi burung merpati
Hinggap sebentar di pohon kelapa
Hidup di dunia buatlah bakti
Kepada ibu dan juga bapa","Terbang tinggi burung merpati
Hinggap sebentar di pohon kelapa",Claude,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,10,11,11,10,0,5,1.000000,1.000000
"Jika hati selalu ramah
Banyak sahabat datang menyapa","Burung pipit hinggap di rumah
Pohon kelapa tumbuh di pantai",52,1714,Pantun persahabatan,"Burung pipit terbang rendah
Hinggap sebentar di pohon cemara
Jika hati selalu ramah
Banyak sahabat datang menyapa","Burung pipit terbang rendah
Hinggap sebentar di pohon cemara",Claude,few_shot,Hasil Few-shot,2,2,0,1.0,0.0,9,10,9,10,0,2,0.250000,0.125000
"Jika adat sentiasa dijunjung
Hilang sengketa hidup bersatu","Elang terbang tinggi di gunung
Anak ikan berenang di batu",33,4327,Pantun adat dan budaya,"Ombak beralun di Kuala Tanjung
Perahu nelayan pulang ke hulu
Jika adat sentiasa dijunjung
Hilang sengketa hidup bersatu","Ombak beralun di Kuala Tanjung
Perahu nelayan pulang ke hulu",Claude,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,9,10,11,10,0,4,0.750000,0.875000
"Jika ingin hidup bahagia
Bersikap jujur dan sabar","Burung merpati terbang ke desa
Kerbau digembala di padang besar",4,4515,Pantun nasihat dan budi pekerti,"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pagi hari memetik mangga
Burung kecil hinggap di pagar",Claude,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,10,11,10,8,0,4,0.750000,0.875000
"peran ibu bapak dalam dunia
bagaikan bulan dan matahari","Anak kera bermain di rimba
Bunga kenanga harum berseri",36,5563,Pantun kiasan dan peribahasa,"pohon kelapa ditanam disana
berdekatan dengan pohon kenari
peran ibu bapak dalam dunia
bagaikan bulan dan matahari","pohon kelapa ditanam disana
berdekatan dengan pohon kenari",Claude,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,10,10,11,10,0,4,0.750000,0.875000
"setelah bermain bersihkan kamar
jangan sampai berantakan","Pergi ke pasar membeli akar
Ibu memasak nasi dan ikan",97,6235,Pantun anak-anak,"sungguh indah bunga mawar
harum semerbak di tepi taman
setelah bermain bersihkan kamar
jangan sampai berantakan","sungguh indah bunga mawar
harum semerbak di tepi taman",Claude,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,10,10,11,8,0,3,0.500000,0.750000
"tunduk patuh pada tuhan
hati teduh jiwa pun tenang","Burung camar terbang ke lautan
Anak-anak bermain riang",13,2101,Pantun agama,"durian runtuh jatuh ke dahan
bertiup angin dari tanjung pinang
tunduk patuh pada tuhan
hati teduh jiwa pun tenang","durian runtuh jatuh ke dahan
bertiup angin dari tanjung pinang",Claude,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,9,9,8,9,0,3,0.500000,0.750000
