no,id_data_asli,jenis_pantun,pantun_asli_lengkap,sampiran_asli,isi_input_model,model,setting,setting_label,sampiran_generated,gen_line_count,isi_line_count,r_score,a_score,clr,suku_baris_1,suku_baris_2,suku_baris_3,suku_baris_4,dev_total,semantic_bridge_score_llm_1_5,score_source
1,1399,Pantun nasihat dan budi pekerti,"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati","Bunga melati harum baunya
Disiram embun waktu pagi","Jika budi elok lakunya
Semua orang senang hati",DeepSeek-R1,zero_shot,Hasil Zero-shot,"Budi elok senantiasa
Di hiasi dengan rendah hati",2,2,1,1.000000,0.375000,9,10,9,9,0,1,sample300_manual
1,1399,Pantun nasihat dan budi pekerti,"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati","Bunga melati harum baunya
Disiram embun waktu pagi","Jika budi elok lakunya
Semua orang senang hati",DeepSeek-R1,few_shot,Hasil Few-shot,"Pantai biru terkena ombak
Taman hijau diingat selamanya",2,2,0,1.000000,0.000000,9,11,9,9,0,,manual_pending
2,185,Pantun nasihat dan budi pekerti,"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka","Air telaga ditimba petang
Disimpan dalam kendi tua","Jika ingin hidup dikenang
Budi baik jadi pusaka",Chat-GPT,zero_shot,Hasil Zero-shot,"Anak dagang membawa parang
Nyiur melambai di tepi muara",2,2,1,1.000000,0.000000,9,11,9,9,0,5,sample300_manual
2,185,Pantun nasihat dan budi pekerti,"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka","Air telaga ditimba petang
Disimpan dalam kendi tua","Jika ingin hidup dikenang
Budi baik jadi pusaka",Chat-GPT,few_shot,Hasil Few-shot,"Burung merpati terbang tenang
Buah nangka tersusun di baka",2,2,1,1.000000,0.000000,9,10,9,9,0,4,sample300_manual
2,185,Pantun nasihat dan budi pekerti,"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka","Air telaga ditimba petang
Disimpan dalam kendi tua","Jika ingin hidup dikenang
Budi baik jadi pusaka",Gemini,zero_shot,Hasil Zero-shot,"Terbang tinggi burung belang
Hingga hinggap di atas paka",2,2,1,1.000000,0.000000,8,9,9,9,0,,manual_pending
2,185,Pantun nasihat dan budi pekerti,"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka","Air telaga ditimba petang
Disimpan dalam kendi tua","Jika ingin hidup dikenang
Budi baik jadi pusaka",Gemini,few_shot,Hasil Few-shot,"Terbang tinggi burung elang
Minggap sebentar di atas paka",2,2,1,1.000000,0.000000,8,10,9,9,0,2,sample300_manual
2,185,Pantun nasihat dan budi pekerti,"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka","Air telaga ditimba petang
Disimpan dalam kendi tua","Jika ingin hidup dikenang
Budi baik jadi pusaka",Claude,zero_shot,Hasil Zero-shot,"Burung merpati terbang melayang
Hinggap sejenak di dahan mangga",2,2,1,1.000000,0.000000,10,10,9,9,0,,manual_pending
2,185,Pantun nasihat dan budi pekerti,"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka","Air telaga ditimba petang
Disimpan dalam kendi tua","Jika ingin hidup dikenang
Budi baik jadi pusaka",Claude,few_shot,Hasil Few-shot,"Burung camar terbang melayang
Perahu nelayan singgah di muara",2,2,1,1.000000,0.000000,9,12,9,9,0,,manual_pending
2,185,Pantun nasihat dan budi pekerti,"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka","Air telaga ditimba petang
Disimpan dalam kendi tua","Jika ingin hidup dikenang
Budi baik jadi pusaka",Llama 3.1: 8B,zero_shot,Hasil Zero-shot,"Budi baik membuat terkenal
Hidup tak pernah dilupakan",2,2,0,1.000000,0.428571,10,9,9,9,0,1,sample300_manual
2,185,Pantun nasihat dan budi pekerti,"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka","Air telaga ditimba petang
Disimpan dalam kendi tua","Jika ingin hidup dikenang
Budi baik jadi pusaka",Llama 3.1: 8B,few_shot,Hasil Few-shot,"Padang hijau tempat bermain
Berwarna hijau lembut dan mulus",2,2,0,1.000000,0.000000,9,10,9,9,0,,manual_pending
2,185,Pantun nasihat dan budi pekerti,"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka","Air telaga ditimba petang
Disimpan dalam kendi tua","Jika ingin hidup dikenang
Budi baik jadi pusaka",Sailor2,zero_shot,Hasil Zero-shot,"Hidup bermutu jujur terjaga
Amanah teguh bak pagar baja",2,2,0,1.000000,0.142857,10,10,9,9,0,1,auto_clr_leakage
2,185,Pantun nasihat dan budi pekerti,"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka","Air telaga ditimba petang
Disimpan dalam kendi tua","Jika ingin hidup dikenang
Budi baik jadi pusaka",Sailor2,few_shot,Hasil Few-shot,"Pohon akasia di tepian sungai,
Kenangan indah dalam jiwa abadi.",2,2,0,1.000000,0.000000,12,12,9,9,0,,manual_pending
2,185,Pantun nasihat dan budi pekerti,"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka","Air telaga ditimba petang
Disimpan dalam kendi tua","Jika ingin hidup dikenang
Budi baik jadi pusaka",DeepSeek-R1,zero_shot,Hasil Zero-shot,"Budi baik jadi pusaka
Agar hidup selalu dikenang",2,2,0,1.000000,0.714286,9,10,9,9,0,1,sample300_manual
2,185,Pantun nasihat dan budi pekerti,"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka","Air telaga ditimba petang
Disimpan dalam kendi tua","Jika ingin hidup dikenang
Budi baik jadi pusaka",DeepSeek-R1,few_shot,Hasil Few-shot,"Langit tinggi dikejar awan
Bukit tinggi diayun semang",2,2,0,1.000000,0.000000,9,9,9,9,0,,manual_pending
3,3264,Pantun nasihat dan budi pekerti,"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar","Ke pasar membeli buah duku
Duku manis rasanya segar","Jika hidup ingin bermutu
Jujur dan amanah harus dipagar",Chat-GPT,zero_shot,Hasil Zero-shot,"Burung tekukur turun membantu
Petani bekerja di tepi pagar",2,2,1,1.000000,0.000000,10,11,9,11,0,,manual_pending
3,3264,Pantun nasihat dan budi pekerti,"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar","Ke pasar membeli buah duku
Duku manis rasanya segar","Jika hidup ingin bermutu
Jujur dan amanah harus dipagar",Chat-GPT,few_shot,Hasil Few-shot,"Pohon bambu tumbuh bersatu
Pagar kayu tegak dipagar",2,2,1,1.000000,0.125000,9,9,9,11,0,1,auto_clr_leakage
3,3264,Pantun nasihat dan budi pekerti,"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar","Ke pasar membeli buah duku
Duku manis rasanya segar","Jika hidup ingin bermutu
Jujur dan amanah harus dipagar",Gemini,zero_shot,Hasil Zero-shot,"Beli kain bertenun satu
Bunga mawar harum memekar",2,2,1,1.000000,0.000000,9,9,9,11,0,3,sample300_manual
3,3264,Pantun nasihat dan budi pekerti,"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar","Ke pasar membeli buah duku
Duku manis rasanya segar","Jika hidup ingin bermutu
Jujur dan amanah harus dipagar",Gemini,few_shot,Hasil Few-shot,"Kain tenun berhias batu
Terikat erat rantai tembaga",2,2,0,1.000000,0.000000,9,10,9,11,0,,manual_pending
3,3264,Pantun nasihat dan budi pekerti,"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar","Ke pasar membeli buah duku
Duku manis rasanya segar","Jika hidup ingin bermutu
Jujur dan amanah harus dipagar",Claude,zero_shot,Hasil Zero-shot,"Pergi ke ladang memetik tebu
Buah kelapa dijual di pasar",2,2,1,1.000000,0.000000,10,11,9,11,0,,manual_pending
3,3264,Pantun nasihat dan budi pekerti,"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar","Ke pasar membeli buah duku
Duku manis rasanya segar","Jika hidup ingin bermutu
Jujur dan amanah harus dipagar",Claude,few_shot,Hasil Few-shot,"Pergi ke kebun memetik tebu
Ikan berenang di kolam besar",2,2,1,1.000000,0.000000,10,10,9,11,0,,manual_pending
3,3264,Pantun nasihat dan budi pekerti,"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar","Ke pasar membeli buah duku
Duku manis rasanya segar","Jika hidup ingin bermutu
Jujur dan amanah harus dipagar",Llama 3.1: 8B,zero_shot,Hasil Zero-shot,"Jujur dan amanah membentengi
Mutu hidup makin meninggi",2,2,0,1.000000,0.375000,10,9,9,11,0,1,auto_clr_leakage
3,3264,Pantun nasihat dan budi pekerti,"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar","Ke pasar membeli buah duku
Duku manis rasanya segar","Jika hidup ingin bermutu
Jujur dan amanah harus dipagar",Llama 3.1: 8B,few_shot,Hasil Few-shot,"Hutan lebat tempat burung berkicau
Dengan sari manis, kaya akan rahmat",2,2,0,1.000000,0.000000,11,12,9,11,0,2,sample300_manual
3,3264,Pantun nasihat dan budi pekerti,"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar","Ke pasar membeli buah duku
Duku manis rasanya segar","Jika hidup ingin bermutu
Jujur dan amanah harus dipagar",Sailor2,zero_shot,Hasil Zero-shot,"Hidup berisi budi dihormat
Hormati janji dan tutur kata",2,2,0,1.000000,0.125000,10,10,9,11,0,1,auto_clr_leakage
3,3264,Pantun nasihat dan budi pekerti,"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar","Ke pasar membeli buah duku
Duku manis rasanya segar","Jika hidup ingin bermutu
Jujur dan amanah harus dipagar",Sailor2,few_shot,Hasil Few-shot,"Kebun sayuran berbatas jelas,
Kejujuran tumbuh subur di ladang hati.",2,2,0,0.852344,0.000000,10,13,9,11,1,,manual_pending
3,3264,Pantun nasihat dan budi pekerti,"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar","Ke pasar membeli buah duku
Duku manis rasanya segar","Jika hidup ingin bermutu
Jujur dan amanah harus dipagar",DeepSeek-R1,zero_shot,Hasil Zero-shot,"Jujur dan amanah harus dipagar
Dengan budi elok hidup bermutu",2,2,0,1.000000,0.750000,11,11,9,11,0,1,auto_clr_leakage
3,3264,Pantun nasihat dan budi pekerti,"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar","Ke pasar membeli buah duku
Duku manis rasanya segar","Jika hidup ingin bermutu
Jujur dan amanah harus dipagar",DeepSeek-R1,few_shot,Hasil Few-shot,"Sungai jernih mengalir perlahan
Pohon besar menembus awan tinggi",2,2,0,1.000000,0.000000,10,11,9,11,0,2,sample300_manual
4,4515,Pantun nasihat dan budi pekerti,"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pagi hari memetik mangga
Burung kecil hinggap di pagar","Jika ingin hidup bahagia
Bersikap jujur dan sabar",Chat-GPT,zero_shot,Hasil Zero-shot,"Mentari pagi menyapa desa
Burung kecil hinggap di pagar",2,2,1,1.000000,0.000000,10,9,10,8,0,4,sample300_manual
4,4515,Pantun nasihat dan budi pekerti,"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pagi hari memetik mangga
Burung kecil hinggap di pagar","Jika ingin hidup bahagia
Bersikap jujur dan sabar",Chat-GPT,few_shot,Hasil Few-shot,"Mentari pagi sinarnya ceria
Layar perahu dibawa pelayar",2,2,1,1.000000,0.000000,11,11,10,8,0,,manual_pending
4,4515,Pantun nasihat dan budi pekerti,"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pagi hari memetik mangga
Burung kecil hinggap di pagar","Jika ingin hidup bahagia
Bersikap jujur dan sabar",Gemini,zero_shot,Hasil Zero-shot,"Tinggi menjulang pohon kelapa
Pagi hari udara segar",2,2,1,1.000000,0.000000,10,9,10,8,0,,manual_pending
4,4515,Pantun nasihat dan budi pekerti,"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pagi hari memetik mangga
Burung kecil hinggap di pagar","Jika ingin hidup bahagia
Bersikap jujur dan sabar",Gemini,few_shot,Hasil Few-shot,"Tanam padi di dekat desa
Sawah luas membentang lebar",2,2,1,1.000000,0.000000,9,9,10,8,0,4,sample300_manual
4,4515,Pantun nasihat dan budi pekerti,"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pagi hari memetik mangga
Burung kecil hinggap di pagar","Jika ingin hidup bahagia
Bersikap jujur dan sabar",Claude,zero_shot,Hasil Zero-shot,"Pergi ke kota naik kereta
Singgah sebentar mencari kabar",2,2,1,1.000000,0.000000,10,10,10,8,0,3,sample300_manual
4,4515,Pantun nasihat dan budi pekerti,"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pagi hari memetik mangga
Burung kecil hinggap di pagar","Jika ingin hidup bahagia
Bersikap jujur dan sabar",Claude,few_shot,Hasil Few-shot,"Burung merpati terbang ke desa
Kerbau digembala di padang besar",2,2,1,1.000000,0.000000,10,11,10,8,0,4,sample300_manual
4,4515,Pantun nasihat dan budi pekerti,"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pagi hari memetik mangga
Burung kecil hinggap di pagar","Jika ingin hidup bahagia
Bersikap jujur dan sabar",Llama 3.1: 8B,zero_shot,Hasil Zero-shot,"Hati sabar membuat selalu
Bahagia bersama yang lain",2,2,0,1.000000,0.285714,10,10,10,8,0,1,sample300_manual
4,4515,Pantun nasihat dan budi pekerti,"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pagi hari memetik mangga
Burung kecil hinggap di pagar","Jika ingin hidup bahagia
Bersikap jujur dan sabar",Llama 3.1: 8B,few_shot,Hasil Few-shot,"Di tengah hutan tinggi di taman
Bunga mawar tumbuh bersemi-sembunyi",2,2,0,1.000000,0.000000,10,12,10,8,0,,manual_pending
4,4515,Pantun nasihat dan budi pekerti,"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pagi hari memetik mangga
Burung kecil hinggap di pagar","Jika ingin hidup bahagia
Bersikap jujur dan sabar",Sailor2,zero_shot,Hasil Zero-shot,"Rendah hati jalan budi mulia
Jangan tinggi diri tak tahan uji",2,2,0,1.000000,0.000000,11,11,10,8,0,,manual_pending
4,4515,Pantun nasihat dan budi pekerti,"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pagi hari memetik mangga
Burung kecil hinggap di pagar","Jika ingin hidup bahagia
Bersikap jujur dan sabar",Sailor2,few_shot,Hasil Few-shot,"Bawah redup bayangan pohon beringin,
Kebahagiaan mengalir tenang tanpa henti.",2,2,0,0.674969,0.000000,12,15,10,8,3,1,sample300_manual
4,4515,Pantun nasihat dan budi pekerti,"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pagi hari memetik mangga
Burung kecil hinggap di pagar","Jika ingin hidup bahagia
Bersikap jujur dan sabar",DeepSeek-R1,zero_shot,Hasil Zero-shot,"Bersikap jujur dan sabar
Hidup akan bahagia selamanya",2,2,0,1.000000,0.714286,8,12,10,8,0,1,auto_clr_leakage
4,4515,Pantun nasihat dan budi pekerti,"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pagi hari memetik mangga
Burung kecil hinggap di pagar","Jika ingin hidup bahagia
Bersikap jujur dan sabar",DeepSeek-R1,few_shot,Hasil Few-shot,"Langit cerah hias keindahan
Hutan rimbun jadi kenangan",2,2,0,1.000000,0.000000,10,9,10,8,0,,manual_pending
5,4853,Pantun nasihat dan budi pekerti,"Pergi ke desa membawa padi
Padi ditukar dengan ikan
Jika hidup ingin berisi budi
Hormati janji dan ucapan","Pergi ke desa membawa padi
Padi ditukar dengan ikan","Jika hidup ingin berisi budi
Hormati janji dan ucapan",Chat-GPT,zero_shot,Hasil Zero-shot,"Pohon jati tumbuh berbudi
Singgah sebentar membeli papan",2,2,1,1.000000,0.000000,9,10,11,9,0,,manual_pending
5,4853,Pantun nasihat dan budi pekerti,"Pergi ke desa membawa padi
Padi ditukar dengan ikan
Jika hidup ingin berisi budi
Hormati janji dan ucapan","Pergi ke desa membawa padi
Padi ditukar dengan ikan","Jika hidup ingin berisi budi
Hormati janji dan ucapan",Chat-GPT,few_shot,Hasil Few-shot,"Burung pipit terbang sendiri
Daun sirih dalam anyaman",2,2,1,1.000000,0.000000,9,9,11,9,0,,manual_pending
5,4853,Pantun nasihat dan budi pekerti,"Pergi ke desa membawa padi
Padi ditukar dengan ikan
Jika hidup ingin berisi budi
Hormati janji dan ucapan","Pergi ke desa membawa padi
Padi ditukar dengan ikan","Jika hidup ingin berisi budi
Hormati janji dan ucapan",Gemini,zero_shot,Hasil Zero-shot,"Membeli kain berjenis kadi
Ikan berenang di dalam kolam",2,2,0,1.000000,0.000000,10,10,11,9,0,2,sample300_manual
5,4853,Pantun nasihat dan budi pekerti,"Pergi ke desa membawa padi
Padi ditukar dengan ikan
Jika hidup ingin berisi budi
Hormati janji dan ucapan","Pergi ke desa membawa padi
Padi ditukar dengan ikan","Jika hidup ingin berisi budi
Hormati janji dan ucapan",Gemini,few_shot,Hasil Few-shot,"Membeli kain dari keladi
Dimasak masak dalam belanga",2,2,0,1.000000,0.000000,10,10,11,9,0,,manual_pending
5,4853,Pantun nasihat dan budi pekerti,"Pergi ke desa membawa padi
Padi ditukar dengan ikan
Jika hidup ingin berisi budi
Hormati janji dan ucapan","Pergi ke desa membawa padi
Padi ditukar dengan ikan","Jika hidup ingin berisi budi
Hormati janji dan ucapan",Claude,zero_shot,Hasil Zero-shot,"Pergi memancing ke tepi kali
Sambil menunggu turunnya hujan",2,2,1,1.000000,0.000000,10,10,11,9,0,,manual_pending
5,4853,Pantun nasihat dan budi pekerti,"Pergi ke desa membawa padi
Padi ditukar dengan ikan
Jika hidup ingin berisi budi
Hormati janji dan ucapan","Pergi ke desa membawa padi
Padi ditukar dengan ikan","Jika hidup ingin berisi budi
Hormati janji dan ucapan",Claude,few_shot,Hasil Few-shot,"Bunga kenanga harum mewangi
Angin sepoi bertiup di taman",2,2,1,1.000000,0.000000,10,10,11,9,0,,manual_pending
5,4853,Pantun nasihat dan budi pekerti,"Pergi ke desa membawa padi
Padi ditukar dengan ikan
Jika hidup ingin berisi budi
Hormati janji dan ucapan","Pergi ke desa membawa padi
Padi ditukar dengan ikan","Jika hidup ingin berisi budi
Hormati janji dan ucapan",Llama 3.1: 8B,zero_shot,Hasil Zero-shot,"Hormatlah dengan perbuatan
Membuat rasa hormat meninggi",2,2,0,1.000000,0.000000,9,10,11,9,0,,manual_pending
5,4853,Pantun nasihat dan budi pekerti,"Pergi ke desa membawa padi
Padi ditukar dengan ikan
Jika hidup ingin berisi budi
Hormati janji dan ucapan","Pergi ke desa membawa padi
Padi ditukar dengan ikan","Jika hidup ingin berisi budi
Hormati janji dan ucapan",Llama 3.1: 8B,few_shot,Hasil Few-shot,"Gelombang laut membawa kebahagiaan
Ombak yang berderak menghampiri pantai",2,2,0,0.748293,0.000000,14,12,11,9,2,,manual_pending
5,4853,Pantun nasihat dan budi pekerti,"Pergi ke desa membawa padi
Padi ditukar dengan ikan
Jika hidup ingin berisi budi
Hormati janji dan ucapan","Pergi ke desa membawa padi
Padi ditukar dengan ikan","Jika hidup ingin berisi budi
Hormati janji dan ucapan",Sailor2,zero_shot,Hasil Zero-shot,"Tenang hidup jangan cari salah
Membina baik hati tak gundah",2,2,0,1.000000,0.125000,10,10,11,9,0,1,sample300_manual
5,4853,Pantun nasihat dan budi pekerti,"Pergi ke desa membawa padi
Padi ditukar dengan ikan
Jika hidup ingin berisi budi
Hormati janji dan ucapan","Pergi ke desa membawa padi
Padi ditukar dengan ikan","Jika hidup ingin berisi budi
Hormati janji dan ucapan",Sailor2,few_shot,Hasil Few-shot,"Senja indah di tepi pantai,
Janji terjaga, hati pun damai.",2,2,0,1.000000,0.125000,9,10,11,9,0,1,sample300_manual
5,4853,Pantun nasihat dan budi pekerti,"Pergi ke desa membawa padi
Padi ditukar dengan ikan
Jika hidup ingin berisi budi
Hormati janji dan ucapan","Pergi ke desa membawa padi
Padi ditukar dengan ikan","Jika hidup ingin berisi budi
Hormati janji dan ucapan",DeepSeek-R1,zero_shot,Hasil Zero-shot,"Jika hidup ingin berisi budi
Hormati janji dan ucapan",2,2,1,1.000000,1.000000,11,9,11,9,0,1,sample300_manual
5,4853,Pantun nasihat dan budi pekerti,"Pergi ke desa membawa padi
Padi ditukar dengan ikan
Jika hidup ingin berisi budi
Hormati janji dan ucapan","Pergi ke desa membawa padi
Padi ditukar dengan ikan","Jika hidup ingin berisi budi
Hormati janji dan ucapan",DeepSeek-R1,few_shot,Hasil Few-shot,"Kayu tinggi dihela perahu
Bulan tinggi di langit malam",2,2,0,1.000000,0.000000,10,9,11,9,0,2,sample300_manual
6,5040,Pantun nasihat dan budi pekerti,"Pergi ke ladang memanen padi
Padi menguning siap dituai
Jika hidup ingin penuh budi
Rendah hati jangan dilalai","Pergi ke ladang memanen padi
Padi menguning siap dituai","Jika hidup ingin penuh budi
Rendah hati jangan dilalai",Chat-GPT,zero_shot,Hasil Zero-shot,"Pohon serai tumbuh berbudi
Daun pandan jangan dilalai",2,2,1,1.000000,0.222222,9,9,10,9,0,1,auto_clr_leakage
6,5040,Pantun nasihat dan budi pekerti,"Pergi ke ladang memanen padi
Padi menguning siap dituai
Jika hidup ingin penuh budi
Rendah hati jangan dilalai","Pergi ke ladang memanen padi
Padi menguning siap dituai","Jika hidup ingin penuh budi
Rendah hati jangan dilalai",Chat-GPT,few_shot,Hasil Few-shot,"Pohon jati tumbuh berbudi
Jangan lalai memegang tali",2,2,0,1.000000,0.111111,9,9,10,9,0,1,auto_clr_leakage
