no,id_data_asli,model,setting,bertscore_p,bertscore_r,bertscore_f1
4,4515,Chat-GPT,few_shot,0.7285919189453125,0.7328207492828369,0.7307001948356628
4,4515,Gemini,zero_shot,0.7497653365135193,0.7453135848045349,0.747532844543457
4,4515,Gemini,few_shot,0.7170107960700989,0.7055718898773193,0.7112453579902649
4,4515,Claude,zero_shot,0.7192811369895935,0.7068008184432983,0.712986409664154
4,4515,Claude,few_shot,0.7387083768844604,0.7358416318893433,0.7372722029685974
4,4515,Llama 3.1: 8B,zero_shot,0.6942700147628784,0.6905625462532043,0.6924113035202026
4,4515,Llama 3.1: 8B,few_shot,0.6785036325454712,0.6815604567527771,0.6800286173820496
4,4515,Sailor2,zero_shot,0.6895755529403687,0.6848877668380737,0.6872236728668213
4,4515,Sailor2,few_shot,0.6936085224151611,0.7041542530059814,0.6988416314125061
4,4515,DeepSeek-R1,zero_shot,0.685641884803772,0.6915677785873413,0.6885920763015747
4,4515,DeepSeek-R1,few_shot,0.7179630994796753,0.7214164733886719,0.7196856737136841
5,4853,Chat-GPT,zero_shot,0.7046382427215576,0.7235126495361328,0.7139506936073303
5,4853,Chat-GPT,few_shot,0.693723201751709,0.7040759921073914,0.6988611817359924
5,4853,Gemini,zero_shot,0.6910374164581299,0.7087445259094238,0.6997789740562439
5,4853,Gemini,few_shot,0.7060307264328003,0.7216082811355591,0.71373450756073
5,4853,Claude,zero_shot,0.7405829429626465,0.7730603218078613,0.7564732432365417
5,4853,Claude,few_shot,0.6373104453086853,0.6654454469680786,0.6510741710662842
5,4853,Llama 3.1: 8B,zero_shot,0.6856145858764648,0.7105482220649719,0.6978588104248047
5,4853,Llama 3.1: 8B,few_shot,0.691868782043457,0.7290816307067871,0.7099878787994385
5,4853,Sailor2,zero_shot,0.6353359222412109,0.6483269929885864,0.6417657136917114
5,4853,Sailor2,few_shot,0.688823401927948,0.6969704031944275,0.692872941493988
5,4853,DeepSeek-R1,zero_shot,0.707324206829071,0.7150928974151611,0.7111873030662537
5,4853,DeepSeek-R1,few_shot,0.6660846471786499,0.6790457963943481,0.6725027561187744
6,5040,Chat-GPT,zero_shot,0.7138448357582092,0.7199267148971558,0.7168728113174438
6,5040,Chat-GPT,few_shot,0.6989768743515015,0.694429874420166,0.6966959834098816
6,5040,Gemini,zero_shot,0.7676845788955688,0.7426525354385376,0.7549611330032349
6,5040,Gemini,few_shot,0.7843083739280701,0.7555474042892456,0.7696593403816223
6,5040,Claude,zero_shot,0.6909860372543335,0.6722424030303955,0.6814853549003601
6,5040,Claude,few_shot,0.6928930878639221,0.7151889801025391,0.7038645148277283
6,5040,Llama 3.1: 8B,zero_shot,0.6913264989852905,0.6865513920783997,0.6889306306838989
6,5040,Llama 3.1: 8B,few_shot,0.6796779632568359,0.6897754669189453,0.6846895217895508
6,5040,Sailor2,zero_shot,0.6649301648139954,0.6779617071151733,0.6713826656341553
6,5040,Sailor2,few_shot,0.6904020309448242,0.675681471824646,0.6829624176025391
6,5040,DeepSeek-R1,zero_shot,0.7190585136413574,0.7120898962020874,0.7155572175979614
6,5040,DeepSeek-R1,few_shot,0.6851222515106201,0.6774864792823792,0.6812829971313477
7,5357,Chat-GPT,zero_shot,0.6830770969390869,0.697741687297821,0.6903315186500549
7,5357,Chat-GPT,few_shot,0.7152417898178101,0.7208553552627563,0.7180376648902893
7,5357,Gemini,zero_shot,0.6708405017852783,0.6821611523628235,0.6764535307884216
7,5357,Gemini,few_shot,0.7040466070175171,0.7068768739700317,0.7054588794708252
7,5357,Claude,zero_shot,0.7004001140594482,0.7182841897010803,0.7092294692993164
7,5357,Claude,few_shot,0.7245968580245972,0.7228026390075684,0.7236986756324768
7,5357,Llama 3.1: 8B,zero_shot,0.7075586318969727,0.720334529876709,0.7138894200325012
7,5357,Llama 3.1: 8B,few_shot,0.6678410172462463,0.6791070699691772,0.6734269261360168
7,5357,Sailor2,zero_shot,0.680520236492157,0.6910077333450317,0.6857239007949829
7,5357,Sailor2,few_shot,0.6700330972671509,0.6535064578056335,0.6616666316986084
7,5357,DeepSeek-R1,zero_shot,0.6805605888366699,0.6962113380432129,0.6882970333099365
7,5357,DeepSeek-R1,few_shot,0.7511279582977295,0.7430757284164429,0.7470800876617432
8,120,Chat-GPT,zero_shot,0.7285149097442627,0.7323868870735168,0.7304458022117615
8,120,Chat-GPT,few_shot,0.6846753358840942,0.6913424730300903,0.6879927515983582
8,120,Gemini,zero_shot,0.7828556299209595,0.7729235887527466,0.7778578996658325
8,120,Gemini,few_shot,0.7165988683700562,0.7214210033416748,0.7190018892288208
8,120,Claude,zero_shot,0.7163357734680176,0.7276077270507812,0.7219277620315552
8,120,Claude,few_shot,0.6940426230430603,0.748426616191864,0.7202094793319702
8,120,Llama 3.1: 8B,zero_shot,0.6709744930267334,0.6774921417236328,0.6742175817489624
8,120,Llama 3.1: 8B,few_shot,0.6552002429962158,0.6867918372154236,0.6706241965293884
8,120,Sailor2,zero_shot,0.666222333908081,0.6734973192214966,0.6698400974273682
8,120,Sailor2,few_shot,0.6605421304702759,0.6787444949150085,0.6695196628570557
8,120,DeepSeek-R1,zero_shot,0.6673272848129272,0.6619292497634888,0.6646173000335693
8,120,DeepSeek-R1,few_shot,0.7121109366416931,0.7218780517578125,0.7169612050056458
9,1575,Chat-GPT,zero_shot,0.6670987010002136,0.6760029196739197,0.6715213060379028
9,1575,Chat-GPT,few_shot,0.7199881076812744,0.7309798002243042,0.7254422903060913
9,1575,Gemini,zero_shot,0.6807438731193542,0.7001947164535522,0.6903323531150818
9,1575,Gemini,few_shot,0.7228952050209045,0.7523206472396851,0.7373144030570984
9,1575,Claude,zero_shot,0.6718416810035706,0.6942701935768127,0.6828718185424805
9,1575,Claude,few_shot,0.713078498840332,0.7247852087020874,0.7188842296600342
9,1575,Llama 3.1: 8B,zero_shot,0.6936984658241272,0.6917704343795776,0.692733108997345
9,1575,Llama 3.1: 8B,few_shot,0.6795310974121094,0.697134256362915,0.6882201433181763
9,1575,Sailor2,zero_shot,0.6739068031311035,0.6810587048530579,0.6774638891220093
9,1575,Sailor2,few_shot,0.6594852805137634,0.6719807386398315,0.6656743884086609
9,1575,DeepSeek-R1,zero_shot,0.7046308517456055,0.6957964897155762,0.7001858353614807
9,1575,DeepSeek-R1,few_shot,0.7528582215309143,0.7717344164848328,0.762179434299469
10,3176,Chat-GPT,zero_shot,0.7130405902862549,0.7106255888938904,0.7118309736251831
10,3176,Chat-GPT,few_shot,0.740572988986969,0.7304353713989258,0.7354692816734314
10,3176,Gemini,zero_shot,0.7262880802154541,0.7113968133926392,0.718765377998352
10,3176,Gemini,few_shot,0.7096327543258667,0.7022579312324524,0.7059260606765747
10,3176,Claude,zero_shot,0.6902697682380676,0.675299882888794,0.6827028393745422
10,3176,Claude,few_shot,0.7199859023094177,0.697354793548584,0.7084896564483643
10,3176,Llama 3.1: 8B,zero_shot,0.6777670979499817,0.658062219619751,0.6677693724632263
10,3176,Llama 3.1: 8B,few_shot,0.7220581769943237,0.7390363216400146,0.7304486036300659
10,3176,Sailor2,zero_shot,0.6707688570022583,0.6754379272460938,0.6730952858924866
10,3176,Sailor2,few_shot,0.7003829479217529,0.7029145359992981,0.7016465067863464
10,3176,DeepSeek-R1,zero_shot,0.6870104074478149,0.6794383525848389,0.683203399181366
10,3176,DeepSeek-R1,few_shot,0.6816432476043701,0.6738780736923218,0.6777384281158447
11,1343,Chat-GPT,zero_shot,0.7524054050445557,0.7580097913742065,0.7551972270011902
11,1343,Chat-GPT,few_shot,0.8072792291641235,0.7910208702087402,0.7990673780441284
11,1343,Gemini,zero_shot,0.7352702617645264,0.6985390186309814,0.716434121131897
11,1343,Gemini,few_shot,0.735384464263916,0.7201482653617859,0.7276865839958191
11,1343,Claude,zero_shot,0.748255729675293,0.740019679069519,0.7441149353981018
11,1343,Claude,few_shot,0.7087514400482178,0.7049888372421265,0.706865131855011
11,1343,Llama 3.1: 8B,zero_shot,0.7095763683319092,0.7085385322570801,0.709057092666626
11,1343,Llama 3.1: 8B,few_shot,0.6923459768295288,0.7047183513641357,0.6984773874282837
11,1343,Sailor2,zero_shot,0.6760997176170349,0.6760562658309937,0.6760780215263367
11,1343,Sailor2,few_shot,0.6459642648696899,0.6607489585876465,0.6532729864120483
11,1343,DeepSeek-R1,zero_shot,0.7045378684997559,0.6756969094276428,0.6898161172866821
11,1343,DeepSeek-R1,few_shot,0.6819882392883301,0.680711030960083,0.6813490390777588
12,315,Chat-GPT,zero_shot,0.729767918586731,0.7076501846313477,0.7185389399528503
12,315,Chat-GPT,few_shot,0.7138203382492065,0.7079405188560486,0.7108683586120605
12,315,Gemini,zero_shot,0.6895769238471985,0.6756960153579712,0.6825658679008484
12,315,Gemini,few_shot,0.6851840615272522,0.6738678812980652,0.6794788837432861
12,315,Claude,zero_shot,0.7466751337051392,0.7134630680084229,0.7296913862228394
12,315,Claude,few_shot,0.7273811101913452,0.7163978815078735,0.7218477129936218
12,315,Llama 3.1: 8B,zero_shot,0.6707338094711304,0.6684721112251282,0.6696010231971741
12,315,Llama 3.1: 8B,few_shot,0.6853365898132324,0.6900774836540222,0.6876988410949707
12,315,Sailor2,zero_shot,0.6647664308547974,0.6790846586227417,0.671849250793457
12,315,Sailor2,few_shot,0.6842098236083984,0.6542239189147949,0.6688809990882874
12,315,DeepSeek-R1,zero_shot,0.7104732990264893,0.6881484389305115,0.6991326808929443
12,315,DeepSeek-R1,few_shot,0.6863381862640381,0.661026120185852,0.673444390296936
13,2101,Chat-GPT,zero_shot,0.7038506269454956,0.6789942979812622,0.6911990642547607
13,2101,Chat-GPT,few_shot,0.7137020826339722,0.7118514180183411,0.7127755284309387
13,2101,Gemini,zero_shot,0.7269179821014404,0.7068157196044922,0.7167258858680725
13,2101,Gemini,few_shot,0.7021860480308533,0.6912771463394165,0.6966889500617981
13,2101,Claude,zero_shot,0.7565938234329224,0.7453612685203552,0.7509356141090393
13,2101,Claude,few_shot,0.7237191796302795,0.7147270441055298,0.7191950082778931
13,2101,Llama 3.1: 8B,zero_shot,0.6830145716667175,0.6706817150115967,0.6767919659614563
13,2101,Llama 3.1: 8B,few_shot,0.6210132837295532,0.620487630367279,0.620750367641449
13,2101,Sailor2,zero_shot,0.6418130397796631,0.6389637589454651,0.6403852701187134
13,2101,Sailor2,few_shot,0.655381441116333,0.6520247459411621,0.6536988019943237
13,2101,DeepSeek-R1,zero_shot,0.688287615776062,0.6876152753829956,0.6879513263702393
13,2101,DeepSeek-R1,few_shot,0.7036688327789307,0.6785084009170532,0.6908596158027649
14,2129,Chat-GPT,zero_shot,0.7155689001083374,0.7039135098457336,0.7096933126449585
14,2129,Chat-GPT,few_shot,0.6744483709335327,0.658962607383728,0.6666155457496643
14,2129,Gemini,zero_shot,0.7019225358963013,0.6780648231506348,0.6897874474525452
14,2129,Gemini,few_shot,0.6481359004974365,0.6380429863929749,0.6430498957633972
14,2129,Claude,zero_shot,0.7041008472442627,0.6770511865615845,0.6903111338615417
14,2129,Claude,few_shot,0.6986439824104309,0.6569045782089233,0.6771316528320312
14,2129,Llama 3.1: 8B,zero_shot,0.6413639783859253,0.6296625733375549,0.6354593634605408
14,2129,Llama 3.1: 8B,few_shot,0.64776611328125,0.6377279758453369,0.6427078247070312
14,2129,Sailor2,zero_shot,0.658708930015564,0.6607179641723633,0.6597119569778442
14,2129,Sailor2,few_shot,0.6464378237724304,0.6415770053863525,0.6439982056617737
14,2129,DeepSeek-R1,zero_shot,0.6366959810256958,0.6133802533149719,0.6248206496238708
14,2129,DeepSeek-R1,few_shot,0.7222219705581665,0.6832212209701538,0.7021804451942444
15,2465,Chat-GPT,zero_shot,0.6592200994491577,0.6640611886978149,0.6616317629814148
15,2465,Chat-GPT,few_shot,0.7329332828521729,0.7304631471633911,0.7316961884498596
15,2465,Gemini,zero_shot,0.7239717245101929,0.7335224151611328,0.7287157773971558
15,2465,Gemini,few_shot,0.7027625441551208,0.7103553414344788,0.7065385580062866
15,2465,Claude,zero_shot,0.7012331485748291,0.7056152820587158,0.7034174203872681
15,2465,Claude,few_shot,0.6920861005783081,0.7103726863861084,0.7011101245880127
15,2465,Llama 3.1: 8B,zero_shot,0.715811014175415,0.7132928967475891,0.7145497798919678
15,2465,Llama 3.1: 8B,few_shot,0.6616512537002563,0.697733461856842,0.6792134642601013
15,2465,Sailor2,zero_shot,0.6212032437324524,0.6625458002090454,0.6412087678909302
15,2465,Sailor2,few_shot,0.6588146686553955,0.6653449535369873,0.662063717842102
15,2465,DeepSeek-R1,zero_shot,0.706950306892395,0.7008485794067383,0.7038862109184265
15,2465,DeepSeek-R1,few_shot,0.6831157207489014,0.6917785406112671,0.6874198317527771
16,6428,Chat-GPT,zero_shot,0.6747120022773743,0.6583008766174316,0.666405439376831
16,6428,Chat-GPT,few_shot,0.6982296705245972,0.6748391389846802,0.6863352060317993
16,6428,Gemini,zero_shot,0.688178300857544,0.6709803342819214,0.6794705390930176
16,6428,Gemini,few_shot,0.6532338261604309,0.6397559642791748,0.6464247107505798
16,6428,Claude,zero_shot,0.7138513326644897,0.695240318775177,0.7044228911399841
16,6428,Claude,few_shot,0.6794469356536865,0.6993282437324524,0.689244270324707
16,6428,Llama 3.1: 8B,zero_shot,0.6587279438972473,0.6463059186935425,0.6524577736854553
16,6428,Llama 3.1: 8B,few_shot,0.6578910946846008,0.6714094877243042,0.6645815372467041
16,6428,Sailor2,zero_shot,0.6765917539596558,0.6840982437133789,0.6803242564201355
16,6428,Sailor2,few_shot,0.678368866443634,0.6610829830169678,0.6696143746376038
16,6428,DeepSeek-R1,zero_shot,0.6620827913284302,0.6471349000930786,0.654523491859436
16,6428,DeepSeek-R1,few_shot,0.6947779059410095,0.6778646111488342,0.6862170696258545
17,6031,Chat-GPT,zero_shot,0.671255886554718,0.6537643074989319,0.662394642829895
17,6031,Chat-GPT,few_shot,0.7388364672660828,0.7315566539764404,0.735178530216217
17,6031,Gemini,zero_shot,0.6770410537719727,0.6797788739204407,0.6784072518348694
17,6031,Gemini,few_shot,0.7216877937316895,0.7035936117172241,0.7125259041786194
17,6031,Claude,zero_shot,0.6648347973823547,0.6450960636138916,0.654816746711731
17,6031,Claude,few_shot,0.6761729717254639,0.6705066561698914,0.6733278632164001
17,6031,Llama 3.1: 8B,zero_shot,0.6588443517684937,0.6673165559768677,0.6630533933639526
17,6031,Llama 3.1: 8B,few_shot,0.6541250944137573,0.6592848300933838,0.6566948294639587
17,6031,Sailor2,zero_shot,0.6793151497840881,0.6831991672515869,0.6812516450881958
17,6031,Sailor2,few_shot,0.7119268178939819,0.7012175917625427,0.7065316438674927
17,6031,DeepSeek-R1,zero_shot,0.6929427981376648,0.6883507370948792,0.6906391382217407
17,6031,DeepSeek-R1,few_shot,0.6833691596984863,0.677566409111023,0.6804553866386414
18,4555,Chat-GPT,zero_shot,0.7218902111053467,0.732359766960144,0.7270873188972473
18,4555,Chat-GPT,few_shot,0.6252100467681885,0.666954755783081,0.6454080939292908
18,4555,Gemini,zero_shot,0.7382878661155701,0.7532742023468018,0.7457057237625122
18,4555,Gemini,few_shot,0.7297847270965576,0.7528252601623535,0.7411260008811951
18,4555,Claude,zero_shot,0.6842193603515625,0.6980133652687073,0.6910475492477417
18,4555,Claude,few_shot,0.7140253782272339,0.7885215282440186,0.7494267225265503
18,4555,Llama 3.1: 8B,zero_shot,0.6976733803749084,0.7110666036605835,0.7043063044548035
18,4555,Llama 3.1: 8B,few_shot,0.6833229064941406,0.7194688320159912,0.7009301781654358
18,4555,Sailor2,zero_shot,0.6445538401603699,0.667988657951355,0.6560620665550232
18,4555,Sailor2,few_shot,0.6548993587493896,0.6828010678291321,0.6685592532157898
18,4555,DeepSeek-R1,zero_shot,0.7080744504928589,0.712417721748352,0.7102394104003906
18,4555,DeepSeek-R1,few_shot,0.7527236938476562,0.7598485350608826,0.7562692761421204
19,1542,Chat-GPT,zero_shot,0.6925511956214905,0.6968965530395508,0.6947171092033386
19,1542,Chat-GPT,few_shot,0.7188169360160828,0.7172961235046387,0.7180557250976562
19,1542,Gemini,zero_shot,0.7209939360618591,0.703872561454773,0.7123304009437561
19,1542,Gemini,few_shot,0.7013819217681885,0.7064555883407593,0.7039095759391785
19,1542,Claude,zero_shot,0.7124714851379395,0.6985310912132263,0.7054324150085449
19,1542,Claude,few_shot,0.7001209855079651,0.7154453992843628,0.707700252532959
19,1542,Llama 3.1: 8B,zero_shot,0.6768060326576233,0.6710596084594727,0.6739206314086914
19,1542,Llama 3.1: 8B,few_shot,0.7181369066238403,0.7426223754882812,0.7301744222640991
19,1542,Sailor2,zero_shot,0.6631084084510803,0.6732641458511353,0.668147623538971
19,1542,Sailor2,few_shot,0.6557921171188354,0.6578731536865234,0.6568309664726257
19,1542,DeepSeek-R1,zero_shot,0.7174922227859497,0.7150896191596985,0.7162888646125793
19,1542,DeepSeek-R1,few_shot,0.6578981280326843,0.6540883779525757,0.6559877395629883
20,1706,Chat-GPT,zero_shot,0.7251019477844238,0.7253912687301636,0.7252465486526489
20,1706,Chat-GPT,few_shot,0.71824049949646,0.7148163318634033,0.7165243029594421
20,1706,Gemini,zero_shot,0.6550366282463074,0.6677811145782471,0.6613474488258362
20,1706,Gemini,few_shot,0.7095567584037781,0.7233660221099854,0.71639484167099
20,1706,Claude,zero_shot,0.701774001121521,0.7214362621307373,0.711469292640686
20,1706,Claude,few_shot,0.6925289034843445,0.7039052844047546,0.6981707811355591
20,1706,Llama 3.1: 8B,zero_shot,0.6545842289924622,0.6723487973213196,0.663347601890564
20,1706,Llama 3.1: 8B,few_shot,0.6942309141159058,0.7234460711479187,0.7085375189781189
20,1706,Sailor2,zero_shot,0.6710480451583862,0.6722701191902161,0.6716585159301758
20,1706,Sailor2,few_shot,0.6735227704048157,0.6788462400436401,0.676173985004425
20,1706,DeepSeek-R1,zero_shot,0.6918325424194336,0.6804915070533752,0.6861152052879333
20,1706,DeepSeek-R1,few_shot,0.7193222641944885,0.7281997203826904,0.7237337827682495
21,5560,Chat-GPT,zero_shot,0.7044949531555176,0.698008120059967,0.7012366056442261
21,5560,Chat-GPT,few_shot,0.665539562702179,0.6779754161834717,0.6717000007629395
21,5560,Gemini,zero_shot,0.7130939960479736,0.6820708513259888,0.697237491607666
21,5560,Gemini,few_shot,0.7147126197814941,0.6895036697387695,0.7018818855285645
21,5560,Claude,zero_shot,0.6741252541542053,0.6675513982772827,0.6708222031593323
21,5560,Claude,few_shot,0.7077441215515137,0.7165380716323853,0.7121139764785767
21,5560,Llama 3.1: 8B,zero_shot,0.684207558631897,0.6598740816116333,0.6718205809593201
21,5560,Llama 3.1: 8B,few_shot,0.6771586537361145,0.6755403280258179,0.6763485074043274
21,5560,Sailor2,zero_shot,0.6536121964454651,0.6500430107116699,0.6518227458000183
21,5560,Sailor2,few_shot,0.6747585535049438,0.67880779504776,0.6767770648002625
21,5560,DeepSeek-R1,zero_shot,0.6852428913116455,0.682461142539978,0.6838491559028625
21,5560,DeepSeek-R1,few_shot,0.7167699337005615,0.6923930644989014,0.7043706774711609
22,4434,Chat-GPT,zero_shot,0.7034767866134644,0.6991715431213379,0.701317548751831
22,4434,Chat-GPT,few_shot,0.7215369939804077,0.7176856994628906,0.7196062207221985
22,4434,Gemini,zero_shot,0.6915563344955444,0.7035768628120422,0.6975147724151611
22,4434,Gemini,few_shot,0.6893985271453857,0.7012515068054199,0.6952745318412781
22,4434,Claude,zero_shot,0.7224091291427612,0.706250786781311,0.7142385244369507
22,4434,Claude,few_shot,0.7275978326797485,0.7288975715637207,0.7282471656799316
22,4434,Llama 3.1: 8B,zero_shot,0.688723087310791,0.7007631659507751,0.6946909427642822
22,4434,Llama 3.1: 8B,few_shot,0.6800248622894287,0.7129278182983398,0.6960877776145935
22,4434,Sailor2,zero_shot,0.6948686838150024,0.6875906586647034,0.6912105083465576
22,4434,Sailor2,few_shot,0.7206323146820068,0.7406022548675537,0.7304807901382446
22,4434,DeepSeek-R1,zero_shot,0.7080680727958679,0.7068678140640259,0.7074674367904663
22,4434,DeepSeek-R1,few_shot,0.7031574249267578,0.7028824687004089,0.703019917011261
23,1637,Chat-GPT,zero_shot,0.696599006652832,0.7061882019042969,0.701360821723938
23,1637,Chat-GPT,few_shot,0.7445871233940125,0.7390891313552856,0.7418280243873596
23,1637,Gemini,zero_shot,0.7347619533538818,0.7447131276130676,0.7397040724754333
23,1637,Gemini,few_shot,0.768994927406311,0.7624326944351196,0.7656997442245483
23,1637,Claude,zero_shot,0.8478713631629944,0.8577897548675537,0.8528017401695251
23,1637,Claude,few_shot,0.7425017356872559,0.7409460544586182,0.7417230606079102
23,1637,Llama 3.1: 8B,zero_shot,0.6852463483810425,0.6928431391716003,0.6890237927436829
23,1637,Llama 3.1: 8B,few_shot,0.6839793920516968,0.6979601383209229,0.6908990144729614
23,1637,Sailor2,zero_shot,0.6643203496932983,0.6783741116523743,0.6712736487388611
23,1637,Sailor2,few_shot,0.6735188961029053,0.6836931109428406,0.6785678863525391
23,1637,DeepSeek-R1,zero_shot,0.6785850524902344,0.6810808777809143,0.6798307299613953
23,1637,DeepSeek-R1,few_shot,0.710789144039154,0.722000241279602,0.7163508534431458
24,5202,Chat-GPT,zero_shot,0.6745071411132812,0.6785099506378174,0.6765026450157166
24,5202,Chat-GPT,few_shot,0.6836263537406921,0.676855742931366,0.6802242398262024
24,5202,Gemini,zero_shot,0.6962761878967285,0.6948503851890564,0.6955625414848328
24,5202,Gemini,few_shot,0.6683675050735474,0.6697141528129578,0.6690402030944824
24,5202,Claude,zero_shot,0.8038627505302429,0.7987104058265686,0.801278293132782
24,5202,Claude,few_shot,0.6451599597930908,0.6262987852096558,0.6355894804000854
24,5202,Llama 3.1: 8B,zero_shot,0.6640717387199402,0.6553176641464233,0.6596657037734985
24,5202,Llama 3.1: 8B,few_shot,0.6507999897003174,0.647870659828186,0.6493320465087891
24,5202,Sailor2,zero_shot,0.6571083068847656,0.656225323677063,0.6566665172576904
24,5202,Sailor2,few_shot,0.6367634534835815,0.6270755529403687,0.63188236951828
24,5202,DeepSeek-R1,zero_shot,0.6716561317443848,0.6689462661743164,0.6702984571456909
24,5202,DeepSeek-R1,few_shot,0.6496502161026001,0.6586639881134033,0.6541260480880737
25,5518,Chat-GPT,zero_shot,0.7416976690292358,0.7421512007713318,0.7419244050979614
25,5518,Chat-GPT,few_shot,0.6748555898666382,0.6774699091911316,0.6761602759361267
25,5518,Gemini,zero_shot,0.7048227787017822,0.6770552396774292,0.6906600594520569
25,5518,Gemini,few_shot,0.7117224335670471,0.6993941068649292,0.7055044174194336
25,5518,Claude,zero_shot,0.7231788635253906,0.7233846187591553,0.7232816815376282
25,5518,Claude,few_shot,0.8313419818878174,0.8288456797599792,0.8300918936729431
25,5518,Llama 3.1: 8B,zero_shot,0.6821605563163757,0.6813040971755981,0.6817321181297302
25,5518,Llama 3.1: 8B,few_shot,0.6570732593536377,0.6462703943252563,0.6516270637512207
25,5518,Sailor2,zero_shot,0.6669639348983765,0.6587631106376648,0.6628381609916687
25,5518,Sailor2,few_shot,0.6742616891860962,0.6577703952789307,0.6659139394760132
25,5518,DeepSeek-R1,zero_shot,0.674943208694458,0.6680041551589966,0.6714558005332947
25,5518,DeepSeek-R1,few_shot,0.7107284069061279,0.6948058605194092,0.7026769518852234
26,514,Chat-GPT,zero_shot,0.7778742909431458,0.794592022895813,0.7861442565917969
26,514,Chat-GPT,few_shot,0.7422451376914978,0.7506313323974609,0.7464146614074707
26,514,Gemini,zero_shot,0.7633166313171387,0.7647243738174438,0.7640198469161987
26,514,Gemini,few_shot,0.7184731960296631,0.7176022529602051,0.7180374264717102
26,514,Claude,zero_shot,0.7297558188438416,0.7460699081420898,0.7378226518630981
26,514,Claude,few_shot,0.6615931987762451,0.666962742805481,0.6642671227455139
26,514,Llama 3.1: 8B,zero_shot,0.6695727109909058,0.6740803718566895,0.6718189716339111
26,514,Llama 3.1: 8B,few_shot,0.709568202495575,0.7097283601760864,0.7096482515335083
26,514,Sailor2,zero_shot,0.6984025835990906,0.7062734961509705,0.7023159861564636
26,514,Sailor2,few_shot,0.6962229013442993,0.6847378611564636,0.690432608127594
26,514,DeepSeek-R1,zero_shot,0.7005760669708252,0.6845248937606812,0.6924574375152588
26,514,DeepSeek-R1,few_shot,0.6886724233627319,0.6638296842575073,0.6760228872299194
