no,id_data_asli,jenis_pantun,pantun_asli_lengkap,sampiran_asli,isi_input_model,model,setting,setting_label,sampiran_generated,gen_line_count,isi_line_count,r_score,a_score,clr,suku_baris_1,suku_baris_2,suku_baris_3,suku_baris_4,dev_total,semantic_bridge_score_llm_1_5,score_source,s_judge_norm,xrasa_final,bleu,rouge1_f,rouge2_f,rougeL_f,bertscore_p,bertscore_r,bertscore_f1
1,1399,Pantun nasihat dan budi pekerti,"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati","Bunga melati harum baunya
Disiram embun waktu pagi","Jika budi elok lakunya
Semua orang senang hati",DeepSeek-R1,zero_shot,Hasil Zero-shot,"Budi elok senantiasa
Di hiasi dengan rendah hati",2,2,1,1.0,0.375,9,10,9,9,0,1,sample300_manual,0.0,0.5,0.0,0.0,0.0,0.0,0.7243263721466064,0.7260127663612366,0.7251686453819275
1,1399,Pantun nasihat dan budi pekerti,"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati","Bunga melati harum baunya
Disiram embun waktu pagi","Jika budi elok lakunya
Semua orang senang hati",DeepSeek-R1,few_shot,Hasil Few-shot,"Pantai biru terkena ombak
Taman hijau diingat selamanya",2,2,0,1.0,0.0,9,11,9,9,0,2,manual_queue_filled,0.25,0.125,0.0,0.0,0.0,0.0,0.7154644131660461,0.7096685171127319,0.7125546932220459
2,185,Pantun nasihat dan budi pekerti,"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka","Air telaga ditimba petang
Disimpan dalam kendi tua","Jika ingin hidup dikenang
Budi baik jadi pusaka",Chat-GPT,zero_shot,Hasil Zero-shot,"Anak dagang membawa parang
Nyiur melambai di tepi muara",2,2,1,1.0,0.0,9,11,9,9,0,5,sample300_manual,1.0,1.0,0.0,0.0,0.0,0.0,0.7131776809692383,0.7231777310371399,0.7181429266929626
2,185,Pantun nasihat dan budi pekerti,"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka","Air telaga ditimba petang
Disimpan dalam kendi tua","Jika ingin hidup dikenang
Budi baik jadi pusaka",Chat-GPT,few_shot,Hasil Few-shot,"Burung merpati terbang tenang
Buah nangka tersusun di baka",2,2,1,1.0,0.0,9,10,9,9,0,4,sample300_manual,0.75,0.875,0.0,0.0,0.0,0.0,0.6995115280151367,0.707179844379425,0.7033248543739319
2,185,Pantun nasihat dan budi pekerti,"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka","Air telaga ditimba petang
Disimpan dalam kendi tua","Jika ingin hidup dikenang
Budi baik jadi pusaka",Gemini,zero_shot,Hasil Zero-shot,"Terbang tinggi burung belang
Hingga hinggap di atas paka",2,2,1,1.0,0.0,8,9,9,9,0,4,manual_queue_filled,0.75,0.875,0.0,0.0,0.0,0.0,0.715573787689209,0.6940886974334717,0.7046675086021423
2,185,Pantun nasihat dan budi pekerti,"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka","Air telaga ditimba petang
Disimpan dalam kendi tua","Jika ingin hidup dikenang
Budi baik jadi pusaka",Gemini,few_shot,Hasil Few-shot,"Terbang tinggi burung elang
Minggap sebentar di atas paka",2,2,1,1.0,0.0,8,10,9,9,0,2,sample300_manual,0.25,0.625,0.0,0.0,0.0,0.0,0.72025465965271,0.7038331031799316,0.7119491696357727
2,185,Pantun nasihat dan budi pekerti,"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka","Air telaga ditimba petang
Disimpan dalam kendi tua","Jika ingin hidup dikenang
Budi baik jadi pusaka",Claude,zero_shot,Hasil Zero-shot,"Burung merpati terbang melayang
Hinggap sejenak di dahan mangga",2,2,1,1.0,0.0,10,10,9,9,0,3,manual_queue_filled,0.5,0.75,0.0,0.0,0.0,0.0,0.7271559238433838,0.7351158261299133,0.7311142086982727
2,185,Pantun nasihat dan budi pekerti,"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka","Air telaga ditimba petang
Disimpan dalam kendi tua","Jika ingin hidup dikenang
Budi baik jadi pusaka",Claude,few_shot,Hasil Few-shot,"Burung camar terbang melayang
Perahu nelayan singgah di muara",2,2,1,1.0,0.0,9,12,9,9,0,3,manual_queue_filled,0.5,0.75,0.0,0.0,0.0,0.0,0.6858203411102295,0.6910245418548584,0.688412606716156
2,185,Pantun nasihat dan budi pekerti,"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka","Air telaga ditimba petang
Disimpan dalam kendi tua","Jika ingin hidup dikenang
Budi baik jadi pusaka",Llama 3.1: 8B,zero_shot,Hasil Zero-shot,"Budi baik membuat terkenal
Hidup tak pernah dilupakan",2,2,0,1.0,0.428571,10,9,9,9,0,1,sample300_manual,0.0,0.0,0.0,0.0,0.0,0.0,0.6722512245178223,0.6563897132873535,0.6642258167266846
2,185,Pantun nasihat dan budi pekerti,"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka","Air telaga ditimba petang
Disimpan dalam kendi tua","Jika ingin hidup dikenang
Budi baik jadi pusaka",Llama 3.1: 8B,few_shot,Hasil Few-shot,"Padang hijau tempat bermain
Berwarna hijau lembut dan mulus",2,2,0,1.0,0.0,9,10,9,9,0,3,manual_queue_filled,0.5,0.25,0.0,0.0,0.0,0.0,0.6574977040290833,0.6438541412353516,0.6506044268608093
2,185,Pantun nasihat dan budi pekerti,"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka","Air telaga ditimba petang
Disimpan dalam kendi tua","Jika ingin hidup dikenang
Budi baik jadi pusaka",Sailor2,zero_shot,Hasil Zero-shot,"Hidup bermutu jujur terjaga
Amanah teguh bak pagar baja",2,2,0,1.0,0.142857,10,10,9,9,0,1,auto_clr_leakage,0.0,0.0,0.0,0.0,0.0,0.0,0.6786725521087646,0.6829565763473511,0.6808078289031982
2,185,Pantun nasihat dan budi pekerti,"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka","Air telaga ditimba petang
Disimpan dalam kendi tua","Jika ingin hidup dikenang
Budi baik jadi pusaka",Sailor2,few_shot,Hasil Few-shot,"Pohon akasia di tepian sungai,
Kenangan indah dalam jiwa abadi.",2,2,0,1.0,0.0,12,12,9,9,0,1,manual_queue_filled,0.0,0.0,0.021105340631872645,0.11111111111111112,0.0,0.11111111111111112,0.6986046433448792,0.6887282729148865,0.6936312913894653
2,185,Pantun nasihat dan budi pekerti,"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka","Air telaga ditimba petang
Disimpan dalam kendi tua","Jika ingin hidup dikenang
Budi baik jadi pusaka",DeepSeek-R1,zero_shot,Hasil Zero-shot,"Budi baik jadi pusaka
Agar hidup selalu dikenang",2,2,0,1.0,0.714286,9,10,9,9,0,1,sample300_manual,0.0,0.0,0.0,0.0,0.0,0.0,0.7095269560813904,0.688914954662323,0.699069082736969
2,185,Pantun nasihat dan budi pekerti,"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka","Air telaga ditimba petang
Disimpan dalam kendi tua","Jika ingin hidup dikenang
Budi baik jadi pusaka",DeepSeek-R1,few_shot,Hasil Few-shot,"Langit tinggi dikejar awan
Bukit tinggi diayun semang",2,2,0,1.0,0.0,9,9,9,9,0,2,manual_queue_filled,0.25,0.125,0.0,0.0,0.0,0.0,0.7093079090118408,0.6996137499809265,0.7044274806976318
3,3264,Pantun nasihat dan budi pekerti,"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar","Ke pasar membeli buah duku
Duku manis rasanya segar","Jika hidup ingin bermutu
Jujur dan amanah harus dipagar",Chat-GPT,zero_shot,Hasil Zero-shot,"Burung tekukur turun membantu
Petani bekerja di tepi pagar",2,2,1,1.0,0.0,10,11,9,11,0,1,manual_queue_filled,0.0,0.5,0.0,0.0,0.0,0.0,0.6625231504440308,0.6604900360107422,0.6615050435066223
3,3264,Pantun nasihat dan budi pekerti,"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar","Ke pasar membeli buah duku
Duku manis rasanya segar","Jika hidup ingin bermutu
Jujur dan amanah harus dipagar",Chat-GPT,few_shot,Hasil Few-shot,"Pohon bambu tumbuh bersatu
Pagar kayu tegak dipagar",2,2,1,1.0,0.125,9,9,9,11,0,1,auto_clr_leakage,0.0,0.5,0.0,0.0,0.0,0.0,0.6867750287055969,0.7000036239624023,0.6933262944221497
3,3264,Pantun nasihat dan budi pekerti,"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar","Ke pasar membeli buah duku
Duku manis rasanya segar","Jika hidup ingin bermutu
Jujur dan amanah harus dipagar",Gemini,zero_shot,Hasil Zero-shot,"Beli kain bertenun satu
Bunga mawar harum memekar",2,2,1,1.0,0.0,9,9,9,11,0,3,sample300_manual,0.5,0.75,0.0,0.0,0.0,0.0,0.6788997054100037,0.6906224489212036,0.6847109198570251
3,3264,Pantun nasihat dan budi pekerti,"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar","Ke pasar membeli buah duku
Duku manis rasanya segar","Jika hidup ingin bermutu
Jujur dan amanah harus dipagar",Gemini,few_shot,Hasil Few-shot,"Kain tenun berhias batu
Terikat erat rantai tembaga",2,2,0,1.0,0.0,9,10,9,11,0,4,manual_queue_filled,0.75,0.375,0.0,0.0,0.0,0.0,0.6586928367614746,0.6642636060714722,0.6614664793014526
3,3264,Pantun nasihat dan budi pekerti,"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar","Ke pasar membeli buah duku
Duku manis rasanya segar","Jika hidup ingin bermutu
Jujur dan amanah harus dipagar",Claude,zero_shot,Hasil Zero-shot,"Pergi ke ladang memetik tebu
Buah kelapa dijual di pasar",2,2,1,1.0,0.0,10,11,9,11,0,3,manual_queue_filled,0.5,0.75,0.021105340631872645,0.3157894736842105,0.0,0.2105263157894737,0.7139952182769775,0.7173584699630737,0.7156729102134705
3,3264,Pantun nasihat dan budi pekerti,"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar","Ke pasar membeli buah duku
Duku manis rasanya segar","Jika hidup ingin bermutu
Jujur dan amanah harus dipagar",Claude,few_shot,Hasil Few-shot,"Pergi ke kebun memetik tebu
Ikan berenang di kolam besar",2,2,1,1.0,0.0,10,10,9,11,0,3,manual_queue_filled,0.5,0.75,0.0,0.10526315789473685,0.0,0.10526315789473685,0.7066755890846252,0.7126067876815796,0.7096287608146667
3,3264,Pantun nasihat dan budi pekerti,"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar","Ke pasar membeli buah duku
Duku manis rasanya segar","Jika hidup ingin bermutu
Jujur dan amanah harus dipagar",Llama 3.1: 8B,zero_shot,Hasil Zero-shot,"Jujur dan amanah membentengi
Mutu hidup makin meninggi",2,2,0,1.0,0.375,10,9,9,11,0,1,auto_clr_leakage,0.0,0.0,0.0,0.0,0.0,0.0,0.6812437176704407,0.6954324245452881,0.6882649660110474
3,3264,Pantun nasihat dan budi pekerti,"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar","Ke pasar membeli buah duku
Duku manis rasanya segar","Jika hidup ingin bermutu
Jujur dan amanah harus dipagar",Llama 3.1: 8B,few_shot,Hasil Few-shot,"Hutan lebat tempat burung berkicau
Dengan sari manis, kaya akan rahmat",2,2,0,1.0,0.0,11,12,9,11,0,2,sample300_manual,0.25,0.125,0.0,0.09999999999999999,0.0,0.09999999999999999,0.690009355545044,0.7040823698043823,0.6969748139381409
3,3264,Pantun nasihat dan budi pekerti,"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar","Ke pasar membeli buah duku
Duku manis rasanya segar","Jika hidup ingin bermutu
Jujur dan amanah harus dipagar",Sailor2,zero_shot,Hasil Zero-shot,"Hidup berisi budi dihormat
Hormati janji dan tutur kata",2,2,0,1.0,0.125,10,10,9,11,0,1,auto_clr_leakage,0.0,0.0,0.0,0.0,0.0,0.0,0.657848596572876,0.6733543872833252,0.6655111908912659
3,3264,Pantun nasihat dan budi pekerti,"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar","Ke pasar membeli buah duku
Duku manis rasanya segar","Jika hidup ingin bermutu
Jujur dan amanah harus dipagar",Sailor2,few_shot,Hasil Few-shot,"Kebun sayuran berbatas jelas,
Kejujuran tumbuh subur di ladang hati.",2,2,0,0.852344,0.0,10,13,9,11,1,1,manual_queue_filled,0.0,0.0,0.0,0.0,0.0,0.0,0.6660608053207397,0.6651738286018372,0.6656169891357422
3,3264,Pantun nasihat dan budi pekerti,"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar","Ke pasar membeli buah duku
Duku manis rasanya segar","Jika hidup ingin bermutu
Jujur dan amanah harus dipagar",DeepSeek-R1,zero_shot,Hasil Zero-shot,"Jujur dan amanah harus dipagar
Dengan budi elok hidup bermutu",2,2,0,1.0,0.75,11,11,9,11,0,1,auto_clr_leakage,0.0,0.0,0.0,0.0,0.0,0.0,0.6688104271888733,0.6877831220626831,0.6781640648841858
3,3264,Pantun nasihat dan budi pekerti,"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar","Ke pasar membeli buah duku
Duku manis rasanya segar","Jika hidup ingin bermutu
Jujur dan amanah harus dipagar",DeepSeek-R1,few_shot,Hasil Few-shot,"Sungai jernih mengalir perlahan
Pohon besar menembus awan tinggi",2,2,0,1.0,0.0,10,11,9,11,0,2,sample300_manual,0.25,0.125,0.0,0.0,0.0,0.0,0.6799835562705994,0.6881898641586304,0.684062123298645
4,4515,Pantun nasihat dan budi pekerti,"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pagi hari memetik mangga
Burung kecil hinggap di pagar","Jika ingin hidup bahagia
Bersikap jujur dan sabar",Chat-GPT,zero_shot,Hasil Zero-shot,"Mentari pagi menyapa desa
Burung kecil hinggap di pagar",2,2,1,1.0,0.0,10,9,10,8,0,4,sample300_manual,0.75,0.875,0.44632361378533286,0.6666666666666666,0.5,0.6666666666666666,0.8607618808746338,0.8504254817962646,0.8555624485015869
4,4515,Pantun nasihat dan budi pekerti,"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pagi hari memetik mangga
Burung kecil hinggap di pagar","Jika ingin hidup bahagia
Bersikap jujur dan sabar",Chat-GPT,few_shot,Hasil Few-shot,"Mentari pagi sinarnya ceria
Layar perahu dibawa pelayar",2,2,1,1.0,0.0,11,11,10,8,0,3,manual_queue_filled,0.5,0.75,0.0,0.11764705882352941,0.0,0.11764705882352941,0.7285919189453125,0.7328207492828369,0.7307001948356628
4,4515,Pantun nasihat dan budi pekerti,"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pagi hari memetik mangga
Burung kecil hinggap di pagar","Jika ingin hidup bahagia
Bersikap jujur dan sabar",Gemini,zero_shot,Hasil Zero-shot,"Tinggi menjulang pohon kelapa
Pagi hari udara segar",2,2,1,1.0,0.0,10,9,10,8,0,3,manual_queue_filled,0.5,0.75,0.05183741882011645,0.23529411764705882,0.13333333333333333,0.23529411764705882,0.7497653365135193,0.7453135848045349,0.747532844543457
4,4515,Pantun nasihat dan budi pekerti,"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pagi hari memetik mangga
Burung kecil hinggap di pagar","Jika ingin hidup bahagia
Bersikap jujur dan sabar",Gemini,few_shot,Hasil Few-shot,"Tanam padi di dekat desa
Sawah luas membentang lebar",2,2,1,1.0,0.0,9,9,10,8,0,4,sample300_manual,0.75,0.875,0.023980296761827107,0.1111111111111111,0.0,0.1111111111111111,0.7170107960700989,0.7055718898773193,0.7112453579902649
4,4515,Pantun nasihat dan budi pekerti,"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pagi hari memetik mangga
Burung kecil hinggap di pagar","Jika ingin hidup bahagia
Bersikap jujur dan sabar",Claude,zero_shot,Hasil Zero-shot,"Pergi ke kota naik kereta
Singgah sebentar mencari kabar",2,2,1,1.0,0.0,10,10,10,8,0,3,sample300_manual,0.5,0.75,0.0,0.0,0.0,0.0,0.7192811369895935,0.7068008184432983,0.712986409664154
4,4515,Pantun nasihat dan budi pekerti,"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pagi hari memetik mangga
Burung kecil hinggap di pagar","Jika ingin hidup bahagia
Bersikap jujur dan sabar",Claude,few_shot,Hasil Few-shot,"Burung merpati terbang ke desa
Kerbau digembala di padang besar",2,2,1,1.0,0.0,10,11,10,8,0,4,sample300_manual,0.75,0.875,0.025098621243978974,0.2105263157894737,0.0,0.2105263157894737,0.7387083768844604,0.7358416318893433,0.7372722029685974
4,4515,Pantun nasihat dan budi pekerti,"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pagi hari memetik mangga
Burung kecil hinggap di pagar","Jika ingin hidup bahagia
Bersikap jujur dan sabar",Llama 3.1: 8B,zero_shot,Hasil Zero-shot,"Hati sabar membuat selalu
Bahagia bersama yang lain",2,2,0,1.0,0.285714,10,10,10,8,0,1,sample300_manual,0.0,0.0,0.0,0.0,0.0,0.0,0.6942700147628784,0.6905625462532043,0.6924113035202026
4,4515,Pantun nasihat dan budi pekerti,"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pagi hari memetik mangga
Burung kecil hinggap di pagar","Jika ingin hidup bahagia
Bersikap jujur dan sabar",Llama 3.1: 8B,few_shot,Hasil Few-shot,"Di tengah hutan tinggi di taman
Bunga mawar tumbuh bersemi-sembunyi",2,2,0,1.0,0.0,10,12,10,8,0,2,manual_queue_filled,0.25,0.125,0.021105340631872645,0.09999999999999999,0.0,0.09999999999999999,0.6785036325454712,0.6815604567527771,0.6800286173820496
4,4515,Pantun nasihat dan budi pekerti,"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pagi hari memetik mangga
Burung kecil hinggap di pagar","Jika ingin hidup bahagia
Bersikap jujur dan sabar",Sailor2,zero_shot,Hasil Zero-shot,"Rendah hati jalan budi mulia
Jangan tinggi diri tak tahan uji",2,2,0,1.0,0.0,11,11,10,8,0,1,manual_queue_filled,0.0,0.0,0.0,0.0,0.0,0.0,0.6895755529403687,0.6848877668380737,0.6872236728668213
4,4515,Pantun nasihat dan budi pekerti,"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pagi hari memetik mangga
Burung kecil hinggap di pagar","Jika ingin hidup bahagia
Bersikap jujur dan sabar",Sailor2,few_shot,Hasil Few-shot,"Bawah redup bayangan pohon beringin,
Kebahagiaan mengalir tenang tanpa henti.",2,2,0,0.674969,0.0,12,15,10,8,3,1,sample300_manual,0.0,0.0,0.0,0.0,0.0,0.0,0.6936085224151611,0.7041542530059814,0.6988416314125061
4,4515,Pantun nasihat dan budi pekerti,"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pagi hari memetik mangga
Burung kecil hinggap di pagar","Jika ingin hidup bahagia
Bersikap jujur dan sabar",DeepSeek-R1,zero_shot,Hasil Zero-shot,"Bersikap jujur dan sabar
Hidup akan bahagia selamanya",2,2,0,1.0,0.714286,8,12,10,8,0,1,auto_clr_leakage,0.0,0.0,0.0,0.0,0.0,0.0,0.685641884803772,0.6915677785873413,0.6885920763015747
4,4515,Pantun nasihat dan budi pekerti,"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pagi hari memetik mangga
Burung kecil hinggap di pagar","Jika ingin hidup bahagia
Bersikap jujur dan sabar",DeepSeek-R1,few_shot,Hasil Few-shot,"Langit cerah hias keindahan
Hutan rimbun jadi kenangan",2,2,0,1.0,0.0,10,9,10,8,0,2,manual_queue_filled,0.25,0.125,0.0,0.0,0.0,0.0,0.7179630994796753,0.7214164733886719,0.7196856737136841
5,4853,Pantun nasihat dan budi pekerti,"Pergi ke desa membawa padi
Padi ditukar dengan ikan
Jika hidup ingin berisi budi
Hormati janji dan ucapan","Pergi ke desa membawa padi
Padi ditukar dengan ikan","Jika hidup ingin berisi budi
Hormati janji dan ucapan",Chat-GPT,zero_shot,Hasil Zero-shot,"Pohon jati tumbuh berbudi
Singgah sebentar membeli papan",2,2,1,1.0,0.0,9,10,11,9,0,1,manual_queue_filled,0.0,0.5,0.0,0.0,0.0,0.0,0.7046382427215576,0.7235126495361328,0.7139506936073303
