item_id,isi_input_model,sampiran_generated,semantic_bridge_score_human_1_5,catatan_penilai,semantic_bridge_score_human_2_5,catatan_penilai,semantic_bridge_score_llm_1_5
HB-029,"Hidup di dunia buatlah bakti
Kepada ibu dan juga bapa","Burung pipit terbang tinggi
Pohon kelapa tumbuh merata",4,,,,3
HB-030,"bermain kejarkejaran
badan sehat hati pun senang","Bermain petak umpet di halaman
Tubuh segar hati pun senang",1,,,,1
HB-031,"setelah bermain bersihkan kamar
jangan sampai berantakan","Selesai belajar rapikan kamar
Supaya rumah tidak berantakan",1,,,,1
HB-032,"semakin jauh ke rantau orang
hanya keluarga yang aku rindukan","Terbang tinggi si burung elang
Pagi hari pergi ke pekan",5,,,,3
HB-033,"kepada ayah mesti hormat
kepada ibu harus berbakti","Kepada ayah mesti hormat
Kepada ibu harus berbakti",1,,,,1
HB-034,"terbahakbahak itik tertawa
melihat monyet memakai sarung","Hujan yang turun lebat
Melihat monyet memakai sarung",1,,,,1
HB-035,"di tanah lapang kami bermain
bermain gundu juga layangan","di tanah lapang kami bermain
bermain gundu juga layangan",1,,,,1
HB-036,"sejak kecil kita diasuh
jasa ibu bapak sangatlah besar","Tumbuh rebuh di tepi dusun
Buah delima ranum segar",5,,,,4
HB-037,"Jika hidup ingin berkah
Rajin ibadah setiap hari","Pohon zaitun menghasilkan buah berlimpah,
Kebajikan terus, keberkahan melimpah.",2,,,,1
HB-038,"ilmu sejati lahir dari hening
dan hati yang tulus berniat","Ilmu sejati lahir dari hening
Hati tulus berniat, ilmu mengalir tenang",1,,,,1
HB-039,"ilmu sejati lahir dari hening
dan hati yang tulus berniat","Ilmu yang benar berasal dari hati
Hati yang jujur menuntun kebijadian",1,,,,1
HB-040,"Ilmu tanpa akhlak percuma
Bagaikan raga tanpa rohani","Beli beras di pasar utama
Bawa pulang ke rumah petani",5,,,,4
HB-041,"kepada ayah mesti hormat
kepada ibu harus berbakti","Kepada adat mesti hormat
Kepada guru tekun berbakti",1,,,,1
HB-042,"adat dijaga pusaka dijunjung
baru terpelihara adat pesaka","Pohon tanjung tumbuh menjunjung
Layar terkembang menuju pesaka",1,,,,1
HB-043,"Jika budi elok lakunya
Semua orang senang hati","Harum baunya bunga cempaka
Pohon tumbuh di tepi kali",5,,,,4
HB-044,"Jika hati selalu ramah
Banyak sahabat datang menyapa","Tersenyum ramah di awal
Bersahabat kau akan langgeng",1,,,,1
HB-045,"Ilmu tanpa akhlak percuma
Bagaikan raga tanpa rohani","Ke pasar membeli minyak kelapa
Burung camar terbang tinggi",4,,,,3
HB-046,"Jika ingin hidup gemilang
Jangan lupa restu orang tua","Terbang sepasang burung elang
Minggir sebentar di atas jua",5,,,,2
HB-047,"Jika ingin dihormati teman
Bersikap rendah hati sentiasa","Jika melintas di depan taman
Tersenyumlah kepada semua sentiasa",1,,,,1
HB-048,"Jika hidup mahu bersatu
Jaga rukun sesama bangsa","Pergi ke sawah membawa batu,
Singgah sejenak di rumah tua",5,,,,2
HB-049,"Budi bahasa jadi pegangan
Agar hidup sentiasa wajar","Burung tekukur mencari makan
Air mengalir jernih dan segar",5,,,,4
HB-050,"Ilmu dicari dengan sabar
Supaya hidup penuh harapan","Gunung tinggi di pagi yang tenang,
Kesabaran memetik buah ilmu nan cerah.",2,,,,1
