No.	ID Data Asli	Jenis Pantun	Pantun Asli Lengkap	Sampiran Asli	Isi untuk Input Model	Chat-GPT	Chat-GPT	Gemini	Gemini	Claude	Claude	Llama 3.1: 8B	Llama 3.1: 8B	Sailor2	Sailor2	DeepSeek-R1	DeepSeek-R1
10	3176	Pantun nasihat dan budi pekerti	"Ke kebun bunga memetik mawar
Mawar merah harum baunya
Jika ingin hidup terasa segar
Syukuri nikmat sepanjang usia"	"Ke kebun bunga memetik mawar
Mawar merah harum baunya"	"Jika ingin hidup terasa segar
Syukuri nikmat sepanjang usia"	"Air jernih mengalir segar
Purnama terang sepanjang usia"	"Bunga mawar mekar segar
Hijau usia di tanah desa"	"Anak berjalan berbaris mekar
Matahari terbit indah membiasa"	"Layar terkembang di tengah segar
Nelayan pulang membawa usia"	"Ikan gurame dijual di pasar
Dimasak enak dengan bumbu cuka"	"Nelayan pulang membawa ikan besar
Bunga melati mekar di desa"	"Nikmat yang didapat membuat
Segar hati dengan kaya raya"	"Di tengah kebun tinggi di taman
Bunga mawar tumbuh bersemi-sembunyi"	"Syukuri nikmat sepanjang usia
Hidup terasa segar selalu ceria"	"Embun pagi di atas kembang melati,
Nikmat syukur, kehidupan pun berseri."	"Jika ingin hidup terasa segar
Syukuri nikmat sepanjang usia"	"Kayu lapuk di ujung pantai
Bidadari tinggal di awan tinggi"
11	1343	Pantun nasihat dan budi pekerti	"Bunga kenanga harum baunya
Disimpan rapi di dalam peti
Jika ingin hidup mulia
Jujur selalu dalam hati"	"Bunga kenanga harum baunya
Disimpan rapi di dalam peti"	"Jika ingin hidup mulia
Jujur selalu dalam hati"	"Bunga melur semerbak mewangi
Layar terkembang menuju seberang"	"Bunga kenanga harum mulia
Burung pipit hinggap di hati"	"Anak kecil membawa piala
Mandi di sungai di pagi hari"	"Anak perahu membawa piala
Singgah sebentar di tepi kali"	"Bunga mawar mekar di taman kota
Harum semerbak sepanjang hari"	"Air sungai mengalir ke muara
Burung pipit hinggap di pagi"	"Hati jujur membawa berkah
Membuat rupa diri mulia"	"Hutan lebat tempat hewan bergembira
Mengalami kebahagiaan hidup yang damai"	"Jujur dalam hati hidup mulia
Kejujuran cahaya penerang jiwa"	"Langit biru di atas gunung merah jambu,
Kejujuran bertahta, kehormatan bersinar."	"Jika ingin hidup mulia
Jujur selalu dalam hati"	"Pusaka zaman dulu kala
Bukit tinggi masih diingat"
12	315	Pantun nasihat dan budi pekerti	"Anak dara menampi padi
Angin bertiup perlahan-lahan
Jika ingin hidup terpuji
Utamakan budi dalam pergaulan"	"Anak dara menampi padi
Angin bertiup perlahan-lahan"	"Jika ingin hidup terpuji
Utamakan budi dalam pergaulan"	"Air jernih mengalir segar
Purnama terang sepanjang usia"	"Padi menguning tampak terpuji
Berjalan santun dalam pergaulan"	"Manis rasa buah kemuji
Membawa raga ke dalam taman"	"Pergi ke pasar membeli puji
Singgah membeli buah rambutan"	"Burung nuri terbang tinggi
Hinggap sejenak menuju hutan"	"Kembang melati harum berseri
Angin berhembus sejuk di halaman"	"Budi utama membuat perbuatan
Puji-puji dari orang yang lain"	"Pohon rindang tempat burung berkicau
Menyanyikan lagu-lagu khas petangnya"	"Budi mulia dalam pergaulan
Jauhkan iri dengki, dekatkan persaudaraan"	"Bunga lili di kolam tenang,
Pergaulan baik, nama pun harum semerbak."	"Jika ingin hidup terpuji
Utamakan budi dalam pergaulan"	"Bintang malam di langit biru
Taman kecil di balik bukit"
13	2101	Pantun agama	"durian runtuh jatuh ke dahan
bertiup angin dari tanjung pinang
tunduk patuh pada tuhan
hati teduh jiwa pun tenang"	"durian runtuh jatuh ke dahan
bertiup angin dari tanjung pinang"	"tunduk patuh pada tuhan
hati teduh jiwa pun tenang"	"Bunga kenanga indah warnanya
Burung pipit terbang tinggi"	"Pohon ara tumbuh di kebun
Air mengalir jernih dan tenang"	"Terbang tinggi burung di dahan
Singgah sebentar di atas tenang"	"Tebang pohon buat bahan
Tergulung ombak di laut tenang"	"Berlayar jauh menuju hutan
Angin bertiup sejuk di ladang"	"Burung camar terbang ke lautan
Anak-anak bermain riang"	"Hati yang tertakdirkan selalu
Teduh dengan suka rela menerima"	"Di tengah sawah tinggi di taman
Hidup harmonis dan bahagia selalu"	"Tunduk patuh pada Tuhan
Jiwa tenang, hati teduh penuh damai"	"Suara azan memecah sunyi malam,
Ketaatan membawa ketenangan abadi."	"tunduk patuh pada tuhan
hati teduh jiwa pun tenang"	"Bukit tinggi dengan pohon pinus
Taman kecil di balik bukit"
14	2129	Pantun agama	"Embun pagi berkilau jernih
Menyentuh pucuk padi di huma
Jika iman sentiasa bersih
Damailah hidup sepanjang masa"	"Embun pagi berkilau jernih
Menyentuh pucuk padi di huma"	"Jika iman sentiasa bersih
Damailah hidup sepanjang masa"	"Bunga melur indah terpuji
Singgah sebentar di balai pergaulan"	"Daun sirih tampak bersih
Sawah terbentang sepanjang masa"	"Merah membara buah selasih
Bunga melati harum baunya"	"Layar terkembang kain putih
Angin berhembus ke arah desa"	"Air sungai mengalir jernih
Membasahi sawah dan desa"	"Air terjun deras dan jernih
Bunga melati tumbuh di desa"	"Iman yang jujur membuat hati
Bersih dan selalu dalam ketaatan"	"Padang hijau tempat hewan bergembira
Mengalami kebahagiaan hidup yang damai"	"Iman bersih hidup selalu damai
Tanpa gundah, penuh keberkahan hidup sejati"	"Pantai pasir putih dengan ombak berbisik,
Iman teguh, hati pun tenang dan tentram."	"Jika iman sentiasa bersih
Damailah hidup sepanjang masa"	"Langit jernih awan putih
Taman kecil di balik bukit"
15	2465	Pantun agama	"Ikan sepat ikan gabus
Masak lemak dalam belanga
Jika hendak hidup lurus
Ikut adat dan agama"	"Ikan sepat ikan gabus
Masak lemak dalam belanga"	"Jika hendak hidup lurus
Ikut adat dan agama"	"Burung merpati terbang perlahan
Embun pagi menyapa tenang"	"Batang lurus dibuat galah
Bunga kenanga harum lama"	"Kayu diukir halus dan lurus
Sambil memetik buah delima"	"Kayu jati diukir halus
Dibawa orang dari bukit sama"	"Kucing berlari mengejar tikus
Larinya cepat menuju desa"	"Ombak berderu angin berhembus
Padi ditanam di sawah desa"	"Adat yang menjadi pedoman
Lurus jalan hidup menuju kebahagiaan"	"Kebun bunga tempat bunga bermekar
Berwarna-warni dan harum baunya"	"Hidup lurus ikuti adat agama
Jalan hidup terang, bahagia selamanya"	"Sungai jernih mengalir di tengah hutan hijau,
Adat terjaga, kehidupan pun selaras."	"Jika hendak hidup lurus
Ikut adat dan agama"	"Pantai berpasir putih halus
Bukit tinggi dengan pohon pinus"
16	6428	Pantun agama	"terang bulan terang bercahaya
cahaya memancar ke tanjung jati
jikalau hendak hidup bahagia
beramal ibadah sebelum mati"	"terang bulan terang bercahaya
cahaya memancar ke tanjung jati"	"jikalau hendak hidup bahagia
beramal ibadah sebelum mati"	"Daun sirih tampak bersih
Mentari bersinar sepanjang masa"	"Pagi ceria membawa bahagia
Burung pipit pulang sebelum mati"	"Tinggi menjulang pohon kelapa
Ikan berenang di bawah titi"	"Membeli kain berwarna jingga
Mawar merah harum sekali"	"Pergi ke taman memetik bunga
Indah mekar sepanjang hari"	"Bunga teratai mekar di rawa
Kunang-kunang terbang di malam sunyi"	"Bergembira hati dalam beribadah
Membuat hidup penuh bahagia"	"Hutan rimba tempat burung berkicau
Menyanyikan lagu-lagu khas petangnya"	"Bersyukur hidup bahagia sebelum mati
Amal ibadah jadi penjaga hati"	"Langit senja dengan awan emas berarak,
Amalan baik, kebahagiaan abadi."	"jikalau hendak hidup bahagia
beramal ibadah sebelum mati"	"Hutan belantara di balik bukit
Langit cerah hias keindahan"
17	6031	Pantun agama	"senja terbenam di langit barat
bulan tak bersinar di malam sendu
hidup di dunia ingatlah akhirat
sebagai bekal gapailah ilmu"	"senja terbenam di langit barat
bulan tak bersinar di malam sendu"	"hidup di dunia ingatlah akhirat
sebagai bekal gapailah ilmu"	"Kayu lurus dibuat galah
Perahu kecil menuju dermaga"	"Bintang berkelip di langit lebat
Tekun belajar mencari ilmu"	"Singgah sebentar membeli berat
Beli bambu beruas sembilan"	"Singgah sebentar di kota barat
Membeli kain berwarna biru"	"Pergi ke ladang membawa alat
Bekerja keras sepanjang waktu"	"Pergi ke pasar membeli obat
Burung merpati terbang selalu"	"Ilmu yang didapat membawa kebahagiaan
Hidup pun makin sejahtera"	"Pohon rindang tempat hewan bergembira
Mengalami kebahagiaan hidup yang damai"	"Hidup di dunia ingat akhirat
Bekal ilmu gapai keberkahan hidup"	"Bintang bersinar malam penuh bermakna,
Ilmu dicari, hidup pun bercahaya."	"hidup di dunia ingatlah akhirat
sebagai bekal gapailah ilmu"	"Pusaka zaman dulu kala
Bukit curam dengan pohon pinus"
18	4555	Pantun agama	"Pagi hari menuju sawah
Embun jatuh di daun padi
Jika hidup ingin berkah
Rajin ibadah setiap hari"	"Pagi hari menuju sawah
Embun jatuh di daun padi"	"Jika hidup ingin berkah
Rajin ibadah setiap hari"	"Anak desa wajah bahagia
Burung pipit terbang tinggi"	"Bunga cempaka semerbak berkah
Mentari pagi bersinar cerah"	"Pergi melaut membawa pukat
Mencari ikan hingga ke pantai"	"Pohon mangga pohon nangka
Tumbuh subur di tanah sari"	"Ke pasar pagi membeli buah
Dibawa pulang sambil berlari"	"Padi menguning di ladang sawah
Kupu-kupu terbang kian kemari"	"Berkah yang diperoleh dari ibadah
Membuat hidup penuh makna"	"Padang pasir tempat bunga tumbuh
Bermekar dengan warna-warna indah"	"Rajin ibadah hidup berkah selalu
Berkah ilahi, hidup sentosa"	"Pohon zaitun menghasilkan buah berlimpah,
Kebajikan terus, keberkahan melimpah."	"Jika hidup ingin berkah
Rajin ibadah setiap hari"	"Bidadari tinggal di awan tinggi
Kayu lapuk di ujung pantai"
19	1542	Pantun agama	"Burung elang terbang melingkar
Mengawasi lembah dan hutan
Jika ingin hidup tak gentar
Perkuat iman dan keyakinan"	"Burung elang terbang melingkar
Mengawasi lembah dan hutan"	"Jika ingin hidup tak gentar
Perkuat iman dan keyakinan"	"Bintang malam tampak berkilat
Embun pagi menyejukkan tubuh"	"Pohon besar tahan disambar
Layar terkembang menuju pelabuhan"	"Kertas putih dilipat sekitar
Membeli kain di tengah pasar"	"Kain tenun benangnya mekar
Tersusun rapi di dalam papan"	"Berlayar jauh menuju pasar
Membawa barang hasil dagangan"	"Nelayan pergi membawa layar
Angin berhembus sejuk di hutan
"	"Iman yang kuat membuat hati
Tidak pernah gentar dalam menghadapi ujian"	"Hutan lebat tempat burung berkicau
Menyanyikan lagu-lagu khas petangnya"	"Perkuat iman dan keyakinan
Hati tak gentar, hadapi cabaran"	"Angin sepoi membawa wangian melati,
Iman teguh, hati tak mudah tergoyahkan."	"Jika ingin hidup tak gentar
Perkuat iman dan keyakinan"	"Pusaka zaman dulu kala
Langit cerah hias keindahan"
20	1706	Pantun agama	"Burung pipit terbang ke rawa
Mencari makan di antara padi
Jika hidup penuh doa
Hati tenang setiap hari"	"Burung pipit terbang ke rawa
Mencari makan di antara padi"	"Jika hidup penuh doa
Hati tenang setiap hari"	"Mentari pagi membawa berkah
Ayam berkokok setiap hari"	"Embun turun membawa doa
Burung berkicau setiap hari"	"Mengayuh sampan membawa galah
Air jernih mengalir terus"	"Beli kain berhias permata
Membeli barang di pagi hari"	"Bunga melati mekar di desa
Wangi semerbak menyambut pagi"	"Bulan mengambang di atas desa
Ayam berkokok menyambut pagi"	"Doa yang selalu disampaikan
Membuat hati pun selalu teduh"	"Di tengah kebun tinggi di taman
Bunga mawar tumbuh bersemi-sembunyi"	"Penuh doa hati tenang setiap hari
Rahmat Tuhan, hidup terasa manis"	"Laut biru dengan ombak lembut bergerak,
Doa tulus, jiwa pun tenang dan damai."	"Jika hidup penuh doa
Hati tenang setiap hari"	"Bukit tinggi dengan pohon pinus
Kayu tinggi dikejar perahu"
21	5560	Pantun pendidikan	"pohon kelapa di tepi telaga
daunnya melambai tertiup angin
hormat guru tanda mulia
ilmu mengalir penuh berkah yakin"	"pohon kelapa di tepi telaga
daunnya melambai tertiup angin"	"hormat guru tanda mulia
ilmu mengalir penuh berkah yakin"	"Pohon besar tahan terbakar
Bunga mekar jadi hiasan"	"
Pohon kemboja tampak mulia
Padi menguning pertanda yakin"	"Terbang tinggi burung di udara
Mencari makan hingga ke kelin"	"Padi menguning di tengah desa
Membawa beras ke dalam bukit"	"Ke pasar pagi membeli kelapa
Pulang ke rumah hati pun ingin"	"Bunga anggrek tumbuh di rimba
Angin sepoi bertiup dingin"	"Guru yang dihormati membuat rupa diri
Mulia dan diberkahi dengan ilmu"	"Gelombang laut membawa kebahagiaan
Ombak yang berderak menghampiri pantai"	"Hormati guru, ilmu berkah yakin
Ilmu mengalir, hidup penuh berkat"	"Bunga teratai di kolam suci bersinar,
Menghormati guru, ilmu pun membawa cahaya."	"hormat guru tanda mulia
ilmu mengalir penuh berkah yakin"	"Taman kecil di balik bukit
Langit cerah hias keindahan"
22	4434	Pantun pendidikan	"Pagi cerah memetik mawar
Harumnya sampai ke halaman
Ilmu dicari dengan sabar
Supaya hidup penuh harapan"	"Pagi cerah memetik mawar
Harumnya sampai ke halaman"	"Ilmu dicari dengan sabar
Supaya hidup penuh harapan"	"Embun pagi penuh doa
Burung berkicau setiap hari"	"Air mengalir dengan sabar
Mentari pagi membawa harapan"	"Membeli kain bergaris mekar
Beli kemeja berukuran sedang"	"Memetik buah di balik belukar
Jatuh satu ke dalam sampan"	"Berlayar jauh menuju pasar
Nelayan pulang membawa ikan"	"Ikan berenang di lautan besar
Bunga melati harum di taman"	"Hidup yang memiliki harapan
Membuat jalan menuju kebahagiaan terbuka"	"Kebun bunga tempat bunga bermekar
Berwarna-warni dan harum baunya"	"Ilmu dicari dengan sabar hati
Harapan hidup penuh harapan pasti"	"Gunung tinggi di pagi yang tenang,
Kesabaran memetik buah ilmu nan cerah."	"Ilmu dicari dengan sabar
Supaya hidup penuh harapan"	"Hutan belantara di balik bukit
Langit jernih awan putih"
23	1637	Pantun pendidikan	"Burung merpati terbang ke taman
Hinggap sebentar di pohon jati
Kalau ingin masa depan aman
Belajarlah rajin sepenuh hati"	"Burung merpati terbang ke taman
Hinggap sebentar di pohon jati"	"Kalau ingin masa depan aman
Belajarlah rajin sepenuh hati"	"Rumah kayu tetap aman
Belajarlah tekun sepenuh hati"	"Burung merpati terbang nyaman
Bunga melati harum mewangi"	"Anak berjalan berbaris saman
Membawa kayu bertali mati"	"Membeli beras di tengah pekan
Singgah sebentar di rumah asti"	"Burung pipit terbang ke hutan
Hinggap sejenak menyambut pagi"	"Burung camar terbang ke awan
Burung pipit hinggap berseri"	"Rajin belajar membawa berkah
Masa depan penuh dengan kesuksesan"	"Hutan rimba tempat hewan bergembira
Mengalami kebahagiaan hidup yang damai"	"Rajin belajar, masa depan aman cerah
Pengetahuan baik, hidup penuh cahaya"	"Bintang jatuh di langit malam yang gelap,
Rajin belajar, impian pun tercapai."	"Kalau ingin masa depan aman
Belajarlah rajin sepenuh hati"	"Pusaka zaman dulu kala
Bukit curam dengan pohon pinus"
24	5202	Pantun pendidikan	"Pergi ke pasar membeli talas
Tak lupa membeli buah duku
Ilmu diamalkan jadi ikhlas
Agar hidup penuh makna selalu"	"Pergi ke pasar membeli talas
Tak lupa membeli buah duku"	"Ilmu diamalkan jadi ikhlas
Agar hidup penuh makna selalu"	"Air bening mengalir ikhlas
Mentari pagi bersinar selalu"	"Bunga melur tampak ikhlas
Burung berkicau setiap selalu
"	"Tanam padi berdaun kemas
Bawa beras ke dalam perahu"	"Perahu retak di atas alas
Air surut di muara hilir"	"Pergi ke pasar membeli beras
Dibawa pulang setiap waktu"	"Laut terbentang begitu luas
Angin bertiup sepanjang waktu"	"Hidup yang memiliki makna
Membuat rupa diri terpuji dan bahagia"	"Pohon rindang tempat burung berkicau
Menyanyikan lagu-lagu khas petangnya"	"Amalkan ilmu jadi ikhlas hati
Hidup penuh makna, selalu berarti"	"Senyum tulus di wajah petani yang bekerja,
Amal ikhlas, kehidupan pun bermakna."	"Ilmu diamalkan jadi ikhlas
Agar hidup penuh makna selalu"	"Bidadari tinggal di awan tinggi
Hutan rimbun di balik bukit"
25	5518	Pantun pendidikan	"Pohon beringin tumbuh di desa
Daunnya rindang tempat berteduh
Ilmu dan iman berjalan bersama
Hidup pun terasa penuh dan utuh"	"Pohon beringin tumbuh di desa
Daunnya rindang tempat berteduh"	"Ilmu dan iman berjalan bersama
Hidup pun terasa penuh dan utuh"	"Burung merpati terbang bersama
Sawah menghijau tampak utuh"	"Mentari pagi menyinari bersama
Sawah menghijau tampak utuh"	"Terbang tinggi burung merpati
Air mengalir tenang dan utuh"	"Terbang rendah si burung derkuku
Tinggal hinggap di atas dahan"	"Ke pasar pagi bersama saudara
Pulang berjalan bercucuran peluh"	"Bulan purnama menyinari desa
Pohon rindang tempat berteduh"	"Iman dan ilmu membawa kebahagiaan
Membuat hidup selalu sejahtera dan makmur"	"Di tengah sawah tinggi di taman
Hidup harmonis dan bahagia selalu"	"Ilmu dan iman, berjalan seiring
Hidup utuh, penuh makna dan cahaya"	"Langit pagi dengan cahaya emas,
Seimbang ilmu dan iman, hidup pun sempurna."	"Ilmu dan iman berjalan bersama
Hidup pun terasa penuh dan utuh"	"Langit tinggi dikejar awan
Bukit tinggi dengan pohon pinus"
