id;sampiran_asli_1;sampiran_asli_2;isi_1;isi_2;sampiran_ai_1;sampiran_ai_2;gemini;alasan
77;Cempaka putih di serambi istana;Harumnya lembut menyentuh rasa;Jika akal dijaga sempurna;Terselamat insan dari angkara;;;;
78;manis rasanya buah jambu;minumnya dengan jus tomat;gimana mau main hari minggu;cucian numpuk banyak amat;;;;
79;ada lagu gundul gundul pacul;dari jawa ia berasal;banyak gaya dalam bergaul;tanpa bercermin dari mana asal;;;;
80;Pergi ke kebun membawa keranjang;Memetik buah yang telah matang;Kalau ingin hidup cemerlang;Rajin belajar siang dan petang;;;;
81;kurang makan badan kurus;ada peci disebut songkok;bayangbayang tak akan lurus;dari pohon yang tumbuh bengkok;;;;
82;hujan malam turun perlahan;cahaya lampu memantul jalan;alam menjaga dalam keheningan;menyimpan damai dalam kegelapan;;;;
83;Pergi jauh membawa bekal;Demi bekerja dengan giat;Orang beriman orang berakal;Tak korbankan hidup sesaat;;;;
84;asah parang untuk membabat;petin pepaya untuk dimakan;seimbangkan dunia dan akhirat;dengan ilmu dan juga iman;;;;
85;deket muara ada madu dan jamu;nonton tv sambil minum jamu;gara gara rindu sama kamu;lihat sapi pun seolaholah kamu;;;;
86;jangan pergi mandi di lombong;emak dan kakak sedang mencuci;jangan suka bercakap bohong;semua kawan akan membenci;;;;
87;bulan purnama si terang bulan;anak bujang bernyanyi syahdu;puji syukur kami ucapkan;atas kedatanganmu hai guru baru;;;;
88;pulang sekolah pakai sepeda;ditengah jalan hujan tiba;ayo kawan masuk pramuka;melatih diri mencipta karya;;;;
89;Pohon kelapa tumbuh tinggi;Buahnya jatuh di tepi kali;Jika ingin hidup berarti;Hormati orang tua setiap hari;;;;
90;pergi ke kota membeli paku;paku dibungkus plastik biru;bukannya aku nggak lakulaku;tapi ku sedang nunggu jandamu;;;;
91;Burung kecil terbang tinggi;Hinggap manis di pohon jati;Ingat mati setiap hari;Supaya lembut hati ini;;;;
92;Rumah di parit terlihat permai;Pedagang kecil jualan siomai;Kalau ke masjid tidak ramai;Pastinya sulit tercipta damai;;;;
93;Bintang timur bersinar terang;Menemani malam yang sunyi;Jika hidup mahu dikenang;Tinggalkan jasa dan budi;;;;
94;air kelapa enak rasanya;walau basah amat senangnya;barang siapa dunia citacitanya;pasti susah jalan hidupnya;;;;
95;naik kuda tanpa pelana;kuda lari tak beraturan;jadi murid harus bijaksana;agar disayang guru dan teman;;;;
96;buah jeruk ada dimeja;ada pisau di dalam laci;diri ini bukan pujangga;tapi ini letupan rindu hati;;;;
97;Burung pipit terbang rendah;Hinggap sebentar di pohon cemara;Jika hati selalu ramah;Banyak sahabat datang menyapa;;;;
98;Pergi ke taman menatap senja;Langit jingga menutup hari;Jika hidup ingin bahagia;Ikhlas menerima yang terjadi;;;;
99;ke rumah teman naik sepeda;membawa tas dan juga buku;met ultah suami tercinta;tetaplah jadi pria hebatku;;;;
100;minum jamu sehatkan raga;makan buah sehatkan mata;kumpulkan ilmu dalam dada;amalkan ia di kehidupan nyata;;;;
